,Date,Tags,Comments
0,2019-09-07,['hiking'],"Love Adams , love the waterfall, initial switchbacks are brutal but a great hike for all . "
1,2019-09-06,['hiking'],Hiked this today with our 4 and 6 year old. A couple tricky spots but overall not to bad with the kids and the waterfall was so worth it 
2,2019-09-04,"['trail running', 'closed']",Currently closed because of the Snoqualmie fire.
3,2019-09-03,"['hiking', 'bugs', 'scramble']","I did this trail on August 15th, 2019. It was described to be much more difficult than it actually was for me. I hit the trail at 0730 with a temperature of 59 degree F. I made my way up the few switchbacks, which are entirely exposed. Leaving early, I was never in direct sunlight for the ascent. Once you get to the top of the switchbacks, veer to the right to get to the falls. As I entered the brush into the canyon it was cool. Although every stop for photo ops meant getting attacked by mosquitoes, so do bring bug spray. A creek runs adjacent to the trail the whole way, so bringing a dog would be ok. As you get closer to the falls, a bit of scrambling is necessary, but not very difficult. Good boots are helpful, but I honestly could have done this trail in Chaco’s. I got to the falls right at 0830, took a few photos and cooled off. Once I got out of the canyon, the sun was up and direct. I was glad I brought water. Returned to my vehicle at 0930 with a temperature of 72 degrees F. Overall, this is a great and convenient hike. The falls are worth the work and a great place to cool off, although they are surrounded by rock walls, so go early when not many people are there yet. Had the falls to myself."
4,2019-09-02,['hiking'],The Sandy switch backs kinda kicks your butt in the beginning and right before the waterfall you are hugging the rocks and that’s a little bit sketchy for a newbie. It’s all about foot placement. If I can do it anyone can do it! 
5,2019-09-02,"['hiking', 'rocky']",Was a good trail!  Took our dog and made it up and back in about 2 and a half hours.  There’s some spots with some bees over the water that are a little intimidating but made it by them without a problem :).  I would recommend coming around 5 to make it down by 8 at latest for the best weather.  We came at 12 and it was hot for the first part of the trail but there was acid shade throughout the rest.  Our dog loved it :)
6,2019-09-01,"['hiking', 'bugs', 'rocky', 'scramble']",
7,2019-08-29,"['hiking', 'rocky']",Little hard for beginners but nice hike for a nature lovers 
8,2019-08-28,"['hiking', 'rocky']",The trail is not well marked and difficult to follow in some places.. especially at the top. The trail also becomes fairly technical and rocky. I wouldn’t recommend hiking it by yourself.. too many risks for injury with the rocks and in veering off trail. 
9,2019-08-27,['hiking'],I’ve hiked this more times than I can count and it never gets easier. Shout out to the dude who cut his leg up on the way up
10,2019-08-26,"['hiking', 'washed out']",My
11,2019-08-25,"['hiking', 'bugs', 'muddy', 'rocky']",
12,2019-08-21,['hiking'],This is a great hike although very populated. I would suggest going very early on a weekday. 
13,2019-08-20,['hiking'],"Great trail!  It was way too hot when we started, so I would say start about 5:30 pm giving yourself plenty of time to come back down during daylight."
14,2019-08-20,['hiking'],"Nice trail, steep from the start. Or at least I thought it was, but I am a novice hiker. Wasn’t able to finish because there was a swarm in wasp along the path that I didn’t feel comfortable passing. Overall nice waterfall and hike."
15,2019-08-18,['hiking'],What an amazing hike.
16,2019-08-18,['hiking'],"love this trail. I lost my keys though, so if anyone finds a key ring on a purple carabiner, please contact me at 310-867-0808. thanks!"
17,2019-08-15,"['hiking', 'rocky']",
18,2019-08-13,['hiking'],"this trail was a beautiful, short hike. the first part up the hill on the initial trailhead is quite the leg workout, but once you get up there is an easy hike with great views all around. I highly recommend making it a sunset hike if you can :)"
