,Date,Tags,Comments
0,2019-09-06,['hiking'],"Beautiful views up top. Hurry and go before snow starts this fall:)
"
1,2019-09-04,"['hiking', 'no shade', 'rocky']",Short and sweet trail with breathtaking views that are 110% worth the climb! Would highly recommend!
2,2019-09-03,['hiking'],Great hike near mirror lake. Is a fast incline with many false summits. View is worth it. 
3,2019-09-02,['hiking'],"This is a fairly rocky trail and is exposed for the full length (bring/use sunscreen). I recommend good hiking boots, though I saw many people wearing Teva-type sandals. The wind can get brisk and cool, so plan accordingly. You'll likely need to stop now and then to catch your breath as it is high elevation (11-12K feet asl). The views all the way up and down are quite stunning and worth the effort. "
4,2019-09-02,['hiking'],Awesome hike went early before it got too hot. And it was definitely worth it!! The view from the top was priceless my 7 year old loved it!
5,2019-09-02,"['hiking', 'no shade', 'rocky']","Great training/see where you are-type of trail. In my humble opinion the hardest part of the trail is the first 1/4 mile... pretty steep, but after that the climb to the summit turns into a nice rhythmic dance of left-right. The views are amazing, can get windy and a bit chilly at times. The final climb to the summit is not for the faint of heart as you are exposed at nearly 12k above sea level, but the end is totally worth getting over the fear. Love Utah."
6,2019-09-01,"['hiking', 'no shade', 'rocky']","Super fun trail to hike. Very busy on Labor Day weekend. The very top is not ideal for small dogs, some big rock climbs. Very sunny, not overly hot but still wear sunscreen at this elevation. Clear path to follow. Looking forward to trying it again without the dog to try and make better time. "
7,2019-08-21,"['hiking', 'no shade', 'rocky']",This trail is a decent challenge and a lot of fun! Push to the very top!! It’s worth it. The views are phenomenal. We saw a few chipmunks and 2 mountain goats at the top who hung out with us while we picnicked overlooking the panoramic view of the Uintas.  
8,2019-08-21,"['hiking', 'no shade']","Wow what an amazing hike. Climb some sandstone footholds to the top of Bald Mountain for spectacular views of the surrounding area (lakes, mountains, valleys, and trees). The 1.4 mile hike up took about an hour for me and my father. We were a little slower than our usual pace because of the high altitude (10,700ft at the peak), so we took our time and drank lots of water. At 9am we were the first folks on the trail. First hike in Utah and it did not disappoint! "
9,2019-08-19,['hiking'],"Took a quick hike up here this morning.  Temperature was perfect, trail was crowded."
10,2019-08-18,['hiking'],steep trail at first. Many false summits. great views.
11,2019-08-18,['hiking'],"A surprisingly quick hike to a great view. We didn't see any mountain goats, but they are often seen around here."
12,2019-08-17,"['hiking', 'rocky']",
13,2019-08-15,"['hiking', 'rocky']",
14,2019-08-11,"['hiking', 'no shade', 'rocky', 'scramble']","This is such a great hike! While it is short, it is pretty hard-ish. There are a lot of places one could fall and tumble quite a ways. We went on 8/11/19 and the conditions were pleasant until about halfway up and then it became incredibly windy! The wind was chilly and I needed my windbreaker, especially to cover my ears. The views are incredible and the hike is pretty short. It was a little harder on the joints getting back down, but we loved it!"
15,2019-08-07,['hiking'],"I usually like longer hikes, and ones I can trail run back down but this one was great today with the kids (5 of them ages 4-16). Lots of mountain goats in the upper meadow and nothing beats the views of the lakes from the top. "
16,2019-08-04,['hiking'],"Great hike. Definitely hard to breathe. Steep for a little while, but totally worth it for the views the entire way up!"
17,2019-08-04,['hiking'],"Awesome, relatively short hike to an almost 12,000 ft. peak and an amazing view. I lost count of how many lakes I could see from the top.   Steep,  rocky switchbacks to start.  The middle third of the hike flattens out for a while,  then a short steep section to the top.   Took 50 minutes up at a slow,  steady pace.   About 40 minutes down.   Be prepared for the altitude.   It's no joke up there. Do this hike in the morning and stroll around a few of the hundreds of lakes later in the day for a great day in the high Uintas."
18,2019-08-03,"['hiking', 'no shade']",
19,2019-08-02,['hiking'],Beautiful hike.  Took little over 2 hrs with rest at top
20,2019-08-02,"['hiking', 'no shade', 'rocky']",
21,2019-08-02,['hiking'],"My wife and I did this hike yesterday - 8-2-19...while it's mostly a rocky trail, the views of the dozens of high altitude lakes surrounding the area, the variety of wild flowers all over, and the 6 mountain goats we saw up close - made it all worth while...awesome!"
22,2019-07-29,"['hiking', 'rocky']",Amazing views.
23,2019-07-28,"['hiking', 'no shade', 'rocky', 'snow']","this trail was awesome! the whole thing is very rocky with a constant incline but totally worth it and doable. I even had a nice lunch at the top! it was great pretty much no bugs, no shade, and very rocky so be prepared with sunscreen and some good hiking boots! little snow on the path but very easy to go over"
24,2019-07-25,"['hiking', 'snow']","Good trail. Got too cold for us so we didn’t make it to the top. Take a jacket, especially if it’s overcast"
25,2019-07-24,"['hiking', 'snow']",
26,2019-07-22,['hiking'],"If you’re not used to high elevations, this may be a little more difficult for you. It was an awesome hike, and my dog loved it as well. Bring some sunscreen! "
27,2019-07-20,['hiking'],Great Hike. We did it on 7/18/19. Snow was gone except one spot just before you hit the ridge and turn back toward the peak. There is a trail around it to the left so no big deal. 
28,2019-07-20,"['hiking', 'no shade', 'rocky', 'snow']","Great trail, not too strenuous, and great views! Just did this trail on 7/19/19 and there were still two patches of snow we had to go around, but it didn’t add any to the overall length and it was all navigable. The trail is pretty rocky towards the top. Overall it was a great hike, took us 3hrs round trip with a lot of stops and taking a lot of photos. "
29,2019-07-20,['hiking'],"Most of the snow has now cleared, follow the kearns to avoid the snow on the first ridge there. 

Forgot to start the tracking for the first .5 miles, so tracking is a little shorter."
30,2019-07-20,"['hiking', 'rocky', 'scramble']",
31,2019-07-17,['hiking'],60+. Be prepared to scramble over some rocks. There was a stretch where a snow patch blocked the trail and it was kind of sketchy working around it. 30 to 35 minutes into the hike I was above treeline and the terminus wasn’t in sight. Fabulous views of the Wasatch National Forest. 
32,2019-07-12,"['hiking', 'scramble', 'snow']","We've done this hike a few times, but we only went up about halfway today (7/12/19). Turned around at the snow (melting cornice). It would've been too sketchy to climb any farther with our puppy. With snow gear it would be short and a piece of cake, but without, one slip could easily turn into a fatal tumble (see the pic I shared). About 50 yards or so back down the trail, there appeared to be a good scramble route to bypass the snow (assuming you're ok with Class 2+ or easy 3 with a bit of exposure ... and you're careful not to dislodge rocks on others). After our short hike, we took the lower trail around the mountain, which passes many lakes. Backpackers said fish were biting with every cast. Made it back to the truck just as thunder began to rumble. Beautiful area."
33,2019-07-10,"['hiking', 'no shade', 'rocky']",A moderate climb with some short steep sections. Largely exposed with very little shade and some narrow spots as you cut back at the halfway point on your way up or down. The view and area at the top are well worth it - you can see so many lakes in a 360-degree view of the forest. 
34,2019-07-03,"['hiking', 'over grown', 'snow']",Dfwh
35,2019-06-27,"['hiking', 'snow']","Don’t go for another month.  There was a ton of snow up to 2 feet high and it was soft, slippery, and in some areas you would just sink in.  Took 30 min just to go .3 miles"
36,2018-10-27,[''],Pretty mellow hike. Nothing too steep and there are so many beautiful places to stop and admire the wonderful scenery.
37,2018-10-11,['hiking'],"Really awesome trail and amazing views. My opinion, this is hard rated. Pretty much 1000 ft in a mile. They have horsetail falls rated hard on here that’s a mile longer and about 600 ft per mile. Especially since you start at like 10,500 ft, so you’re kinda winded from the get. Really cool though and the lower loops are awesome too."
38,2018-10-09,[''],"Short, sweet trail in great shape."
39,2018-09-23,[''],Easy and beautiful. Stairway to heaven I guess you could say.
40,2018-09-11,['hiking'],"Love love this hike - had to stop a couple times on the way up, but no regrets because the views are to die for. Agree with moderate difficulty, and take plenty of water because you are going to want to be up there for a while!"
41,2018-08-28,['hiking'],"Great views, well worn trail, exciting cliffs to look off the edges, and very accessible trail head from the highway. My family with younger kids was able to hike this with only a few hundred yards of piggyback with the youngest. The following year all of them did it again on their own. We love this hike."
42,2018-08-18,[''],favorite hike so far!!!
43,2018-08-15,['hiking'],Fun hike! Was fairly easy with a beautiful payoff at the end. So many lakes that can be seen!
44,2018-08-12,['hiking'],"A hard hike, quick elevation gain with many scrambles! But totally worth the challenge! Very rewarding and we saw goats!!"
45,2018-08-11,['hiking'],"Great trail with amazing views.  For the time and distance, the top is very worth it!"
46,2018-08-10,['hiking'],"I did this about 3 years ago and there was some snow on the alpine section. This time, of course, no snow, so I was able to see more of what the landscape looks like. I had hoped to escape the smoke, but even the high Uintahs had smoke. A great, short, easy hike with some precarious-looking edges for those of us who are afraid of heights. Too many stupid-looking cairns at the top."
47,2018-08-10,['hiking'],This was my first hike to the summit of a mountain and I agree it is good for a beginner! I would not consider it hard or difficult. Definitely moderate. I only had to pause briefly closer to the top because of the oxygen level I suppose. Some parts were a little steep but much of it was very easy to walk. Hiking sticks are a huge help. Beautiful views at the top!
48,2018-08-07,['hiking'],"Great hike with the most stunning views we’ve seen yet. We took our 4, 8, and 10 yr old kids and they did great. Our little guy walked the whole way - loved climbing the rocks. The heights were a little scary toward the top, but well worth the views. Our gps said it was a little over 2 miles to the top and the round trip took us about 3 hours, but we were taking our time with the kids. Highly recommend."
49,2018-08-07,['hiking'],"Personally much harder and steeper than I expected for a trail that AllTrails rates as “moderate”. That said, the views from the summit were amazing!  Hiking sticks are highly recommended, especially for the way down."
50,2018-08-04,[''],Good hike great views.
51,2018-07-31,['hiking'],"One of the best hikes in Uinta mounatins! It could be a bit steep but manageable. To anyone who says it’s a really difficult hike, then maybe you should reconsider since a 3yo and 55yo was able to make it or you’ll miss the amazing views up there."
52,2018-07-29,[''],"Everyone says this is 1.3 to the top but the whole trip was logged in my gps as 5.2 and it definitely took WAY longer than we thought it would to actually summit. We also went slow since we had 2 dogs with us, one of which was smaller, but either we did something wrong or this isn't accurate. Or maybe they only count it as making it to the first piece before the rock scrambling starts. To actually summit, i believe this to be much longer, so just wanted to post this in case it helps others. We never would have brought our little dog if we had known how long it was. But all that being said, the views are beautiful from the top."
53,2018-07-26,[''],Short but steep hike to the top of bald mtn. The views from the top are incredible as you can see 20+ lakes.
54,2018-07-25,[''],"Fun, steep trail with spectacular views and rocks! I think we counted 26 lakes/ponds that were visible from the top."
55,2018-07-25,[''],"The whole thing is rocky with boulders talus and gravel. Took the dog, her paws did fine but this wasn’t her first hike this month. I put her on the leash most of the way because I was fearful of the cliff edges and her accidentally wondering/falling off. Took us 2 hours with multiple breather breaks and a 20 minute stop up top. Totally would do this hike again, and I rarely say that since there are so many hikes and so little time."
56,2018-07-24,['hiking'],"One of the most beautiful views I have ever seen. Make it to the top, you won't regret it!"
57,2018-07-22,['hiking'],hard 1.4 miles one way but so worth it. Views are priceless.
58,2018-07-19,['hiking'],Good quick artery cleanser with amazing views ! I’ve hiked it multiple times and love it every time ! ☮️❤️⛰
59,2018-07-16,['hiking'],Steep hike with amazing view
60,2018-07-15,[''],excellent
61,2018-07-14,['hiking'],"The views up here were tremendous! Nice, short length for taking kids with you. I hiked it with my 6 year-old and she easily kept pace the entire way and didn't request any extra breaks. Must-do, beautiful views!"
62,2018-07-07,[''],Love loved this trail...butt kicking climb straight up and amazing views off all sides at the top! Can’t wait to go back ❤️
63,2018-07-03,['hiking'],"The trail was in great condition, and there were more than 10 species of wildflowers in bloom. The view along the majority of the trail was pretty nice, although there are a lot of dead trees mixed in with the live ones, which I thought detracted a little bit. You can see some pretty lakes below as well."
64,2018-07-03,[''],"Amazing hike today. Winds had to be 35 mph +, but virtually zero wind at the top. 360 degree incredible views."
