,Date,Tags,Comments
0,2019-09-04,['hiking'],Nice hike. Enjoyed the falls and the trail is pretty well maintained. The water flow was high this time of year (early September) so much so that it flowed over a portion of the only footbridge on the trail to the falls.
1,2019-09-01,"['hiking', 'closed']","The trail has been opened as far as the waterfall, but further up the canyon, above the falls, is still closed."
2,2019-08-29,"['hiking', 'closed']","The trail was supposed to reopen August 16, but apparently has not been opened yet. They are repairing a culinary water line."
3,2019-08-29,[''],"moderate incline, fairly wide trails.
hiking is closed to the falls, but not to the G which is a moderate to difficult hike with beautiful views of the valley!"
4,2019-08-10,"['hiking', 'closed']","https://www.plgrove.org/docs/newletter/signed_temporary_battle_closure.pdf    

"
5,2019-08-08,['hiking'],I posted a one star because as of 1:40 pm. August 8th-the trail is CLOSED due to high water run off. 
6,2019-08-05,['hiking'],this is a nice trial to work yourself. I am getting back into shape and this was just what I needed
7,2019-08-05,['hiking'],"I will have to try this trail another time. It’s closed until at least 8/16/19 due to high water levels. $5,000 fine if caught hiking it anyway. "
8,2019-08-04,"['hiking', 'rocky']",
9,2019-08-02,['hiking'],trail is currently closed due to high water run off. 
10,2019-08-01,['hiking'],This trail was closed on July 31 when I went to hike it due to debris and high water
11,2019-07-28,['hiking'],"Beautidul hike. If you can past the raging water the hike continues. We jumped over going up a d just walked
I to the water coming down. Its a steep hike bit provides lots of shade!"
12,2019-07-28,['hiking'],It is a fun quick hike for people in the area. We had water shoes on for crossing a creek and continuing the hike past the falls. Part of the trail is washed out but it made for a fun adventure. 
13,2019-07-28,['hiking'],Good trail but be ready for a decent river crossing
14,2019-07-27,"['hiking', 'rocky']",
15,2019-07-23,"['hiking', 'bugs']","always a great hike. we did it with three kids and they did great. 10,8,5"
16,2019-07-20,['hiking'],lots and lots of water right now looks really nice
17,2019-07-14,"['hiking', 'bridge out', 'muddy']",
18,2019-07-14,['hiking'],"Steep trail...waterfall is very pretty. Fun to watch people rappelling down the cliff next to the waterfall. If you hike past, there are a few small waterfalls and stream crossings. Very fun trail and would definitely do again. Towards the top, very pretty view of Utah Lake."
19,2019-07-12,['hiking'],Awesome day rappelling with the Johnson's.
20,2019-07-10,['hiking'],We went on Monday at about 4pm and had the trail and waterfall all to ourselves!!!
21,2019-07-08,"['hiking', 'rocky']","Trail was steep and dusty but great to hike to the lower falls for my girls (10, 8, and 4 years old)."
22,2019-07-07,['hiking'],"This was an overall good hike. Very pretty falls; great views. It's about 30-40% shaded (depending on the time of day). Fairly steep in some places but manageable. If you are not into crowds, do not come on a Saturday. There is more to see past the main falls, and gets less crowded beyond. "
23,2019-07-05,['hiking'],Fun hike. All up hill until you start going back down. I only went to the base of the falls but I'd love to come back and do the full hike. Very pretty waterfall. The trail had a few families on it but I wouldn't call it crowded. There was someone repelling down the waterfall so I imagine people come to watch their friends do that. Not sure what the sweet spot is for when to hike this trail. We went around 11am on a weekday in the summer. Make sure it's not a terribly hot day. The parking lot will give you a good idea of whether the trail is busy or not. Wonderful views. I hope to come back.
24,2019-07-05,['hiking'],Good hike 
25,2019-07-05,['hiking'],"I went a bit past the falls, but not all the way since I came to a stream and didn't have my hiking poles to cross it. I loved the path to there and will need to come back to do it again."
26,2019-07-05,['hiking'],This was a fun hike! It’s pretty steep but super easy! Anyone can participate! Even your four legged friend! 
27,2019-07-04,['hiking'],If you like standing in line and hiking with groups of people this hike is for you. We even tried to go early and there were still groups of 15+ people all over the trail. It was chaos and annoying. Would be pretty if there wasn’t so many people or such large groups. I probably wouldn’t go back unless I had a random week day off work to do so. Also if you don’t have a high clearance vehicle good luck getting to the top of the parking lot. 
28,2019-07-01,['hiking'],"Half shade, half sun. This hike gets steeper the farther you go. But it’s short, so it was completely doable for everyone in our group. We had kids ranging in age from 2 to adult, and none of us struggled. The waterfall at the end was beautiful and refreshing."
29,2019-06-30,"['hiking', 'rocky']",Great family hike. Like the comments say...perfect for young children. The waterfall is beautiful right now. Trail is rocky and dry. 
30,2019-06-26,"['hiking', 'rocky']",This is a good family hike. Lots of families and lots of dogs on the trail. If you just want to hike to the base of the waterfall and back it's 1.2 miles round trip. 
31,2019-06-22,"['hiking', 'muddy', 'rocky']","Did this trail with my 6 year old and my dad. Seems like most people don’t go past the waterfall which is only about 30 minutes up, but we did the whole trail. If I were to do this trail again I wouldn’t go past the waterfall. Definitely a good workout but the reward at the top wasn’t worth it in my eyes. Not a fantastic view just okay. But for a one time thing it was fun! Waterfall was great, lots of water right now. There are a couple more smaller waterfalls when you go past that first one. A few creek crossings. Fun trail but just not a great reward at the end. "
32,2019-06-22,"['hiking', 'muddy']",
33,2019-06-20,['hiking'],"nice wide trail, could hold hands most of the time. today had lots of cottonwood flurries for those with allergies. will do again for sure."
34,2019-06-20,['hiking'],"Love this trail, perfect for my 3 kids!  There are 3 little moon pools at the top of the falls that are perfect for sitting or wading in if you can take the ice cold water this time of year"
35,2019-06-20,"['hiking', 'muddy', 'over grown']","Beautiful 4 mile hike, lots of water runoff on a good portion of the trail after the falls, made it muddy"
36,2019-06-19,['hiking'],Hiking by the stream was beautiful. Getting to the waterfall was the easy part. However if you continue on the trail it’s only up until you turn around to go back to the train head!
37,2019-06-17,['hiking'],Great trail. No snow up to the flats where we camped on June 18.
38,2019-06-17,"['hiking', 'bugs']","mosquitos are out
This was a really fun trail with 9,7, & 2yr olds. I would say this was very easy, my 2yr old had no problems walking the whole time. it was colder than I expected at the falls, so next time I'll pack a light jacket. I would recommend this for 1st timers for sure."
39,2019-06-17,"['hiking', 'scramble']",The trail gets steep close to the waterfalls but is so worth it! Our dog was off leash the whole time and she had a ball.  The views from the first waterfall is worth it 100%. Good hike. 
40,2019-06-14,['snow'],great hike up past the main waterfall. go up far enough and there's still some snow!
41,2019-06-14,[''],great little hike.
42,2019-06-12,"['hiking', 'bugs', 'muddy', 'rocky']",
43,2019-06-09,"['hiking', 'rocky']",A steep hike but pretty. And that’s just to the first falls
44,2019-06-09,[''],easy hike
45,2019-06-08,"['hiking', 'rocky']",First part of the trail is highly trafficked until you reach the waterfall where most people seem to turn around. There was a part of the trail that was completely covered by the river so it was a little tricky to go through. All in all a fun hike.
46,2019-06-08,[''],nice and short
47,2019-06-07,['hiking'],Pretty easy up to the main waterfall but quite steep if you plan on going to the top where the grove is. 
48,2019-06-06,"['hiking', 'no shade', 'rocky', 'washed out']",
49,2019-06-03,[''],fun easy hike up to a waterfall. kids love it. so does our dog. 
50,2019-06-02,"['hiking', 'rocky']",
51,2019-05-26,['hiking'],"great for dogs, awesome waterfall!"
52,2019-05-26,['hiking'],Kind of a steep hike but a short one to the falls. We started at about 1015 AM and it was already busy. Lots of little kids and dogs. Most dogs were on leash and the few that weren't the owners restrained as we walked past with our on leash dogs. The hike was well shaded and had access to the water for the pups. 
53,2019-05-26,['hiking'],Great dog friendly trail with lots of water following the creek.  The waterfall is very early and the trail ends after a long climb at an open field.
54,2019-05-25,['hiking'],"The map is a little deceiving. The waterfall is only about .6 up the trail. You can continue above the waterfall. Moderate hike, but worth it for the waterfall. It’s just long and hard enough for the kids to enjoy! "
55,2019-05-22,['hiking'],It’s a great hike for a summer afternoon! 
56,2019-05-21,[''],Found a Legit Camping Hammock a couple weeks ago on this trail. 8016438649
57,2019-05-12,[''],Busy trail but a nice short hike to the waterfall. Great hike to get you started for the season. Rapelling anchors are available at the waterfall which is pretty cool. 
58,2019-05-11,['hiking'],"Easy hike. 2 miles out and back to the falls. Family friendly and dog friendly, which makes for a crowded hike any time after 10am Saturday or Sunday with kids running all over the place."
59,2019-05-11,['hiking'],"Nice  trail, not very busy at 8am."
60,2019-05-09,['hiking'],Mostly dry last week after some stormless days. Any muddy spots you can easily walk around. I cut off early up to the overlook and looped back around to Kiwanis. Maybe 5 hours going slow.
61,2019-05-05,"['hiking', 'rocky']",Pretty hike this afternoon. Crowded on a Sunday around 12:30-1pm. Moderately steep incline the whole way up.
