,Date,Tags,Comments,
0,2019-09-07,"['hiking', 'rocky', 'scramble']",,
1,2019-09-07,"['hiking', 'rocky', 'scramble']",steep,
2,2019-09-05,"['hiking', 'bugs', 'rocky']",,
3,2019-09-04,['hiking'],"Nice half day trail. Out and back took us 4 hours, including lunch and some bouldering on the rocks above the falls. The lower portion of the trail is exposed, so be prepared for some sun. We saw hikers of all ages and fitness levels. The last 1/4 of the trail is steep and rocky, but nothing more than big steps. ",
4,2019-09-03,['hiking'],"Amazing views, a little harder than expected towards the end but worth the view!",
5,2019-09-03,"['hiking', 'rocky']",A bit longer then stated,
6,2019-09-02,['hiking'],"Beautiful hike with amazing waterfalls! Gets a little rocky, but worth the climb! ",
7,2019-09-02,"['hiking', 'closed']","If you’re hiking to big baldy, you’re out of luck. The trail is closed not long after after the 2nd water crossing. They are doing major work on the trail. We climbed up a bit to check it out- it’s nothing but  a steep road with loads of fine dirt. It is, however, well worth a visit to climb to the falls (and a little bit passed.) The water is so robust. It really helped temper this late summer heat. Use bug repellent-the horseflies are pretty aggressive. ",
8,2019-09-01,"['hiking', 'rocky', 'scramble']",,
9,2019-08-31,"['hiking', 'bugs', 'rocky']",rocky but worth it the waterfalls is amazing ,
10,2019-08-31,['hiking'],"saw my first rattlesnake, backed away carefully. I did see paddleboarders and dogs up there in the last two weeks. If there is no swimming allowed and dogs is crossed out on the sign (if I remember correctly) why are people doing this? Also saw someone with pistol on their hip-i understand but thought it had to be concealed. Anyone know the rules on what is not allowed and not allowed? love this hike, just wondering about the rules and going to make a few calls.
",
11,2019-08-30,"['hiking', 'bugs', 'rocky']","Amazing hike.  We left too late for this hot Utah day, so we spent a good part of the hike in the blazing sun. 2 trail heads. We prefer the one from little Cottonwood vs. wasatch.  Wasatch is more of a boulder scramble, while little Cottonwood meanders.  I have never been in the afternoon, and will try to avoid it in the future.  

After the turn off for the waterfall, it is shadier than the lower part of the trail. In the mornings, nice and cool on the lower part of the trail from trail head on  little Cottonwood side. 

Also, in the afternoon, it was a little buggie towards the top.  Didn’t notice that when I have gone in the mornings. 

As other’s have said, last part of the hike, a bit past the sign that says .7 miles to waterfall, it can be a little brutal, kinda steep and kinda a lot of boulders, but well worth it!  (Another reason to start off little Cottonwood.  You won’t be as tired for the upper boulder scramble, because you didn’t already have a boulder scramble on the first part of the hike)

I hope this is helpful.  ",
12,2019-08-30,"['hiking', 'rocky']",One of my favorite hikes! The end is so worth it. The first part is a lot of climbing and the very end is steep and Rocky for the last little bit! The waterfall is beautiful and I sit up there for a long time after.,
13,2019-08-30,"['hiking', 'no shade', 'rocky']",,
14,2019-08-30,['hiking'],Beautiful. Some steep sections but do able. Try to do in early am or late afternoon if can,
15,2019-08-30,"['hiking', 'rocky']",I've done the trail to the lake (reservoir) and walked around it about a total of 5 times. love it. had only 1 snake encounter but was not a rattlesnake. I then did the hike to the first waterfall. I'd say it was difficult because of how steep it gets and it never seems to end. The end result though it's totally worth it. ,
16,2019-08-28,['hiking'],This trail was closer to hard than moderate. The first mile is a breeze and the last .5 mile is really tough. I wouldn’t recommend doing this trail alone unless you are an experienced hiker. The waterfall is beautiful though.,
17,2019-08-27,"['hiking', 'rocky']","Definitely would recommend this one!! Perfect length, the last little bit is a little more rocky and steep but totally worth the beautiful waterfall at the end. Bring good shoes, going down took a toll on my toes haha",
18,2019-08-27,['hiking'],My first hike ever and I’m hooked. I almost quit 3 times but so glad I pushed through. Beautiful scenery. ,
19,2019-08-25,['hiking'],"Steep in parts. But a good length, good scenery, beautiful waterfall at the end. Highly recommend",
20,2019-08-25,"['hiking', 'scramble']",6 v688 ????? 8 ???? ??,
21,2019-08-24,['hiking'],Good trail very pretty but hike ended early because I saw a rattlesnake right next to the trail.,
22,2019-08-19,"['hiking', 'bugs', 'rocky']",Pretty rocky the further up you get but not too bad at all...the waterfall and view is more than worth it! Highly recommend. ,
23,2019-08-18,"['hiking', 'rocky']",We did this trail right at sunset. It was absolutely beautiful. The lake was nice too. We didn’t go past the lake though. So we didn’t see any waterfall like in the pictures.  It was rocky but not bad. My 9 and 6 year old did great! ,
24,2019-08-17,"['hiking', 'bugs', 'rocky']",This is a magnificent trail with some scenic views of the valley. The hike up to the reservoir from granite trailhead was not too bad. From there onward to the waterfall is a bit rocky with quite a bit of bugs so make sure to keep insect repellant. Keep plenty of water and snacks.,
25,2019-08-17,['hiking'],"Rocky trail. lot of elevation gain. most of the trail is exposed. the last 0.5 miles is like climbing stairs... big stairs. waterfall was beautiful. still a lot of water, even this late in the season.",
26,2019-08-17,['hiking'],Good trail for all levels though steep and rocky  last part to falls. Good hike,
27,2019-08-15,"['hiking', 'rocky']",,
28,2019-08-15,['hiking'],"Very fun, it's a good hike that's a bit of a work out but all in all a good medium difficulty. There were some good sights between the falls, creek, and reservoir. ",
29,2019-08-14,['hiking'],The reservoir is nice. The waterfall mist is delightful. Many beautiful views to capture in a panorama once you reach the waterfall. The end is steep and rocky but the steepness is just due to big high steps on the boulders for 10-15 min. Not steep from your feet being angled at 45 degrees or more. ,
30,2019-08-11,"['hiking', 'rocky', 'scramble']",The waterfall is worth the hike. The last 1/2 mile up to the waterfall is very rocky and steep. ,
31,2019-08-11,['hiking'],"fun trail and awesome waterfall
",
32,2019-08-10,['hiking'],"Reviews are accurate about the last 0.5 mile or so being very steep, but the falls and the view are well worth it.

We took 20 extra minutes and followed a small trail that lopped around the reservoir, which was really pretty. ",
33,2019-08-08,['hiking'],"Great hike, steep and rocky at the end but doable.   Certainly worth it when you get to the top of the falls.   ",
34,2019-08-07,['hiking'],Beautiful! Definitley a good workout! Natural AC from the falls and river!,
35,2019-08-06,"['hiking', 'rocky']",Gets harder the closer you get to the waterfall but totally worth it. Bring plenty of water,
36,2019-08-05,"['hiking', 'muddy', 'rocky']","Super fun hike, especially with the mist blast from the waterfall at top. I recommend choosing a route where the trail is next to the downpour stream. Most challenging section is the last 1/4th to the top with steep and rocky terrain. ",
37,2019-08-04,['hiking'],Great hike with great views. Hard on the knees coming back down with all the boulders to step down from. ,
38,2019-08-04,"['hiking', 'scramble']","This is an absolutely great trail. but be prepared to do some good solid hiking. I may experience tiger with more than 20 years on trails oh, and this one was one of my favorites that I've been to so far in Utah. Let me caution anyone who isn't in what you would consider excellent shape 3 liters of water minimum and definitely let someone know where you're going. ",
39,2019-08-03,['hiking'],Beautiful hike! It gets steep and rocky at the top but it's worth it. ,
40,2019-08-01,"['hiking', 'rocky']","pretty hike! we would say its moderate til the end part is pretty steep. waterfall was running hard, so pretty! it took us 2 hours 40 mins roundtrip to complete. glad we went early morning was hot as we came dow down ",
41,2019-07-31,"['hiking', 'no shade', 'rocky']",Very hot. Not much shade . The last 1/2 mile was a steep hike. Very beautiful when you get to the fall.,
42,2019-07-27,['hiking'],wonderful. had a lush and tropical feel with the moisture/ humidity in the air today. well marked trail and very friendly hikers. 1:40 to complete it. ,
43,2019-07-27,"['hiking', 'bugs', 'rocky']","This hike was beautiful! I went early morning to beat the sun and I’m glad I did, the hike down was hot. There’s a beautiful lake where you can catch and release fish and a bridge. The higher you get, the more in the trees, there was a lot of bugs because of the morning. You could hear the river from the trail and the cold water made it cooler. Towards the top it got pretty hard but it was totally worth it to see the beautiful waterfall, which also cools you down. ITS SUPER STEEP SO DONT SLIP. The hike back is mostly downhill. ",
44,2019-07-26,['hiking'],Excellent hike.  The last 3/4 mile is where the climb gets real. ,
45,2019-07-23,"['hiking', 'no shade', 'over grown']",,
46,2019-07-23,['hiking'],"This trail is awesome, lots of traffic but worth it. The last 1.5m is a total but kicker with at 47% grade.",
47,2019-07-22,"['hiking', 'bugs', 'rocky']","This is a hard hike. I’m a 270 lb out of shape woman and if I can make it all the way to the falls just about anyone can. The water is gorgeous as is the scenery. Start early during the summer, it gets hot fast.",
48,2019-07-20,"['hiking', 'bugs', 'rocky']",great hike! It was more of a challenge then we were expecting but still not too bad. The last part of the hike is definitely on the steep end. lots of fun and a wonderful waterfall!,
49,2019-07-20,[''],great hike... ,
50,2019-07-18,"['hiking', 'bugs']",,
51,2019-07-15,['hiking'],Great hike but hard. The waterfall is beautiful!,
52,2019-07-14,['hiking'],"This trail is so beautiful! in the first 20 min you can see the lake, and the rest is so pleasant, with shade and some parts next to the river,  but the last 20 or 30 min was really hard for me,  I'm not from here and the altitude was really hard. The waterfall and view is totally worth it. Love it!",
53,2019-07-14,['hiking'],"Great short but strenuous hike.  First portion to the reservoir is quick with about 300-400 feet elevation gain.  Continuing up the trail, the elevation gains slightly to the bridge. There are some rocks on the trail that you have cheap with.  After the bridge, it’s gets really rocky and steep.  The last 2/10ths of the hike is really steep.  Once you get by the fall, the paths down to the fall for a better look are steep and be careful on falling down. Hiking back, watch going down the rocky path.  
Tips:
Bring poles if you aren’t sure of your footing or feel you need extra stability.
There are two trailheads with parking.  Get there early. We started at 7:30 and we got the last parking spot.
After hiking to the falls, we hiked around the reservoir.  It’s a quick half mile or so and for the most part, relatively flat.  Good way to let your legs take a break from the up and down.",
54,2019-07-14,['hiking'],Most of the elevation gain is in the first and last half miles.  Beautiful scenery and the last part to the falls will get your heart pumping.,
55,2019-07-13,['hiking'],Great hike on Thurs night. Perfect weather and the water is rushing high! ,
56,2019-07-11,['hiking'],"Visiting from Alaska and was looking for a few moderate 2-3 hour hikes to go on. This one was perfect - I see it's rated as hard in one spot and moderate in another, but I'd say it's moderate. Yeah, that last bit before the falls was steep, and I was breathing hard (yikes, elevation!), but I thought it was doable. The falls are beautiful and totally worth seeing. The river, trail, and little ground creatures all made it a fun experience. It was the most crowded of the three hikes, but not too bad at all being it was a weekday. I'll do it again next year when I visit. Utah, you are beautiful!",
57,2019-07-10,"['hiking', 'rocky']","Love this trail perfect workout! Got a challenge to get to the falls in 54 min. made in 55. dang it! Anyway  some here say it was vertical the last .25 mile. Nah, not vertical. pretty steep but never need to use hands. I hiked at noon, drank about a liter of water  was about 80f or so. saw lots of big lizards.. the falls are amazing. 
",
58,2019-07-10,"['hiking', 'bugs', 'rocky']","First time going to the falls on my day off. The first part is nice when you get to the reservoir and pretty mild but the last part of the hike is quiet a climb and gets your HR up there! Went in the middle of the day (mistake) even though there are opportunities for shade with the trees but it gets HOT!!! Make sure you bring LOTS of water. After, you will be greeted with a beautiful waterfall that cools you down! There's a view and a waterfall! Hard but worth it.",
59,2019-07-09,"['hiking', 'rocky']",,
60,2019-07-08,['hiking'],"Hiked this last week and it was great!! Slightly wet in spots but overall wonderful. I’ve personally never sent her waterfall so high with runoff, absolutely worth the hike. ",
61,2019-07-08,"['hiking', 'rocky']",,
62,2019-07-07,['hiking'],we started about 8am and the weather was pleasant. loved scrambling up rocks and enjoyed the first waterfall before heading back down.,
63,2019-07-06,['hiking'],"Great hike.  Agree with others from parking lot up, my watch clocked 5.3 miles.  We started at 8am on a Saturday and there were a lot of people and it was warm coming down.  I'd recommend going earlier.  We also had one walking pole each and that seemed like a good balance.  We are relatively new to walking poles but have appreciated them on several hikes.  I also like this is a no dog trail (I'm not anti-dog by any means but sometimes they are a bit too much)",
64,2019-07-05,"['hiking', 'bugs', 'rocky']","The waterfall is so amazing!! I loved this hike & can’t believe I’ve lived in Utah my whole life and just experienced this hike yesterday. It’s very rocky but I think that’s what made the climb up most enjoyable. I went around 8:30am and it was great, but did get a little hot and coming down there was a lot of people. Was able to cool off by the waterfall. Recommend and reminder to bring lots of water, sunscreen and bug spray. It’s simply beautiful at the top. ",
65,2019-07-02,['hiking'],Great hike.  Waterfall is beautiful with the tall granite peaks providing a gorgeous backdrop.  ,
66,2019-07-02,"['hiking', 'rocky']",First trail I have completed. Saw some turkeys and rabbits about halfway up. The waterfall was cool and the mist coming off of it was refreshing.,
67,2019-07-01,['hiking'],We just hiked this trail two days ago. The distance is actually 5.2 or 5.3 miles if you are counting from the parking lot. The first part of the hike is relatively mild. But get ready for the last half mile to the lower falls. It is basically scrambling up large rocks and very vertical. Poles are helpful (especially coming down) but not necessary. Bring at least 2 liters of water. The payoff is pretty spectacular for your very hard work scrambling up those rocks. The waterfall and river is absolutely roaring right now and a sight to behold. I did see a few mosquitos so you might want to spritz on some bug spray.,
68,2019-07-01,['hiking'],"Trail is a little longer when you include hike from parking lot, uphill to beginning of trail (5.3 miles total. Trail is fairly easy and flat for the first half, then the uphill descent begins and gets gradually harder. The last 1/4 mile is pretty tough, lots of climbing up rocks and high vertical. Waterfall at the top makes it well worth it. Trail is fairly covered on back half towards waterfall, open on the first half. I’m mid 30s and good shape, did entire trail in 2 hours with 10 minute break at waterfall. ",
69,2019-06-30,['hiking'],"Would highly recommend this trail - spectacular river and breathtaking waterfall! Moderately difficult and gets steeper just before the waterfall, but totally worth the effort. Hiking poles useful for the descent. Take a moment at the beautiful meadow - wildflowers in full bloom. ",
70,2019-06-30,['hiking'],"This hike was amazing!!! I don’t hike much and wasn’t sure how I would do, but I did it. The last part is really steep and tiring but the end is so worth is. We stayed at the waterfall for awhile and it was very cool. Go early in the morning when it’s not so hot and bring water!!!",
71,2019-06-29,['hiking'],"This hike was totally worth every step!! Went all the way up to the waterfall. Took about 2 hours and 45 minutes, stopped a couple times to breathe and check out the scenery. By far my most favorite hike this year. ❤️",
72,2019-06-29,['hiking'],6AM start was cool and the people were sparse. The lower Falls are amazin...with a dramatic cascade putting plenty of mist in the air. (met  a guy on the trail from the upper Falls...said they're twice the size but another .75 miles further up).  Didn't have time this trip...about 2hrs up and back if you jog a bit and don't hang out too long at the Falls. Well worth the time & effort... ,
73,2019-06-29,"['hiking', 'bugs', 'rocky']","Great hike! Relatively easy until the last .6 miles, then it’s a leg burner. Waterfall at the “top” is a great reward. Lots of people when we went at 7:30. #worthit",
