,Date,Tags,Comments
0,2019-08-28,['hiking'],Hike with 3.5 year old. He could have walked what we hiked but wanted to be carried.  Turned around due to a lots of flying bugs.
1,2019-08-23,['hiking'],Nice hike on the lower part of this trail. Hope to be back another day when I have more time to hike up further.
2,2019-08-15,['hiking'],"I hiked this trail today with my 3-year-old and another mom and 4-year-old. We hike up 1.1 miles to the waterfall and back down again (so I can’t comment on the hike as a whole)

We all enjoyed this hike. It went right along the creek so it was cool and fun for the boys. The trail was shaded and interesting with rocks and boulders and things to look at. We saw several kinds of wild flowers. 

This trail is any wide enough for single file hiking and has quite a few turns and plant life, so it’s hard to see down the trail very far. Keep that in mind if your hiking with a lot of people or with young kids you need to keep and eye on. 

Overall, beautiful, interested, well-shaded hike."
3,2019-08-11,['hiking'],"I only hiked to the waterfall (about one mile in), but can’t wait to do the whole thing on a cooler morning. Beautiful lush trail. A bit steep, but good work out."
4,2019-08-11,"['trail running', 'bugs', 'no shade', 'over grown']","Took this trail to the summit of Mt. Ogden. Miles 1-3 are pretty overgrown with lots of bugs, but don't let that deter you from trying this route as the views are absolutely worth it. There is no shade from mile 2 to the summit, so bring plenty of water and use sunblock if attempting this on a warm day. Happy to see the Western Tent Caterpillars have gone away for the summer... those things creep me out!"
5,2019-07-26,"['hiking', 'over grown', 'rocky']","Just complete Beus to Mt Ogden down to Snow Basin.  The Beus part of the trail is getting quiet overgrown with ferns in the lower few miles and scrub oak as you get higher.   Bring a machete.  The trail features a small creek and fantastic views as you get higher.  Once you get above the scrub oak, its a nice trail.  I didn't run into anyone after the first 2 miles."
6,2019-07-22,"['hiking', 'bugs', 'over grown']",went about an hour up and it was so overgrown I had to turn around. cant continue without a machete. beautiful trail
7,2019-06-15,['hiking'],Watch for rattlesnakes! Almost stepped on one on the way down.
8,2019-06-12,"['no shade', 'off trail', 'over grown', 'rocky', 'scramble', 'snow']","I hiked this trail yesterday up to Ogden peak, there was still quite a bit of snow when you get up to about mile 4-5 and then on. it was slow going and difficult but worth it. k came down the Malans Basin trail which was in itself difficult as that trail is not well defined. DO NOT wear short on the Beus trail if you are going up high, the trail gets really overgrown with scrub oak that tore my legs up real bad."
9,2019-06-11,"['hiking', 'no shade', 'snow']","Still very snowy near the top, need proper equipment to pass it! Near the top, before we turned back, we heard a cat of some sort politely asking us to leave its turf. A bit sketchy but it didn’t bother us at all."
10,2019-04-30,"['hiking', 'snow']","Great trail! Snow pack starts at 1.5 miles and we got stopped by the snow after 3 miles. It just got too sketchy for the shoes we brought. Great views once you get above the ridge! If you attempt this while its snowy, proper crampons are a must. Will definately be headed back this summer after the snow melts!"
11,2019-04-21,"['hiking', 'snow']","Hiked earlier this week until I lost the the trail in the snow about 1.5 miles in. The stream was running high, so I scrambled over some rocks rather than cross. You could probably keep going with spikes and trekking poles."
12,2019-04-20,"['hiking', 'muddy', 'snow']",This is a nice trail. I ran into snow at 1.48 miles and lost the trail. I will be back...
13,2018-11-16,[''],A little scratchy but a nice trail
14,2018-08-31,[''],We used this route to go get a beer at blues brews and BBQ at snow basin! Great hike♥️
15,2018-08-28,['hiking'],One of my favorite hikes but I have seen rattlesnakes all summer on this trail.
16,2018-08-27,[''],"this is a really beautiful hike. the fern forest is kind of amazing. the flowers were mostly spent, but still pretty. trail is pretty tight in some areas, but well worth the work when you take in the views. would definitely do again."
17,2018-08-09,[''],"I wouldn't do this trail again. 

We are in pretty great shape, but my wife wanted to turn back with about 2 miles left because we didn't know if we'd have a better route back down.

I liked how hard the trail was and could have completed, but this trail had a lot of challenges midway through that were not our favorite:

- The swarms of wasps was disconcerting and too frequent for our liking. It made it difficult to enjoy the light stream at all.
- The first overgrowth section was about a mile of swatting bushes out of your face.
- The second overgrowth was several miles in and it was low shrubbery that tore up your legs.
- The scenery and ""wildflowers"" were pretty blah.

If you're going for a challenging hike, enjoy overlooks, and are well equipped for the rough terrain, and don't mind a lot of overgrowth on your hike, enjoy!

*We hiked just under 10 miles total of this trail according to Google Fit."
18,2018-08-01,[''],"Awesome trail, lots of shade. About a mile up it opens up a bit with a ton of ferns that guard the path tightly for half a mile or so. I would like to go all the up and take Malans down. Looks like 10 miles and 4800 ft up"
19,2018-07-19,['hiking'],
20,2018-06-23,['hiking'],Took longer than expected but worth the views. Bring water and snacks. Snowpack made some parts a little challenging.
21,2018-06-22,['hiking'],Really good day hike if you go 1.6 miles and back really beautiful green. Reminds me of a jungle. After 1.6 miles it raps around and fallows The top all the way to Mount Ogden. Warning not much water after 1.6 miles recommend boiling or filtration.
22,2018-06-01,[''],Rattlesnakes are out already.
23,2018-05-02,['hiking'],"Easy to follow trail, overgrown and rougher terrain after the crossing around mile 2. The saddle is 2 miles further than shown, but significant snow fields make the trail invisible for now."
24,2018-04-30,[''],Great hike
25,2018-03-02,[''],no matter the season this is always an amazing worthwhile hike
26,2018-02-04,['hiking'],Good hike. Will try again in the Spring.
27,2018-01-07,['hiking'],I love this trail! Indescribably beautiful in the winter and not a soul in sight! ❤️
28,2017-12-01,['hiking'],"Beautiful and peaceful!  Got stopped by snow after 2 miles.   Not deep, but I’m not equipped for snow and it was getting slick.  Someday I hope to make it to the top!"
29,2017-10-29,[''],"It took me three tries to complete this hike from trailhead to Snow Basin.  First two times I was stopped by the snow and third time finished but ran out of water. Took the gondola down from the top and called for a ride from there.   Beautiful hike but second half is completely open with no trees or shade.  I did this hike in early September.  If I did it again, I would wait until late September or early October."
