,Date,Tags,Comments
0,2019-09-07,['hiking'],"Nice walk for people who are starting to get in shape. There was some shade at beginning and a few little backtracks in the middle due to lack of signs. It's a little noisy because of the freeway. But all in all, a pleasant outing that took 1.5 hours. "
1,2019-08-19,"['hiking', 'no shade', 'rocky', 'scramble']",
2,2019-08-15,['hiking'],"Enjoyable hike. The first mile is a trail, the second mile is road walking and the last of the trial is walking the Bonneville shoreline trail back to the parking lot. Great hike for kids (took a 4 year old and 7 year old)."
3,2019-08-14,['hiking'],Great trail if you’re looking for an easy hike! Pretty views and great trail condition.
4,2019-08-05,['hiking'],The trail fits its description as easy. The hiking trail is a perfect morning or evening easy hike. It provides views of the golf course below and surrounding area. 
5,2019-08-02,['hiking'],"This hike was ok but definitely not one of my favorites. The first part of the trail was great, but after the first half we kept getting lost as the trail isn't well marked and there are several other trails that connect. Walking through the neighborhood was confusing, too. The second half of the trail had almost no shade so it was hot, dry, and lots of long, dead grass. We did get to see two old wrecked cars on the trail, and an old washing machine, which was a highlight for the kids. I think I might enjoy this hike more when it's not such a hot day, and I'd only do the first half, then turn around and go back. "
6,2019-07-29,['hiking'],"really a great trail for someone out for a nice easy walk. you do have to walk up the street at the halfway point to get to the rest of the trail, but its quiet and quick! alot of birds and nice views along the path! this is one of my go-to trail hikes when I just need to get away for a bit, no planning necessary."
7,2019-07-14,['hiking'],"GREAT trail! Saw a variety of things! Switches from sweeping views to shaded walkways frequently, and gives exposure to a variety of plants and birds.

We started in the Rainbow Planet parking lot. Note that to do the whole loop, you will need to walk partially through a neighborhood about halfway through. Be sure to look for the house with the license plate siding when you do!

Really enjoyed this hike. "
8,2019-06-29,['hiking'],The hike was a good one for a beginners hike. there is shade along the trail and some open sun patches. I didn't go through the residential portion - went to the top of the trail and turned around. beautiful hike!
9,2019-06-24,['bird watching'],"Yikes!  I’d been on the trail last year, but it has deteriorated since then.  There are a few spots that are very narrow with sharp dropoffs, and downright frightening when you’re approached by a mountain biker coming at you from the opposite direction.  Not recommended for young kids or dogs.  "
10,2019-06-24,"['hiking', 'washed out']","There are parts of this trail that are absolutely gorgeous, but there are other parts that are in need of serious repair. Mountain bikers, and similar heavy traffic, have been using this trail when it is muddy which is causing deep ruts as well as rapid deterioration of parts of the trail. One section has only a couple feet of tread left before it is completely gone. "
