,Date,Tags,Comments
0,2019-09-02,"['hiking', 'rocky']","It was great crappy parking don’t double park or will be towed 
Easy and fun for kids to jump thou"
1,2019-09-02,['hiking'],"This is not a 1.1 mile hike unless you take the original trail which only has drop off parking. The trail entrance by the parking area is down about a mile (look for construction and a marked crosswalk, the new entrance is off the crosswalk). At the new entrance, it is about 3.5 mile hike, plus the distance to your car. It is a lovely hike, starts off easy and then takes on elevation at the switchbacks and has a couple spots of hearty climbing over rocks. The lake is pretty and worth the effort. I suggest bugs spray and patience with traffic, especially large groups if you go on the weekend. "
2,2019-09-02,['hiking'],"New trailhead is not 1.1 miles as stated more like 3-4 miles round trip. But I would rate trail as easy with some moderately steep areas that are do-able. Mostly shaded with aspens and pines . Went today 9-2-19 at 9:45 am and no problem with mosquitos or any flying bug. Very popular trail with families of even small kids.  Looks like 3 year olds can do trail no problem.  We are from California, so don’t hike here weekly, but this is definitely a trail I would do again. We started trail at 9:45 am and were back at car by 12:30, and that’s with a good 30-45 min rest to enjoy the lake views. One of my favorite trails !"
3,2019-09-01,['hiking'],"Great hike! Note, the new trailhead is about a mile further up the canyon from the old trailhead. The trail itself is very well shaded with almost no grade until you get close to the lake. There was a bull moose hanging out at the lake that didn’t seem to care about the large number of people and dogs. That being said, be sure to still keep your distance. "
4,2019-09-01,"['hiking', 'over grown', 'private property']","Bloods Lake was worth the hike and very scenic. Lots of people. Bull moose at the lake along with lots of dumb people. We made our way from Bloods Lake to Silver Lake and Silver Lake Islet to the northwest towards Midway. Very beautiful,  no people,  but lots of private property.  Bloods Lake old trailhead has no parking!!  Drop off area only. We parked over a mile down the road and had to walk to the trailhead. We discovered the lower, newer trailhead down the road a mile or so....after our hike.  They need better signage for those not from that area.  Great, beautiful hike.  But ticked off at the limited  parking areas.  "
5,2019-08-31,['hiking'],"MOOSE! We (2 adults, 2 kids ages 10 & 7) made it to the lake, were playing in and by the water...  and someone nearby said, ""Moose!"" sure, enough, big bull moose standing in the water! Stayed & watched for a while. It seemed to not care that everyone around was staring, taking pics, etc. Beautiful hike from new parking lot area. Surprised so many wildflowers were still in bloom. Pretty popular on a Saturday, but we didn't mind. Lots of pics for find memories."
6,2019-08-30,['hiking'],Saw a Moose at the lake! Awesome trail.
7,2019-08-28,['hiking'],First time visiting and I was amazed! I will be returning regularly as the views were amazing! the hike was nice with a bit of an incline towards the end but overall worth it. couldn't keep the pups out of the water. 
8,2019-08-27,['hiking'],"Moose on the trail, relatively shady from the new parking area. 3 miles round trip"
9,2019-08-23,['hiking'],Love this trail.
10,2019-08-23,['hiking'],"This is the second time I’ve done this trail but the first on this new route. I broke 5 ribs last week but still had no problem doing the hike. The scenery through the trees is breathtaking and the flowers were out in full force. Only heard a few mosquitos but we had put on bug spray so no problems. We got to the lake and a big moose was hanging out having lunch and then took a nap in the grass. We saw a woodpecker doing its job, and the chipmunks were running around everywhere. The lake is gorgeous but a bit too cold for my son to use the rope swing, which is on the last tree on the other side of the lake if you didn’t know. Maybe next year we’ll go for a swim. Great hike though. "
11,2019-08-23,"['hiking', 'bugs', 'rocky']","The old parking at the top is now a “drop off only.” There are signs posted discouraging shoulder parking there, also that it is “heavily enforced.” 

The new parking is down the road on the left right after the first crosswalk you come upon. The bathrooms weren’t open yet but there is a honey bucket. No trash can either yet so carry your dogs poop out. 

Trail is much better marked than the last, longer, shady, more wild flowers. Very mellow and flat at the beginning, then switch backs to get up and over to the lake, they can be steep. 

Took my best friend, Dogs, and our two year olds that hiked the whole thing with us, we were slow but they were able to get there unaided. (We carried them down). If dogs aren’t allowed, it’s not posted and there are quite a few of them, also we did swim in the water, hasn’t made the algae list as of now. (8/22/2019)"
12,2019-08-21,['hiking'],this was an amazing hike! the payoff was huge!
13,2019-08-21,['hiking'],Did this today with my 2 year old and 6 year old. They both enjoyed it immensely. Does get a little steep at the end so I ended up carrying the 2 year old. Lake was nice for jumping in so take your swimsuits. It is 3.4 miles round trip. 
14,2019-08-20,['hiking'],Does anyone know if dogs and swimming (for dogs and humans) is still allowed on this trail? 
15,2019-08-20,['hiking'],Love this trail.  Beautiful spot at the lake to have a snack.  The new parking area is great with brand new restrooms.  Walk all the way around the lake.  There was a rope jump into the lake so if interested wear a bathing suit.  
16,2019-08-18,['hiking'],Lovely trail! Completed in the evening light during a rainstorm. Amazing! Super easy and can do within an hour. 
17,2019-08-17,[''],"New trail is partially shaded which is nice. Still a moderate hike, but much longer.
Very crowded on the weekends.  
Wear insect repellent. "
