,Date,Tags,Comments
0,2019-08-29,['hiking'],This was a really easy hike in. I carried my paddle board in and had no trouble at all. Definitely would recommend!
1,2019-08-13,['hiking'],"The views are amazing, easy for the whole family! "
2,2019-08-09,['hiking'],"lovely stroll.   wild flowers in bloom.  lots of people.  there is a day use fee box, $5 per vehicle including ATV. "
3,2019-07-25,['hiking'],"Amazing beautiful series of lakes clear up high :) we loved it as did our doodle pups. Wildflowers are in full bloom and road up was tons easier driving to get in the razor. We were the only ones there from 9am to but by 11am a gazillion people showed up. Go early! 
Must do rope swing. "
4,2019-07-21,['hiking'],"Okay, the real challenge here is not the trail itself, but the road to get up there.
This loong dirt road gets bumpy and quite narrow sometimes and there is quite a lot of traffic.
Drive slow, watch for incomong cars and get a good 4WD SUV.  

Though, this is a pretty nice little family trail, with two very nice lakes !

Bring your bathing suit!"
5,2019-07-14,"['hiking', 'rocky']","We hiked this on 7/11, you can park at the trailhead now, it's not blocked by snow. Lots of wildflowers on the drive and hiking up. Rope swing worth trying. very short and easy hike. "
6,2019-07-13,['hiking'],"We went early in the morning, beautiful and quiet! It is an easy hike, we were able to do it in our sandals! For those that want to do it, I recommend getting your feet wet, and to go before noon because that’s when a lot of people start showing up! "
7,2019-06-24,"['hiking', 'snow']","Great hike! Right now the gate to get to the trail head is closed. It’s about 2.5-3.0 mile hike from the gate to the trail head. When you get to the trail head there is snow! Right now you hike in the snow pretty much from the trail head to the lake. Super pretty! It was a great hike, but I’m sure there would be less snow if any in late July/August! "
8,2018-10-07,['rock climbing'],"always a great time in this beautiful little spot of serenity and fun. little bit of every thing; hiking, rock climbing, swimming, rope swinging into the lake, Cliff diving, camping."
9,2018-09-24,[''],"my husband and I went a few years ago and loved it!  it is such a beautiful place. However, I remember the road being horrible. is it bad right now?  I would like to take my minivan if I can, instead of my truck."
10,2018-09-22,['hiking'],"This was a fun family hike and the lake is beautiful, nestled in a canyon bowl."
11,2018-09-07,[''],Fun and beautiful
12,2018-09-04,[''],it was amazing
13,2018-08-18,[''],I've been want to go for sometime. It was mich more than I expected. view was great. kids loved the rope swing.
14,2018-08-17,[''],"Breathtaking scenery, easy trail. Not a lot of shade. Glacier lake at the end with a rope swing if you dare!"
15,2018-08-13,['hiking'],This is a fun hike for the entire family.
16,2018-08-09,['hiking'],Loved this hike!!! The lake was so much fun!
