,Date,Tags,Comments
0,2019-09-07,['hiking'],Heavy traffic trail but worth it. I would highly recommend hiking up to the upper Falls.
1,2019-09-03,['hiking'],The waterfall itself is amazing you can park at the trailhead and walk but it is very crowded with people and bikes. If you are interested you can continue driving down the road and park right at the waterfall and enter the trail there. I would recommend seeing this waterfall then continuing down the trail to Upper Falls it is also nice with way less people.
2,2019-08-30,['hiking'],Great short paced trail for family. The falls were beautiful. We brought our Frienchie and they had ice cream at the end. 
3,2019-08-27,['hiking'],"Short and sweet! Half paved, half rocky, but very do-able !!! Loved it! For the short time we had in Provo, it was perfect!"
4,2019-08-26,['hiking'],"Beautiful trail with rewarding falls. Within the first mile, you’ll see families picnicking near the river, and see the beautiful veil falls. Good for biking and bringing dogs. Pretty heavily trafficked. For more of a challenge, also do the upper falls trail. There were ribbons lining the trail going up the trail :) the upper falls were just beautiful and if you turn around you’ll also see a view of a great mountain!"
5,2019-08-25,['hiking'],"Easy but worthwhile trail. It’s very well shaded and stays cool, and the short hike to the falls at the end is worth it. "
6,2019-08-25,['hiking'],"Super easy paved trail to walk on! It’s populated towards the afternoon, but was pretty empty and enjoyable on a Sunday morning. Just past the waterfall/bridge you can find a trail that will take you up closer to the waterfall. The trail up to the waterfall is pretty steep and very rocky. Overall, a great easy hike/walk for any ages!"
7,2019-08-24,['hiking'],Awesome trail. Must do. Easy n rewarding
8,2019-08-22,['hiking'],"I’ve run this trail a million times, it’s super easy and can be done by walking in about 10 minutes! Fun, quick hike. "
9,2019-08-17,['hiking'],will definitely go on this trail again! so pretty 
10,2019-08-17,['hiking'],"The paved path is awesome for anybody! We did some hiking as well. Right after the falls, there is a path that goes up where you can stand at the base of the main falls. It is very rocky and steep but we took our dogs up it and we were fine! We went on the Upper Falls trails too. It is also rocky and steep but definitely worth the hike up - no one else was there! It was awesome."
11,2019-08-16,['hiking'],I wouldn't call this a hike but our dogs love walking this trail! 
12,2019-07-28,['hiking'],It was a nice hike.  The only problem I had was that people riding their bikes weren't as considerate as they should have been.  When I'm riding my bicycle and there are people ahead of me I announce myself and inform them which of their sides I'm passing on.  But maybe that's just me. 
13,2019-07-28,['hiking'],Great trail run!! Beautiful view and Provo canyon parkway right next to it:))
