,Date,Tags,Comments
0,2019-08-03,"['hiking', 'bugs']",
1,2019-07-29,"['backpacking', 'bugs']",I loved this trail! The only downside was that there were so many mosquitos. But it was super scenic and the lakes were beautiful. We backpacked in about a mile and then day hiked up to the peak. Super pretty area and the weather was perfect! It was pretty steep and two of us were feeling under the weather but we just took it slow and still made it to the top! 
2,2019-07-28,"['hiking', 'muddy']","7/28/19 Hardly any snow at the top near Lake Catherine and a bit muddy in other places along the trail. Went counterclockwise and had a bit of a delay due to a whole moose family (bull, cow, and 2 calves) having a mid-afternoon snack in the middle of the trail. Also saw some marmots, ground squirrels, chipmunks, and a woodpecker out today. The lakes are beautiful and the wildflowers are in bloom! Just remember bug spray for the mosquitos."
3,2019-07-27,"['hiking', 'bugs', 'snow']","Truly an amazing hike. Take path #1 so you're going counter clockwise and there will be way fewer people. The views are excellent and while some parts are steep, you do get breaks. Helps to have bug spray and sun screen. "
4,2019-07-15,"['hiking', 'snow']",Beautiful area. The views at Lake Mary and  Martha were incredible. Still lots of snow a over Lake Martha.  Lots of people on the trail up to Lake Mary.  
5,2019-07-09,['hiking'],I can’t say enough good things about this hike. The only negative comment is that it’s very poorly marked and without AllTrails it would have been very difficult to follow the route. Granted we did have a few diversions for snow and photos but it’s not a well marked trail.
6,2019-07-06,"['hiking', 'snow']",Still some snow on the trail when you get to Lake Martha and above. Spikes aren’t really necessary but helpful. It’s a little hard to navigate between Lake Mary and Twin Lakes as there is snow on this section of the trail as well. Pretty fun hike with all the lakes and being able to make a loop of it. 
7,2019-06-26,['hiking'],"I haven't done this hike yet, but would like to go on July 5.  Can anyone tell me how the snow melt is doing and does anyone recall approximately how long it took them to do the entire loop?  We have an event we have to go to in the evening. "
8,2019-06-10,['hiking'],"June 9 - This hike is completely covered in snow. It still has a couple feet left to melt. It was still a fun time if you are up for an adventure, but don’t expect to see the trail or any signs (they are still buried). We are excited to hike it again later in the summer!"
9,2018-10-13,[''],"Beautiful hike! Knee deep snow once you get to Lake Catherine, but so worth it."
10,2018-09-29,[''],Beautiful trail. Nice to take breaks around the lakes. Lots of fun! Saw moose right before getting to lake Mary. Incredible views.
11,2018-09-16,['hiking'],"Gorgeous trail. Fall leaves beginning - probably a couple weeks to peak. Few people on the trail although 10 or so eating at the lake. Hiked with a 9 yo who was awestruck by the views and had no trouble with the uphills, the rocky areas nor the gravel downhills."
12,2018-08-18,[''],"we did 4 of the lakes, well worth it. saw a huge moose about 15 paces from us, as well as a lot of other wildlife. lake mary was moderately trafficked, but catherine and the smaller one we saw only had one or two others in sight. we only saw two other people on the actual loop (they worked for the watershed) but there seemed to be people both going to mary or catherine, just not via the loop."
