,Date,Tags,Comments
0,2019-09-07,['hiking'],"such a beautiful and fun hike. great for entire family. All kids, ages 3-10 did great and loved it. "
1,2019-09-03,['hiking'],"Short hike with big payoff. Wasn't super crowded, but plenty of room for people to spread out. Views for days and even saw a Bobcat up into the hills!"
2,2019-09-02,['hiking'],"While I think this was an AWESOME hike, I would classify it as more of a moderate hike (at least the last half) it’s really steep and rocky. It’s just good to know that before you go, but our whole family did it! (Ages 17 down to 5). Beautiful lake and if you look you can see salamanders in it! "
3,2019-09-02,['hiking'],"Busy for Labor Day but beautiful hike with some incline, carried a baby and only got mildly sweaty if that helps the moms out there "
4,2019-09-01,['hiking'],Trail was perfect going up this morning but by 11am way to crowded for me...
5,2019-08-31,"['hiking', 'rocky']","Beautiful! Rocky path up the mountain but definitely do-able. I had a severe knee injury a few yrs back and was worried it would be too rough but took it slow, so it wasn't bad at all. Although I would say its moderate rather than easy... to me easy means mostly flat and not rocky. I will definitely do it again."
6,2019-08-30,['hiking'],"Nice and easy hike! Getting to the lake is fun, continuing the hike for higher views is better. "
7,2019-08-29,"['hiking', 'bugs']",Great trail for a quick hike.
8,2019-08-27,"['hiking', 'bugs', 'no shade', 'rocky']",Beautiful. We hiked it Sunday evening with our young kids and it wasn't hard at all. We saw a deer grazing and some cool birds. The trail is wide which is nice and it's not too far to the lake. It took us about 30 minutes to get there with stopping for pictures. The mosquitos didn't bother us unless we were stopped. The wildflowers weren't as pretty as I thought they'd be so it wasn't wowing. Maybe that has to do with the time of day we went. When we started it was a little chilly but we warmed up once we got hiking. We got back to our car right when it was dark. We did pay the $8 to go up to the campground and start right at the trailhead since we were so late and had littles with us. It was a great hike and I'd like to do it again sometime.
9,2019-08-25,"['hiking', 'rocky']",
10,2019-08-25,"['hiking', 'bugs', 'rocky']",Amazing hike. We camped over night on the edge of the lake and it was phenomenal waking up to the sun and the stars at night. They are clear and mesmerizing. The elevation change got to us a bit because we aren’t used to hiking straight up. The last leg of the trail is a couple of switchbacks that are steep and close to the edge of the cliff that sits to the back of the lake. Mosquitoes are out so bring blocker! We heard moose drinking from the lake while we slept. It was a great hike! Bring lots of water!
11,2019-08-25,['hiking'],Amazing challenging hike
12,2019-08-24,"['hiking', 'rocky']",
13,2019-08-24,['hiking'],my favorite place to chill in Utah. only a 30 min hike from the parking lot after you pay a $8 fee. It's a very easy hike. 
14,2019-08-23,"['hiking', 'rocky']",
15,2019-08-22,"['hiking', 'bridge out', 'no shade', 'over grown', 'snow']",
16,2019-08-20,['hiking'],"Short romp up to see the stunning views, the lake and “Devil’s Castle” ridge behind. It was crowded, but the trail is wide and it didn’t detract from the view. You can continue up past the lake for even better views. "
17,2019-08-17,"['hiking', 'off trail', 'rocky']",Beautiful landscape
18,2019-08-13,"['hiking', 'muddy', 'rocky']",
19,2019-08-13,['hiking'],Awesome trail with splendid views and wildflowers
20,2019-08-11,"['hiking', 'muddy', 'rocky']",
21,2019-08-11,['hiking'],Access to the Albion Basin Campground parking area is available. The dirt road between the booth and the campground has an amazing wildflower display. I saw only a couple-three mosquitos. 
22,2019-08-05,"['hiking', 'bugs']","Short hike, a little steep at the end. Beautiful throughout, especially the lake. But holy hell, the mosquitos. Swarms of them. Be prepared"
23,2019-08-04,"['hiking', 'bugs', 'muddy', 'washed out']",
24,2019-08-03,"['hiking', 'bugs', 'rocky']",*BRING BUG SPRAY*- We headed up the trail around 8am and the mosquitos ate us alive! The wild flowers are crazy beautiful right now along the Albion Wilderness Trail. Rocky and steep towards the end but otherwise a relatively easy and nice hike up to the lake.
25,2019-08-03,['hiking'],loved the trailer.. only problem was the 1000000 mosquitos 
26,2019-08-02,"['hiking', 'rocky', 'scramble']",
27,2019-08-02,['hiking'],"Nice wide trail made it easy to help my younger kids 5 and 2 on the trail. When we got to the switchbacks just before the lake I made my 2 year old get in the hiking backpack so we wouldn't be as slow. Doable, but holding a younger kids hand is helpful for some of the bigger steps up rocks and especially down. Got there about 8 am and there were 20+  parking spots. When we left at 10 (played at the lake for awhile) there were only a few parking spots where  people had just left and many people parked down the road at the pay station and about 10 cars lined up to get in. $8 per car to use the summer road and get to the trailhead. If you get there before 7am you are to use the self pay station. Wildflowers are just starting to bloom on the trail with some real pretty meadows. The lower basin has lots more flowers blooming so I'm guessing a little higher up will follow suit shortly. Definitely bring bug spray. Lots of mosquitoes, especially when we first got there."
28,2019-07-28,"['hiking', 'bugs', 'muddy', 'no shade', 'rocky']","Short, solid hike with rewarding views. Loses one star due to the insane amount of bugs, awkward parking situation, and crowd. "
29,2019-07-25,['hiking'],"Shuttle service now offered on holidays and weekends for high traffic. Comes and goes every 30 ish minutes; two shuttles go back and forth. Very little snow around but it’s gorgeous! Wild flowers are in bloom and it feels like spring up there. Crowded for parking, trail wasn’t too bad if you went early, but we went on a holiday. Absolutely beautiful. Cool air and perfect for a picnic with kiddos! We took our two year old."
30,2019-07-24,['hiking'],"Wildflowers still need another week or two, but still gorgeous."
31,2019-07-24,"['hiking', 'rocky']","Lots of mosquitoes right now in the morning. Rocky, but a fun hike! "
32,2019-07-23,['hiking'],"Pretty easy trail. Not a lot of parking in the evenings if you pay the $8 to go up the summer road so be sure to arrive early. Saw 2 moose and a beaver. Wild flowers are starting to bloom, it was beautiful. "
33,2019-07-23,['hiking'],$8 to go past the booth. Cool night hike with lots of deer and we saw a porcupine 
34,2019-07-23,"['hiking', 'bugs', 'rocky']",My first time on this trail.  Steep in places but not difficult.  You cross water several times but it’s easy to step across on rocks and keep your feet dry.  The mountain air feels cool and beautiful first thing in a morning - but lots of mosquitos out around the campground.
35,2019-07-22,"['hiking', 'no shade', 'rocky']",
36,2019-07-16,['hiking'],The Summer Road with access to the Albion Basin Campground and the Cecret Lake Trailhead is now open for the season. 
37,2019-07-15,['hiking'],"Just heard that they will open Albion Basin Campground next weekend (7/20), so access to Cecret Lake should be easier/shorter at that point. Looking forward to hiking it then"
38,2019-07-13,['hiking'],"Part of the road to the trailhead is closed. As of July 13, 2019, the hike ends up being just short of 7 miles with 1,104 ft in elevation gain. Parts of the trail are flooded over with streams, so it's pretty muddy in places. No snow on the lake, but a lot surrounding it."
39,2019-07-10,"['hiking', 'snow']","Hiked up on July 6. Road was closed, so parked at the upper Alta lot, and walked up the dirt road (Albion Basin Road) to the trailhead. The trail itself has some large streams that can be difficult to cross, and there is lots of snow near the top, so you'll have to go off trail a decent amount to get to the lake. The lake still has quite a bit of snow in it."
40,2019-06-17,"['hiking', 'snow']","The Albion base area will be closed for the summer of 2019 due to construction.

Due to extremely limited parking access at Cecret Lake/Catherine's Pass Trailheads and to reduce congestion on the Summer Road and in the upper Albion Basin parking areas, it is highly recommended that hikers park in the Wildcat base area parking lot and hike the Lower Albion Meadows Trail to the Upper Albion Meadows Trail or ride the $5 shuttle provided by Alta Ski Area on weekends and holidays.

Due to above average snowfall, the Summer Road is not expected to open until mid-July."
41,2019-06-06,"['hiking', 'closed', 'snow']","The gate to the road is closed until July 4, 2019. We hiked up the road, easy walking and pretty views, only to discover up top that there’s no real trail due to snow. The lake is snowed over as well, I recommend waiting until later in the summer/fall to do this hike. "
42,2019-05-18,['hiking'],
43,2019-05-12,"['hiking', 'no shade']",
44,2018-10-30,[''],"****ATTENTION****

As of October 30 Cecret Lake Trail is closed. In fact, the only road to the trail is closed for construction."
45,2018-10-11,['hiking'],"Super easy, just chill and cool view at top."
46,2018-10-01,['hiking'],"This trail is closed through October 2018.  I made the trip up yesterday, along with quite a few other hikers, only to find out it is temporarily closed."
47,2018-09-22,[''],"It was pretty. The hike was fairly easy until the last part where it’s rocky, steep switchbacks. I’m out of shape and kinda died a little. The lake was smaller than I imagined but it was so nice just chilling on the rocks catching my breath! The breeze was a definite plus!"
48,2018-09-16,['hiking'],Pretty beautiful; enjoyed it. Great hike for a date with someone who isn’t that outdoorsy.
49,2018-09-15,[''],This was a beautiful hike but you now have to pay 6 dollars to park at the base of the hike or walk 2.2 miles to get to the hike.
50,2018-09-07,[''],Great hike but I wouldn't have labeled it as easy. Towards the end of the hike it became a challenge. The last part of the trail to get to the lake is steep and involves switchbacks. To me pretty strenuous but the result of it is very rewarding.
51,2018-09-06,['hiking'],Hate they make you pay now. But this trail is family friendly with some information. It's always nice and cool especially with a breeze.
52,2018-09-04,['hiking'],"Great trail overall. Most of it can be considered easy. However, it is important to note that the final tenth of a mile or so is quite rigorous with switchbacks. The payoff is just at the top of the hill though. For this who are not accustomed to walking at higher elevation and/or engaging in regular exercise, the last 10th is quite challenging.

Also, there is NO shuttle bus. You can buy lift tickets at Albion base (ample parking). It is FREE to ride the lift DOWN, but not up."
53,2018-09-02,['hiking'],Fun hike but I wouldn’t say it’s easy. More moderate. I hike a lot and it’s a good little climb.
54,2018-08-26,['trail running'],I thought it was a relatively easy trail and very nice reward at the end.  Very popular and crowded trail. Would recommend for beginners
55,2018-08-26,['hiking'],This has been my favorite hike in the SLC area so far!!!!!
56,2018-08-19,['hiking'],Hiked this in August with a healing ankle sprain. Fairly easy with beautiful views. Highly recommended.
57,2018-08-19,[''],Great hike!
58,2018-08-17,[''],I loved this hike!! It was great for me and my boys!! It was a good length and a mix of flat and a little steep!
