,Date,Tags,Comments
0,2019-08-31,['hiking'],"As of Saturday Aug 31st, DNR  had the trail closed due to the fire"
1,2019-08-28,['hiking'],"The trail itself was very narrow and on the edge of the cliff. I had two dogs so I was uncomfortable at actually going all the way in on the trail. However where you park there is a huge wide bike track that long, that was awesome and perfect for the dogs and I to get in our exercise and feel safe"
2,2019-08-18,"['hiking', 'bugs', 'muddy']",Nice place to hike... Beware of rattlesnakes 
3,2019-08-17,"['hiking', 'bugs', 'washed out']",
4,2019-08-14,['trail running'],"We hike and trail run this trail regularly up to the waterfall and back. It’s a great hike, plenty of shade and well groomed. Beware however, today we came close to stepping on two rattle snakes that were just off the trail. Fortunately we heard the rattle first  "
5,2019-08-12,['hiking'],"The route to the trailhead is a steep dirt/gravel road. You don’t really need a high clearance vehicle, I carefully drove it in my Chevy Volt. Just avoid the large rocks and ditches. 
The trail is pretty easy for the most part. There are some areas where you scramble over some large rock outcroppings. Other than that, the journey is fairly doable for most people. The trail does have some short steep segments but 75% of the trail is a modest climb in elevation.
 I saw a few families on this trail. There is a large rope swing roughly a mile in and some permanent campsites with custom built benches along the path. I would highly recommend this trial to other people."
6,2019-08-10,"['hiking', 'over grown', 'rocky', 'scramble']","Great trail with lots of shade that ends at a beautiful waterfall. Would warn that parts of the trail are a bit difficult and technical. Some spots are narrow and steep, and there is an area where you need to climb over rocks, which may be difficult for some. "
7,2019-08-02,"['hiking', 'muddy']","Easy trail to follow, a few muddy places, but not a problem. Lots of wild raspberries and butterflies. There is one area where the trail crosses the stream that isn’t as obvious as the bridges. There is a marker on the tree across the stream, but if you miss it it’s easy to get back on the main trail.  I really enjoyed this hike. I agree with the moderate rating.  And the falls are beautiful!  Lots of vegetation and shade. "
8,2019-08-01,"['hiking', 'rocky']","Awesome hike!! We ventured the North trailhead in rather than the South. It’s definitely more challenging. However, I was so pleased once we made it over by the creek. The trees provided a lot of much needed shade. The hard work was so worth the rewards. "
9,2019-08-01,"['hiking', 'off trail', 'rocky']","I saw this hike was moderate, thought to myself “oh this shouldn’t be too bad” I’ve done many moderate hikes so I thought this one would be nice for a Thursday morning... right?? Wrong, you get a half mile in, yes, HALF MILE in and your basically rock climbing. On the way to that point I saw a bunch of kids and some very heavily pregnant women so I really thought this trail wouldn’t be bad. Couldn’t even finish it. It was very steep in some places, very rocky and slippery. Thin small trail that can only fit a single file line of people. The woman I asked up here said once you get past the extremely steep rocky part at the half mile mark, it gets slightly better but is still steep. Moderate my butt.... I might come back later without the dogs and do this with just people, but definitely couldn’t do today. "
10,2019-07-30,['hiking'],"What an awesome trail! I almost did not do this hike because I was running out of time, but I'm so glad I did. I got a late start, starting at 7:45 p.m.  so  the way back was mostly in the dark. It took me just under two hours to get to the 2.5 mile marker and back. highly recommend this one. and kind of fun to do at night as well. "
11,2019-07-29,['hiking'],"One of the best trails I've done so far this year not too challenging, The views are amazing and the waterfall is easy to get to. Will definitely do this one again."
12,2019-07-28,['hiking'],A really nicely shaded trail! The falls are quite nice and there were a lot of Wild Raspberries to pluck along the trail! 
13,2019-07-28,['hiking'],"So many wasps everywhere! Ran into a couple nests on the side of one of the bridges. Also, I think someone may have cut down the rope swing as there was just a small bit of rope left hanging from the tree. I would probably rate this on the harder side of moderate just because it's pretty much uphill the entire way. The creek is very pretty and it stayed pretty cool all the way up."
14,2019-07-21,"['hiking', 'bugs']",
15,2019-07-08,"['hiking', 'muddy', 'rocky', 'scramble']",One of my favorite trails! Nice shady hike and very beautiful!  Seen a gopher snake at the beginning of the trail. Very narrow at the beginning of the trail but not bad after the boulders. Some steep areas. Our 3yr old was able to do the hike to the waterfall and back w/some assistance (just took a little longer). We really enjoyed the fun rope swing as well.
16,2019-07-08,['hiking'],nice shady hike
17,2019-07-01,['hiking'],"This was a beautiful hike with lots of shade. There is a fun swing a little over a mile up that my boys really enjoyed. If you have kids in tow and they don't want to go past the swing, I don't think you are missing out. The waterfall is pretty, but not worth hearing complaining kids and fighting kids for another 1.3 miles. Your best experience would be to go without children and actually enjoy how beautiful and peaceful it could be there. "
18,2019-06-30,[''],We loved this trail♥️
