,Date,Tags,Comments
0,2019-09-05,"['hiking', 'no shade', 'rocky', 'scramble']","Beautiful hike with amazing views. I was there in 5th September. Started at 7 AM at Montage, I reached the summit ať 9:20 AM. Highly recommended! :)"
1,2019-07-15,"['hiking', 'rocky', 'scramble', 'snow']","Did this July 2nd. It’s definitely tough and quite a vertical gain, but totally doable for people in reasonable fitness. Recommend hiking boots or waterproof shoes and poles if you’re faint of heart. 
The top third or so is all snow. Gorgeous views at every point. 

Took us about two hours with lots of rests and picture-taking. 

For a more relaxing, family hike, you can just loop around the lake at the base by the parking lot. "
2,2019-07-15,"['hiking', 'bugs', 'rocky', 'scramble', 'snow']","Hiked 7/15, patches of snow near the top. Beautiful 360 views of Park City, Heber, and Salt Lake City. Pretty steep climb from the start, and the last 10 minutes requires you to scramble over big boulders. Worth the climb once you get to the top! "
3,2019-07-08,['hiking'],"great views as always. some snowy patches, but very doable without spikes. still not sold dogs can go to Clayton as it's in the BCC watershed."
4,2019-06-10,['closed'],june 9 road closed
5,2018-10-29,['hiking'],"Very thankful to have done this climb with my huskies before Guardsman Pass closes. 

Climbs rapidly in a short amount of distance. 

The snow wasn't too bad when I was there. 

Crampons probably not necessary in my opinion. 

Gaiters would be good though ..

:-) 

!!"
6,2018-09-23,['hiking'],"Not a hike I expected, but I loved the scrambling over boulders to get to the top! Colors changing and gorgeous views all around. We did the loop around Bloods and Lackawaxen Lake as well as Peak 10420, all of which are entirely do-able if you want to make this a two-fer peak day along with lakes. Bloods Lake had a ton of families and dogs, so if you don't like crowds, don't plan on spending time at that lake. Lackawaxen was less people and more serene."
7,2018-08-19,[''],"I loved this hike!! We decided to hike the peak in the morning to see the sunrise. We started hiking around 4am and got to the peak at 5:30am. It’s a pretty steep hike, and when you get to the ridge line it can be a little difficult to follow. The entire experience is definitely worth it. There is also a lake directly below the peak. If you back track about 0.5 miles back you can hike down to it. Do this hike you won’t regret it!!!"
8,2018-08-15,[''],nice little hike after work
9,2018-08-13,['hiking'],"Great hike with good views at the top. While on the trail we ran into Forest Service officials who indicated that this trail is actually in watershed, so no dogs are allowed. Dogs can be on the trails to blood lake. But not allowed on the peak area."
10,2018-07-22,[''],"Had to park on the road, typical for a Saturday. What I love about this trail is there’s no lead up or long approach to the steep trail. You start climbing right after the parking lot. Definitely a hard trail but can be done by most in average health, with frequent stops (like me).  You can climb 2 peaks on this route. Lots of rocks and boulders to cross. Great hike to wear your approach shoes on!
I came back via Blood lake, didn’t want to try and navigate the steep slopes down on the out/back route."
11,2018-07-20,['hiking'],Early 7 am start. One hour each way. Cool at top with beautiful view. Bugs weren’t a problem.  Get to parking lot before 7 am on weekday and spaces are available.  Steep slippery conditions coming down a little hard on the knees.
12,2018-07-11,['hiking'],"Steep with numerous areas of loose gravel and dust.  Views are spectacular - numerous lakes below on both sides of the trail.  Flowers are in bloom, which is good, but with the flowers comes swarms of butterflies, bees and flies.  Nothing was biting, but the constant ""buzzing"" sound got old."
13,2018-07-11,['hiking'],I found a hat and sunglasses up near the top of Guardsman Pass on Sunday 7/8. If they are yours message me describing your items and I can get them back to you.
14,2018-07-10,['hiking'],Bring BUG SPRAY!!! Bathe in it!!!! The sheer number of mosquitoes made this pretty miserable - I wouldn’t recommend but you do have nice views to the east and west. Loose rock combined with steep incline also knocked a star.
15,2018-07-07,[''],"Tough, steep trail. Did this last week with a friend because we wanted to fit in a short, harder workout and this was perfect fit. Will probably do this one again with a less direct route via some of the lakes. Take bug spray!!!! As mentioned in prior review parking at Guardsman is usually crowded even during weekdays. Very nice at the top!"
16,2018-07-06,['hiking'],"Definitely recommend summiting Clayton. It's not far once you complete 10,490. It just looks like it. The views at the top are rewarding!"
17,2018-07-01,['hiking'],Fun time on this trail today. Beginning section is very steep but do not let that stop you from trudging along. The first side peak you pass is definitely worth checking out! We came back the same way we came up and wish we connected the loop with blood lake because it was a slippery walk down
18,2018-06-30,['hiking'],"Steep, beautiful breezy hike, we connected with blood lake trail on the way back.
Small parking lot was full at 10am.  We waited a few mins then parked alongside the main road, which was lined with 30+ cars.  Returned to a nice row of cars with parking tickets, including ours...If you park alongside the road, make sure you are not over the white line!"
19,2018-06-15,[''],Don’t be fooled by the short distance — this is a tough trail. Very steep. The final approach to Clayton Peak is basically scampering over boulders. Views are incredible!
20,2018-03-28,[''],Amazing views!
21,2017-10-26,['hiking'],"A quick drive from Salt Lake, dog friendly, extraordinary views. This hike delivers so much in just 2.5 miles. 

For a more detailed review and some photos, check out the link below:
https://www.kelseykagan.com/home/2017/10/23/clayton-peak"
22,2017-09-28,['hiking'],"Great hike! Nice and short to bag a peak. Lots of snow on top though, up to my knees. I had poles that helped a lot, but forgot my spikes. I highly recommend you wear spikes!"
23,2017-08-16,[''],"Hiked over 10420 then up to Clayton. Dropped down to lake below guardsman on my way back to the parking lot. Took 2.5 hours, not too long but steep. Beautiful views of Timp and cottonwood canyon from Clayton."
24,2017-08-12,['hiking'],Fun day hike and beautiful scenery.  Hike up 10-420 is strenuous but pretty easy to the top of Clayton after that.  Sketchy decent to Lakawaxan lake but nice hike back to guardsmen pass from there.  Several non marked trail splits.....always choose left.
25,2017-07-10,['hiking'],"Took my 10 year old 7/9. We loved it. Very steep, but it's short so that makes up for it. The boulders to get to the actual peak are really fun. Beautiful views of Deer Creek, Jordanelle, and Brighton. There was still a couple patches of snow that allowed us to have a couple snowball fights. Lots of people up there on a weekend. You will more than likely have to park a ways from the trailhead."
26,2017-07-07,['hiking'],"We hiked from Guardsmans Pass up to Peak 420 and continued up to Clayton Peak.  We came back down and around Bloods Lake.  The total mileage was 3.2 miles but felt like 7 miles because it's pretty steep.  I wouldn't suggest for little kids, Bloods Lake is a great one for kids.  Overall this is a really pretty hike and will give you a good workout.  Dogs love this hike too.. at least mine did!"
27,2017-07-05,['hiking'],"6.29.17

This hike is beautiful. I would rate it as hard since the elevation gain. There was still some snow at the top, which my dogs loved. I absolutely will do this again."
28,2017-06-27,['hiking'],"The written overview doesn't match the map. There are two routes. The written one does start from the resort and you climb the south side of the peak. The route on the map starts from Guardsman Pass and you would follow the upper trail above the route to Bloods Lake, climb over peak 10400, then go down the saddle and up the west ridge of Clayton. I prefer the map route but if parking is not available at the pass, the second route is just fine as well."
29,2017-06-17,['hiking'],"This is a beautiful quick climb to have mountain top views. The snow along the ridge, this time of year, offers a fun edge to the moderate skill level hike."
30,2016-11-01,['trail running'],"The trail was breathtaking. It was steep at times, with a scramble at the end. I was amazed at how accessible the hike was. Well worth it"
31,2016-10-20,['hiking'],"What a great hike to bag a 10,000+ ft summit!  Yes, this is a steep hike, but the trail is plenty wide and the views at the top are incredible.  Did this about a week ago and there was a dabbling of snow at the top.  The hike down (the south side) was a bit steep.  My wife and I managed this hike with a 2 year old in a backpack and an 8 month old in a carrier.

Made this a loop by going down the south side of the summit (towards Clayton Peak) and dropping into the gulch below and passing by Bloods Lake."
32,2016-10-17,['hiking'],"We hiked this trail in mid-October and by the time we reached the top- it was really windy and had a few snow flurries. But it was well worth it given the magnificent views. You have great views of Brighton/Solitude, Mt. Timpanogos and down to Midway. The peak sits right on top of the Great Western Express lift from Brighton. We parked at the top of Guardsman Pass and hiked via 10,420 Peak and then continued on. The top of Clayton has a lot of rocks/boulders that you have to scurry over but nothing super technical or scary.  A very accessible peak (about 1-1.5 hours) from Guardsman Pass."
33,2016-10-17,['hiking'],Great hike with impressive views. The trailhead is very accessible from the Guardsmen Pass but as others have commented - it is steep right from the start. It is a short hike from the Guardsmen parking lot so we continued on to Clayton Peak (aka Majestic Peak). Clayton peak requires some scrambling over boulders but we had 4 thirteen year old boys in our group and they managed it no problem. You can also tack on a hike down to Lackawaxen lake and then Bloods lake. The top of Clayton provides amazing 360 views of the entire Wasatch range and sits in top of Brighton ski mountain and the Great Western Express comes almost to the top of Clayton.
34,2016-09-13,['hiking'],Hiked this on the way to Lackawaxen Lake. Nice views
35,2016-09-04,[''],"JUST an FYI,  If you are starting this trail from 224 (Guardsman's Pass) this is NOT a good trail for cross country skiing..."
36,2016-08-20,[''],"Great little hike, steeper than Mt. Timp trail! You can see almost all the ski lifts in the area and even cecret lake. Beautiful!"
37,2016-07-25,[''],It's a really hard hike
