,Date,Tags,Comments
0,2019-08-24,['hiking'],"A very nice hike, I couldn’t finish it though it got too wet and slippery on the trail to continue. Also I did see one rattle snake on the trail 2miles in."
1,2019-08-17,"['hiking', 'bugs', 'muddy', 'over grown', 'rocky']","Went later in the day from 2-5. didnt make it to the waterfall, too muddy and was over the overgrown trail. glad I wore pants. only water in the beginning of the trail for the dogs. then last .5 mile was sooo muddy. walking back the water was surrounded with bees. there was also a rattler right in the middle of the trail on thr way back. didnt rattle at us. 1okay scenery. hike was uphill the whole way. an okay hike."
2,2019-07-06,"['hiking', 'over grown']",
3,2019-07-06,['hiking'],Great trail! It’s nice and shaded majority of the time!  Lost of streams and nice bridges. Great views the higher you get! My dog loved it!
4,2019-06-23,"['hiking', 'over grown']",I did this hike to explore it and see where it leads.  This trail is uphill all the way in.  After a mile some down trees are on the trail but it’s easy to get around. At 1.6 miles I was bushwhacking my way through and called it enough.  It is evident that not many people take this trail.  If you want solitude then this is the trail for you.
5,2019-06-12,['hiking'],"I hike with my 6-year-old, 3-year-old, and other young families, so keep that in mind when weighing my review. We loved this hike. We completed only the first 1.1 miles of this hike and then turned around. The whole way we were under the cover of the trees, so it was nice and shaded. The very beginning of the hike was a bit steep and narrow, but nothing that made me too nervous with my little kids. We got to see the stream often, which made it interesting for the kids. We did accidentally split off onto Indian Trail, rather than continuing on the Cold Water trail. Watch out for where the trail splits maybe about 3/4 mile in (before the bridge). The smaller trail that goes off to the left is the continuation of Cold Water Trail. While the bigger, more obvious trail puts you on Indian Trail."
6,2019-06-04,"['hiking', 'muddy', 'over grown']","This was an okay hike. When you get to the fork in the trail left will be the Cold Water Canyon Trail. At this point the trail becomes overgrown, trees down across the trail. Pretty much foot traffic is what is keeping this trail visible, otherwise one would assume it is abandoned. The last part of the trail is a climb and it was muddy. We were not able to complete the trail because of the mud. We did run into a Great Basin Gopher Snake."
7,2019-05-28,[''],This is a beautiful hike.  It is less used than many other trails in the area so it is a little overgrown but not bad. It stays in the bottom of the canyon along the steam  the entire time.  It offers great views of the white cliffs up above and The mountains across 12th Street. Much of the trail is slightly muddy now but the last few hundred feet are terribly muddy.  There are several little places to camp along the way.  All snow is gone.
8,2019-05-04,"['hiking', 'bugs', 'over grown']",
9,2019-04-19,"['hiking', 'snow']",Snow just after rivers merge. Could not go to end. Still a great hike by the water.
