,Date,Tags,Comments
0,2019-08-22,['hiking'],"I would have rather climbed Angels Landing on crutches - it would have been safer. I have hiked as an adult in Utah for 16 years, and this was my least favorite hike ever. Way too steep and slippery. Don’t know what ropes other people are talking about. I almost slipped to my death at the first waterfall. "
1,2019-08-12,['hiking'],"When you hike this trail you want to hike the main trail #18.9 up to the fork at #18.8 and then go up 18.5 to ""Hell Hole"".  The East route #18.7 near the creek is dangerous.  See attached map or go to farmingtontrails.org and scroll down to the bottom of the page for maps."
2,2019-07-28,"['hiking', 'blowdown', 'over grown', 'scramble', 'washed out']","There's quite a few places where you can slip and fall to your death. I wouldn't call this hike moderate at all. The trail was never in good condition on the steep drop offs (thus the ropes), now the soil is even more lose after the winter we had."
3,2019-07-28,"['hiking', 'blowdown', 'over grown', 'scramble', 'washed out']","It’s a difficult climb up the right side of the loop. It takes you through overgrown scrub oak and wild grasses. It’s a perfect rattlesnake and tick home. We encountered both.  When you make the turn at the top of the loop, it descends very steeply though soft dirt on ledges and cliffs. In a few places you could see where others had lost footing and slid down the trail causing the steep trail to be crumbly dirt with no options for good foot placement. The waterfalls are obscured by the canyon as you look down from above. This trail isn’t safe. 

If you want to see the falls, take the first left after the bench and see them from the rivers edge. Then turn around. That would be a short, safe hike. "
4,2019-07-27,"['hiking', 'blowdown', 'over grown', 'washed out']","The loop of this trail was awful. You miss the two waterfalls at the end, its hard to follow because there’s so little traffic, and the loose dirt and incline make it hard to keep your footing. Part of the trail disintegrated under my foot and I fell down the mountainside, barely stopping before ending up in the ravine (I would have given this a poor rating even if I hadn’t fallen). The views were nothing you can’t see elsewhere along the east bench. If you’re looking for solitude, rattle snakes and a challenge maybe this is for you. Just be safe. "
5,2019-07-21,"['hiking', 'over grown']",
6,2019-06-28,['hiking'],"tough hike but worth it
"
7,2019-06-19,['hiking'],"We only went to the first waterfall and would love to go another time without kids (10, 8, 4, 2-in a backpack) and see all 5 waterfalls. It was steep for my four year old, but doable. Great information on the Farmington City trails website for this hike. "
8,2019-06-16,"['hiking', 'rocky', 'scramble']",Pay attention the trail is a little further passed Davis Creek. There is a trail next to the creek which is deceiving. Watch for the signs on the eastside of the road. Took the family. Doable for the youngest who is 4 and loved it. Made it to the split and spent time in the water above the first waterfall. Water is cold and refreshing (used a filter). 
9,2019-05-31,['hiking'],"Decent uphill climb, but the constant steep slanted slope is not much fun to traverse. Awkward on the ankles. For the first half of the hike I could hear highway noise and see the salt lake from the side of the mountain, which is the kind of thing I'm usually hiking to get away from. I made it to hellhole camp then turned around because a thunderstorm was right around the corner, and going at a strenuous pace, the hike took about 1 hour and 45 minutes. Completed on the 31st of May, 2019."
10,2019-05-27,[''],"nice hike
"
