,Date,Tags,Comments
0,2019-09-06,['hiking'],This is a good trail for a morning hike. There are some mild rocky parts that require you to climb over but nothing the average person can't handle. There are beautiful views all the way up! I went with my dog and he absolutely loved it up there. 
1,2019-09-05,['hiking'],Nice shaded hike on switchbacks with a great (but limited) view of SLC.
2,2019-09-04,"['hiking', 'rocky']",
3,2019-09-02,['hiking'],"This trail has a steady incline pretty much the whole way to the overlook, but never very steep. It was an even day, but even then more than half the dogs were off leash. Fortunately, we didn't encounter any doggie deposits so their owners are doing a great job keeping the trail clean. Pretty heavy traffic today with the holiday, but a great hike."
4,2019-09-02,['hiking'],This is an excellent summer evening hike because of how shaded it is and the great view of the sunset over Salt Lake valley. We started our hike at 6:45 And made it to the top for the 8:00 sunset. Just be sure to have a flashlight for the way back down. 
5,2019-09-01,['hiking'],Visiting with my pups yesterday. It was an odd day so able to have them off leash. Constant climb to top. It’s doable although I did stop once or twice to catch my breath. Majority of trail is shaded but when you are exposed it’s HOT. Started about 8:30 am. Majority of people out have dogs since dogs are allowed. Take plenty of water for yourself AND dogs. Trail ends at the view. Some other hikers told me it continued (there is a trail that keeps going) and I followed it until I checked this app and realized it put you on another trail so I turned around. Parking was easy. There’s a river right beside the overflow lot so I let the dogs cool off in it after the hike. Recommend. Nice views of the city. 
6,2019-08-30,['hiking'],This is a very mellow trail! Super beautiful forest walks. It's also great for snowshoeing.
7,2019-08-30,"['hiking', 'rocky']","Pretty nice trail but pretty rocky, lots of tree cover."
8,2019-08-25,['hiking'],"Beautiful alpine hike. Pretty steep but not extreme with a few slight climbs. Relatively shaded, maybe 50% of the time.

Dogs allowed off leash on odd numbered days, must be on leash an even number days. Very popular dog path!"
9,2019-08-24,['trail running'],this has always been a fun trail run. bring water for your dogs 
10,2019-08-23,['hiking'],"Went hiking here the other day. Nice hike, about 5 miles total. Great views at the top. We weren’t sure we had reached the top, so we walked a little further and turned back around. Definitely recommend bringing A LOT of water - both for you and the dog. "
