,Date,Tags,Comments
0,2019-09-02,['hiking'],Nice place to take your dog or to hike or to go for a run.  Surface is very soft and non technical. Just don't expect spectacular views because there are almost none.
1,2019-08-31,['hiking'],"nice hike. way too many bikers who don't respect hikers. just about got hit twice by bikers racing down fast.  took 1hr20 minutes w a 35lbs pack.  nice views, no wildlife.  "
2,2019-08-20,['hiking'],Beautiful gradual climb! Not busy on a Monday early evening. Crazy hard to find parking/busy on weekends. Shaded and cool. Lots of dogs of odd calendar days! My path was about 6 miles. 
3,2019-08-15,"['hiking', 'bugs']",
4,2019-08-08,['hiking'],Went yesterday when it was overcast and rainy.  It was perfect.  The wildflowers are absolutely amazing.  We left from lower big water trailhead and it was 7 miles exactly.  Pups were happy and worn out.  Would definitely recommend!
5,2019-08-04,['hiking'],"Very beautiful trail, but horrible for a big group!! A lot of  bikers."
6,2019-08-04,['hiking'],super busy but relatively easy hike
7,2019-07-28,['hiking'],"You can access this trail from Big or Little Water Trails. Up and back from Little Water is only about 4 miles, though the first 3/4 of the way up is pretty steep but mostly shaded and the river runs alongside it for part of the time. Most of the trail is shaded and really pretty with wildflowers throughout. The lake is small but prettier than I expected and always filled with cute pups. Would definitely recommend this hike. "
8,2019-07-28,"['hiking', 'bugs']","beautiful hike in my opinion. nice views, pretty colorful wild flowers, passing by a stream through 3 different bridges. very relaxing. my 7yo and 14yo did well. and they are big complainers normally :)
the lake itself was ok. I was expecting ""bigger ending"". bur dogs love it. there is a lot of them. on odd days bikes are not allowed and dogs can be off leash. on even days bikes are allowed and dogs have to be leashed. we went 7/27 and majority of dogs were off leash. makes me little nervous because our puppy is not used to so much dog activity around her. we had her on leash and everything went well until the lake where owner was nowhere to be found and one of the dogs started attacking our pup. luckily we were able to get ours to safety. I was however impressed how many well behaved dogs are out there following their owners. I hope my dog will one day too :) parking is bad. very little spots. we had to circle and wait for someone leave. "
9,2019-07-27,"['hiking', 'over grown']",
10,2019-07-18,['hiking'],"It’s not the most beautiful lake, but it is great for getting out with your pup! The wildflowers are in bloom at the moment but probably won’t last much longer....we’ll probably have another week or so to enjoy them"
11,2019-07-18,['hiking'],"Pretty drive up to the trail head, but the trail itself is loose dirt and dusty. There's also far too much bike traffic to be enjoyable having to always watch out from being ran over. Glad I did it, but won't do again."
12,2019-07-15,['hiking'],"Absolutely love this trail! I did this today and the trail was lovely. There are a lot of bikes that use the trail on even-numbered days, so be aware of that if you go with your pup. Great gradual grade."
13,2019-07-13,['hiking'],"We got there early.  Like 7AM and there was zero parking. We got lucky and snagged a spot. The hike was gorgeous. It was overcast and not too hot.  As the morning went on, there was more and more traffic.   I’d recommend an early morning hike.  But we (the dogs and myself) enjoyed ourselves immensely.  "
14,2019-07-13,['hiking'],"Best trail in the valley to take dogs off leash (odd number days). It’s a blast - lots of water stops and the lake to swim. 
"
15,2019-07-13,['hiking'],"Tons of people and even more dogs.  Got to the lake about 8am, I love dogs but was not prepared for 10 dogs barking non-stop, echoing in the valley...kinda sucked.
HOWEVER if you are a dog owner this is the perfect off leash hike."
16,2019-07-08,['hiking'],"One of my goto dawn patrol trails once the winter gate is open (July 1st). You won't see many (ANY) people if you are up there at 5AM. Whether running or biking it's always a good workout. When you get to the lake, continue on around the lake (go left) and you will see some great camping options above the lake as well as some other trail options if you want a longer trek. If you are on a bike, make sure you don't go down the trail too fast as there are frequently dogs (and small children) off leash to watch out for (especially around the corners)."
17,2019-07-08,['mountain biking'],Beautiful trail. Mostly shady. Very few rocky spots. Very few exposed (steep on both sides) spots. Unless you have a dog the second half and the destination (Dog Lake) is a little disappointing. Today I continued on Great Western about 4k instead. Much more interesting. Good beginner bike trail. A little steep near the end. 
18,2019-07-07,['hiking'],"This trail is gorgeous and beautifully shaded in the morning. Beautiful views, wildflowers, rushing water, aspens, and friendly people and lots and lots of dogs. The lake is not a pretty one but it is still a beautiful setting and the vibe is great with all the happy pups. This trail is a continuous steady incline with no breaks and provides a solid workout. "
19,2019-06-30,['hiking'],"(the gate through millcreek was closed so we went through big cottonwood canyon ""mill d north"") My friend and I did this trail yesterday. It was really beautiful the entire way up. Being slighty out of shape and going at a time where it was mostly in the sun it was fairly difficult. once we got to the lake we kicked off our shoes and dipped our feet in for a few minutes to find a bunch of leaches on our feet when we pulled them out. Once we got back to the car we realized we had lost the keys somewhere along the way AND HAD TO DO THE ENTIRE HIKE A SECOND TIME! Only to be told towards the top someone had found and hung them at the bottom on one of the signs. Overall it was a learning experience in a truly gorgeous place that neither of us will forget. I would definitely do this hike again in the evening and practice being less impulsive and more mindful next time hahaha."
20,2019-06-29,['trail running'],"Started at Winter gate in Millcreek.  Proceeded beyond Dog to Desolation lake on the newish cutover trail.  The named trail is pretty easy, not to steep at all (except near the start).  No more snow until you get to Desolation.  Saw 10`-15 people even though it's 5 miles just to get to the trailhead when the gate is closed.  Good day to do the trail. Gate opens July 1 typically. "
21,2019-05-18,['hiking'],
22,2018-10-25,[''],"I love this hike. FYI, Winter gate is already up for the season (they closed it prior to Nov. 1 this year). If you want to do this one from the starting point shown here, you'll need to road walk 4.5 miles to get to the trailhead after parking at the picnic area in front of the Winter gate, yikes. Or you could get to it from Big Cottonwood instead, but no dogs allowed on that side."
23,2018-10-12,['hiking'],We hiked in the afternoon. There was quite a bit of the trail in the sun not as shaded as I would have preferred.
24,2018-09-27,[''],Very well maintained trail.  Lots of beautiful colors going into the fall.  Plenty of water for dogs.  I didn’t really notice any poop along the trail except people would leave it on the ground in a baggy to pick up on the way back.  Nice gradual incline.  Overall my dog loved it so that’s all that matters
25,2018-09-18,['trail running'],"As billed, busy and lots of cute puppies along the way, but beautiful Fall colors and the weather was perfect. Pretty easy hike/run all in all."
26,2018-08-26,['hiking'],I really enjoyed this hike! Not too strenuous. Quite a bit of the trail is shaded and there are a couple of streams for the dogs to drink out of on the way up. Lots of dogs and people but that’s what it’s all about! My dogs loved the lake!
27,2018-08-05,['hiking'],Great workout on the way up to lake. Shaded mostly with steady incline.
28,2018-08-02,[''],"I love, love, love this trail! The flowers are fading, but the beautiful forest setting is reason enough to take this hike. I love making a loop out of this trail by hiking to Dog Lake via Big Water, but coming down via Little Water. The flowers in Little Water were still very much in bloom when I last hiked it on July 29."
29,2018-07-26,['hiking'],Great trail that will give you a nice workout. The wild flowers are out now and give a nice added touch of color to the mountain trail. Dog Lake is more of a big pond and not as picturesque as other mountain lakes I've hiked to and it's rightly named: lots of playful pups enjoying the hike. Hop the trail on even days if you'd prefer a hike without dodging dogs and their droppings.
30,2018-07-18,[''],Nice gradual incline. One of my favorite Millcreek hikes. Especially great if you have a pup!
31,2018-07-15,[''],"Did this going up to Dog Lake and did Little the last .5 miles down. It was a great hike, nice and cool. BUT for the love people: clean up after your dogs. Bag the poo and take the poo out."
32,2018-07-10,['hiking'],"Surprisingly steep, short distance at 1.8 miles. HOT on 2:30 pm on July odd day afternoon.
Lots of dogs but no bikes. Some shade throughout the trail. No sweeping vistas at the top. Nice views of surrounding peaks near the lake."
