,Date,Tags,Comments
0,2019-09-07,['hiking'],Loved this trail!  It's short but I went early and had the falls to myself and I just loved how the water cascaded over the rocks and it's definitely a unique waterfall worth seeing.  I agree that this is a friendly hike for all ages so long as little ones aren't climbing up the rock scramble at the end.
1,2019-09-07,['hiking'],Popular trail with lots of people. Great short and easy hike for kids and beginning hikers.
2,2019-09-05,['hiking'],"Very Easy hike, even if you have to park on the main road instead of the smaller lot by the bathrooms. Because of this it is always a really busy hike. Some think the waterfall is a let down, and even though it’s smaller I’ve never seen another like it. Great hike with even small kids."
3,2019-09-05,['hiking'],"You can either park by the highway or take the road all the way up to the trail, but the parking by the trail fills up quick! We liked the extra walk to the trailhead, even if it's all on a gradual incline. The trail itself starts out a bit steep, but eventually levels out. The trail is very pretty, mostly shaded, and you cross at least one stream before you end at the stream by the falls. There is a sign that warns to not climb the rocks of the waterfall, but there were a lot of people that ignored it despite the slippery rocks. Overall, very easy trail, nice views of forest and nearby mountains, and plenty of signage and obvious pathways to make sure you don't accidentally veer off course. The water of the stream was low enough by the waterfall that we could cross over and get closer without getting our shoes wet! The rocks are slippery though, so be careful, especially on the small climb down to the stream itself. "
4,2019-09-03,['hiking'],The trail itself was very easy and well shaded so you can go any time of the day and be fine. The parking lot fills really fast and if you have to park out on the street it could add about 1 mile total to the trail. When we got there the river was pretty full you can walk across it but you should bring some water shoes or your feet will get soaked!
5,2019-09-02,['hiking'],Too many people and the waterfall itself wasn’t much to speak of. Would recommend picking a different trail.
6,2019-09-02,['hiking'],"We started a little after 7am and it was not too crowded yet. Nice and cool the entire time and the sun was still not in the canyon. 

Nice short hike for nearly any skill level. 

If you want to see the waterfall going into the donut hole you have to climb down a little 5-10 foot rock face and then hike up the river/waterfall. You will need to step on stones and logs to not get your shoes wet. You also will have to climb up the waterfall that is pretty slippery and might not be for everyone. You can kinda see it from the bottom but not as good as the top. I took my sons 8 and 6 and went to the top. I had to help the 6 year old a few times with the climbing and river crossings. 

I’ll be back with more family members next time for sure. We loved it. "
7,2019-09-02,['hiking'],"It was okay! There was a lot of people though! To hike to the falls part, we all had to take turns climbing up there and seeing the waterfall up close. It was a quick easy hike though "
8,2019-09-02,['hiking'],"Easy hike that is perfect for families or for something quick when there isn’t much time. Minimal incline for the first half the loop, then flat the rest of the way. Definitely recommend parking at Mill D rather than the trailhead lot to get a bit more distance. Plus, the views are awesome walking to the trailhead"
9,2019-09-01,['hiking'],Super fun trail. But way way crowded on a Sunday! In the summer wear hiking sandals. In the winter time wear crampons
10,2019-09-01,"['hiking', 'scramble']",
11,2019-09-01,"['hiking', 'scramble']","Great easy hike, worth especially if you are staying in SLC, only about 20 minutes from Sugar House.  Waterfalls are gorgeous!!!  "
12,2019-08-29,"['hiking', 'rocky']",1.0 mile each way out and back. Easy trail filled with pines. Saw a female moose. Kid friendly.
13,2019-08-28,['hiking'],Saw three big moose on the trail today!
14,2019-08-28,['hiking'],"Love this trail! It’s a short, super easy hike to the falls, which are beautiful. You can choose to hike up the rocks that make up the falls to see the actual “donut” which is highly suggest. It gets packed, but worth it. They give out parking tickets, so don’t park where you shouldn’t!"
15,2019-08-26,['hiking'],"Really cool waterfall, although very crowded once you get closer to the waterfall. A bit of a scramble to get to the top of the falls. Unfortunately there is a lot of trash on the trail, stop littering people!"
16,2019-08-25,['hiking'],"Fun family hike. Easily accessible, so it's often very busy.
Sad to see so much graffiti along the trail right now. Many signs, benches, and trees have been defaced. Ugh. "
17,2019-08-24,"['hiking', 'rocky']",
18,2019-08-23,"['hiking', 'private property', 'rocky']",This was a beautiful easy hike and nice waterfall! 
19,2019-08-23,['hiking'],"Donut Falls Trail was a pleasant hike! I was anticipating it being quite a bit longer (I doubt it was 3 miles), but wonder if it’s taking into account the distance from the further parking lot. We got there a little before 8am and there was plenty of parking by the trailhead but it filled up not long after. We were very cold. I think it would have been more enjoyable when the sun was over the mountains, but can see how high volumes of traffic would be a deterrent. The rocks leading up to the waterfall were very slick (as evidenced by the sign telling you not to go up them). I would not recommend doing it alone or bringing young children. We saw more than one person slip and fall into the freezing water. "
20,2019-08-23,['hiking'],"This is a very popular trail with a lot of families, so if you're looking for solitude, this isn't the hike for you. There are two parking areas, the larger being off the canyon road with a .50 mile walk on pavement to the trailhead and second parking area which is typically full. At the trailhead sign there are are two trails, the one to left is a more difficult terrain but they both lead to the falls. There is A LOT of traffic at the falls and to reach the top requires scaling slippery steep rock. Plan on getting wet feet if you want to get close to the falls. "
21,2019-08-23,"['hiking', 'bugs', 'muddy', 'off trail']",Nice family friendly trail. There is a lot of foot traffic however. Bring shoes that you don’t mind getting wet and muddy. You will have to climb up/down some rocks and walk through the water. 
