,Date,Tags,Comments
0,2019-09-03,['hiking'],"There’s some varying information about the actual length of this hike, but it’s a good one! Pretty steep, but incredibly lush on the way up. There isn’t much of a view at the top, and the trail connects to another headed toward Lambs Canyon Road, but it’s well worth the trek."
1,2019-08-28,"['hiking', 'over grown']",
2,2019-08-20,"['hiking', 'over grown']","Very steady climb throughout, great workout! A little overgrown at the end. Finish point doesn’t have much of a view but the return leg is beautiful the whole way (given you’re head down humphing it on the way up!). Runs alongside a stream for much of it, handy for the pup. Decently trafficked by other hikers throughout."
3,2019-08-13,['hiking'],"Great trail! Starts out fairly easy and gets steeper as you go. Beautiful views with the wild flowers, stream, trees and Mountain View’s. As you get to the top, it is very over grown and have to go through some vegetation. Totally worth it!!
"
4,2019-07-17,"['hiking', 'bugs']",
5,2019-07-14,['hiking'],"The snow is all gone, getting over grown, but still a fun hike. LOTS of wildflowers. Don’t expect a big view at the top, you’ll have to bushwhack to a nearby peak to get some real views. "
6,2019-06-03,[''],"Nice, steady incline all the way up.  There is still some snow along the trail - maybe a 1/4 mile from the fork to lambs canyon trail / milvue peak.  Should be easy to continue through, but the pup wasn't feeling the snow today so we turned around there."
7,2019-05-27,['hiking'],"1.5 miles to start of hike from first gate (still closed for winter). Great hike! Some snowpack at the ridge line but mostly clear. We only passed 3-4 other hikers once on the trail.
Had fun with our pups and they liked the access to water along the trail."
8,2019-05-25,"['hiking', 'snow']","I think during the warmer months, this trail would be wonderful! We didn’t make it all the way to the top due to the very slippery slushy snow. However, it was a nice trail and super gorgeous. "
9,2019-05-11,"['hiking', 'muddy', 'snow']","Did as part of a Lambs- Elbow one way.  Lots of snow, but this side can at least follow the trail to the summit.  The other side, can lose the trail."
10,2018-10-01,['hiking'],Loved this hike.  We loved the fall colors.
11,2018-09-29,['hiking'],"Steady incline the whole way up the trail, but not bad since it is only 2 miles to the top. Pretty shaded most of the trail. Pretty views all the way to the top."
12,2018-09-08,['hiking'],Dogs do not have to be on a leash on odd days
