,Date,Tags,Comments
0,2019-09-03,"['hiking', 'bugs', 'rocky', 'scramble']",Nice steep hike on a cloudy day. Lots of inclines with scramble and loose gravel. Bugs at the semi dry riverbed’s. Views of the Salt Lake Valley and Twin Peaks are gorgeous. But when you get to the top it’s pretty much nothing kind of a letdown. The best part was actually the hike itself
1,2019-08-21,"['hiking', 'bugs', 'rocky']","BEES!!! Lots of em. I brought my dog so i was very cautious of rattlesnakes, didn’t see any, but about 10 mins into the hike (at a popular rock climbing spot) i came across a swarm of agitated bees and a family with 2 young kids who were just stung. Personally bee’s don’t bother me much so I continued, avoiding the bees by going just off trail. The whole way up there were bees on the trail and about an hour or so in we came across another large group of bees & just hiked back down. Bee careful out there."
2,2019-08-18,"['hiking', 'bugs']","Swarms of bugs, a surprising amount. Lots of sand and loose terrain. Nice to be close to water though. And shade."
3,2019-08-13,"['hiking', 'over grown', 'rocky']","Steep and awesome!! I’d recommend doing this in the early morning, before people start showing up for climbing, and also before the snakes start coming out. Saw 2 baby rattlesnakes this evening, and couldn’t make it all the way to Storm Mountain, because you really need sunlight to be able to follow the overgrown, upper section of the trail (from the meadow and higher)."
4,2019-08-05,"['hiking', 'over grown']","Burner of legs but very good walk, almost at the end the path is covered with weeds, but it is possible to observe a little, you just have to have a good perception of your surroundings"
5,2019-08-03,['hiking'],"Went up yesterday, and made it about 1.5 miles up before getting a little lost on the trail, and had to turn back.  There was a baby ratter just up past the first waterfall. Very shaded for the first mile up, and then very sunny. Made it up to the boulder overlooking the valley and decided to head back down due to time restraints. About a mile up the trial is becoming very overgrown."
6,2019-07-22,[''],Now this is a good burner hike. In and out of the river at the first with some very steep inclines. A lot of elevation gain In a very short time. Trail up past the look out is heavy over growth in many places up to what I think was the end of the trail. Incredible views of the canyon and the valley.
7,2019-06-27,['hiking'],beautiful warm day today. The trail was really slippery with loose gravel please wear a really good shoes and everything is growing in beautifully
8,2019-06-16,['hiking'],"I so wanted to enjoy this hike and say great things. Initially a beautiful shaded hike through the river and pretty wildflowers in bloom, but the trial is just impossible to follow as you approach the meadow. I had great difficulty finding the route and had to back track repeatedly. Very unsettling. Worst part was first almost stepping on gopher snake, hearing a loud hiss 50 feet later, thinking some sort of bug... then 100 feet later hearing another hiss and then seeing a humungous snake rattle of 7 rattles!! This snake was huge.. I was unable to pass and had to turn around only to then discover that the first hiss sound (snake 2) was now out and in strike position. Three snakes, 2 western basin rattlesnakes, and then a fourth snake on the way down . It was far was a relaxing hike to say the least!! "
9,2019-06-13,"['hiking', 'rocky', 'washed out']","The trail is in the river right now. Unless you want to get your feet wet, I wouldn't do this hike for a few more weeks until the melt off slows down. Also the map for this trail is very out of date on this app. The river changes a lot of the trail every year and it needs to be remapped. "
10,2019-06-11,"['hiking', 'muddy']",Loads of fun. The view from the top is incredible and awe inspiring. It was a very wet trail to say the least. Due to early summer melt it was wet and tedious at times but still fun. Bring good shoes for a may or June hike. Very wet but highly enjoyable. 
11,2019-06-09,['hiking'],very fun trail... lots terrain to negotiate and manageable in line.   will be repeating this hike.
12,2019-06-03,"['hiking', 'rocky', 'scramble', 'washed out']","Definitely one of my new favorite hikes...so much pretty everywhere! Trail has a good incline after the initial groomed section. Plan on getting your feet wet! Several river crossings, and right now, with the recent monsoon month, parts of the trail are part of the river. But that made it that much more endearing and exciting! Took our pup and my 13 year old son, who had no issues with the climb. Due to time, we only made it about 2/3 of the way. It was spectacular! Had a few mosquitoes land when we were resting, so bug spray would be good. Only ran into a few people (on a Monday morning), but I can see that it would be super popular on weekends, so do a weekday morning if you can!"
13,2019-05-30,[''],We hiked to the overlook and the trail was in great condition. U just need good shoes and the numerous water crossings will get them wet at some point. Having poles was useful since we were carrying our toddlers. Next time we will check out the trail to the meadows.
14,2019-05-27,['hiking'],It’s fun and a lot of tree cover. Great view if you go up the other way past the fenced radio structure but ut that’s a different trail. That one is very steep. This one is nice and easy and nice and cool near the stream or “river”. Really easy to get to in a car too. The parking lot is pretty small but overflow nearby. 
15,2019-05-19,['hiking'],"Very fun trail. The last part of the trail was covered with snow, spikes would be very helpful."
16,2019-05-19,"['hiking', 'muddy', 'rocky']","We hit this trail between two downpours. No snow along the first 5/6ths of the way, but we were forced to turn back at that point (close to 2mi) because of an onslaught of hail and rain at the very top. Did not require spikes as most is thawed, but the river crossings became iffy with changing weather conditions. Great views, probably will do this one again soon!"
17,2019-05-18,['hiking'],
18,2019-05-17,['hiking'],Love this trail. Only got about halfway and lost sight of the trail. The river was raging after the rain so I didn’t wanna risk crossing it with the pooch. Will definitely do it again at some point
19,2019-05-14,"['hiking', 'rocky']",This hike is beautiful. I went early so it wasn’t crowded. I could tell on my way out of there this trail gets crowded later in the day. 
20,2019-05-14,['hiking'],Family hike today. Only made it about halfway since we started late in the day. Had to cross a river a few times so my feet got a little wet but it’s a fun canyon! Good places for hammocking along the way.
21,2019-05-13,['hiking'],"Didn’t get to the trailhead until late afternoon today, there were quite a few people on the trail. Parking is pretty limited at the actual trailhead, don’t park along the street, I saw lots of cars with tickets. There is another lower parking lot a few streets down, but I didn’t see it until I left. Beginning of the trail is fairly easy. The first stream crossing was where we ran into a lot of rock climbers as well as other hikers trying to decide if they wanted to continue on or not. Be prepared, there’s no avoiding crossing water right now. I didn’t wear water shoes nor did I pack extra shoes and socks, so I didn’t make it all the way to the meadow as eventually my feet got cold and numb. However, the trail is challenging and fun. My dog had a blast. Will definitely do this again, but with better shoes next time. "
22,2019-05-12,['hiking'],When we got there there were very few people but on our way down it was crowded. It was steep in some places and part of the trail was underwater.
23,2019-04-23,"['hiking', 'washed out']",
24,2019-04-20,['hiking'],"We only went about a mile in this time, but it was a good start to our hiking season! Lots of water coming down the stream, very pretty."
25,2019-01-26,['hiking'],"Great trail, pretty steep in some areas. Not crowded on a Saturday at 2 pm. No sun 3/4 of the way but sunny at the top. I recommend Yaktrax, but you could probably do it without."
26,2019-01-26,[''],Great winter hike with the pups. the snow is packed so spikes work great and snowshoes were not needed. the lookout at the top is amazing.
27,2019-01-13,['hiking'],"Fun Snowshoe! A bit of a grind / slog uphill, but well worth it! 

I want to come back and see if anyone else has helped pack down the trail in the upper canyon. 

:-)"
28,2018-12-23,[''],"Completely covered in snow and ice-definitely need spikes right now. Took me twice as long to go a mile than usual, and as I was losing daylight I had to abort the mission.  I'll definitely be returning to finish. Completely gorgeous Winter Wonderland right now."
29,2018-10-29,[''],"Went on a Sunday, late October. Many climbers and hikers. Made it to overlook and returned before dark. Lovely hike."
30,2018-10-28,['hiking'],"I absolutely love the beauty of this hike! I went in mid October and the leaves were stunning. I didn't make it to the top on account of the time, but plan on it very soon."
31,2018-10-23,['hiking'],"Pretty sure couple of the ratings on here didn’t go to top. Hiking into the canyon for first mile is a trail, not a hike. :) 

However, the next 1 1/2 miles are super steep. Bring at least 70 ounces water if in summer. Also in spring and summer this is SUPER overgrown at top. More overgrown than most hunting trails I go on. This is way better in fall just FYI."
32,2018-10-12,['hiking'],Amazing
33,2018-09-16,['hiking'],"Great hike. Started early morning, we were in the shade mostly the entire way. Dog loved it! About halfway into the hike it’s extremely steep and rocky, multiple ways to go up, not a specific trail outlined but we figured out which way to go. Excellent view at the top, worth it!"
34,2018-07-29,[''],Beautiful views with shaded climbing and a nice little river. More difficult coming down as there is a lot of loose gravel.
35,2018-07-29,[''],"Good but hard hike to the top,nice view from the top"
36,2018-07-22,['hiking'],"rockclimbing might be the main reason to use this trail. shaded in the middle, at the start and overlook isn't very shaded. there are too many cut offs it's hard to follow the actual trail."
37,2018-07-20,['hiking'],Hard and isn’t pretty.
38,2018-07-08,[''],"It says it’s hard, but I feel like it’s pretty easy! I’ve done it twice now the second time I saw a rattlesnake right along the entrance. I turned back because snakes are obviously scary. But the hike is a good combo of incline and flat areas. It’s shaded and clean!"
