,Date,Tags,Comments
0,2019-09-04,['hiking'],Hiked this today and had the hot pots all to myself although I know that’s not normal!  Very pretty hike. 
1,2019-09-01,['hiking'],Great hikes that stays along the water all the way up to the waterfall/hot springs.  Went early to beat the crowd.
2,2019-09-01,['hiking'],This was a great family friendly trail! Took our 8 and 2.5 yr old. There were a few moments that required keeping the kids close or carried due to steep cliffs/erosion although overall this trail is exceptionally maintained. Parking car can be tough and tight although we experienced no issues. The water was great and for the most part the trail and springs were clean. Can’t wait to do it again and go a little further.
3,2019-09-01,"['hiking', 'rocky']",Nice mix of sun and shade on the trail and plenty of opportunities to take a dip in the stream that runs adjacent to the trail.  It was great to cool off under the waterfall at the end and take a relaxing soak in the hot springs.  
4,2019-08-27,['hiking'],"nice. hike with mixture of sun and shade
"
5,2019-08-26,[''],This is an awesome trail. The hike itself meanders along rushing water throughout its 4+ mile out and back moderate run. There are plenty of hike-in tenting sites and spots to cool off in the water before you get to the grand finale...several hot spring pools and a beautiful cool waterfall.  There are some horseflies at the top - but they seem to be fairly easily deterred by bug spray. If you don’t like the smell of sulphur the top of the trail may cause discomfort!  Water shoes a great idea!! 
6,2019-08-19,['hiking'],Groovy hike.   Hot springs are relaxing.  Might not want the young ones being the first to the pools or you could have an educational conversation on your hands when they see “Buffy and the Skinny Dippers.”   Usually not a problem on the weekends. 
7,2019-08-18,"['hiking', 'bugs', 'rocky']","We really loved this hike. It is kind of up and down the whole way out and back. The parking is a bit tight- especially since we arrived at 12:30 on a Saturday. I would recommend that you either wear or pack water type shoes- the rocks are not comfy in your feet in the pools. Also, take your water as some spots are sunny and leash your dogs pls. Horse flies are a pain at the top- deep woods spray made them stay away. "
8,2019-08-16,['hiking'],"Great hike! We carried a baby and toddler with 5, 7, and 9 year olds walking. Very doable, intermediate hike for kids/family.  Beautiful scenery-trail, river, pools, falls. Passed several groups, but not overly crowded. didn't encounter any nudity. and no horse flies when we went (6:30-9:30 pm). nice and cool, pretty shady trail. a bit smelly and humid at the top, but that was not a deterrent for us. so fun to throw our heads in the waterfall. loved it, will def go again!"
9,2019-08-15,"['hiking', 'bugs', 'rocky']","Not my favorite trail, and I usually fall in love with all of them. But as soon as you hit the bridge you get this smell and it gets stronger as you get closer to the springs and once you’re there the smell is pretty strong. I understand it’s the springs but no one mentioned it and it would of been nice to know this. But other than that it was beautiful. Didn’t get swamped by the horse flies. We stared up the hike around 8 am got back at 11, Lots of butterflies. "
10,2019-08-14,"['hiking', 'rocky']","I would rate this an easy to moderate trail. It is very rocky, but not too steep. The trail was beautiful and along the river most of the time. The hot springs were really pretty and warm. We hiked up there about 9:00 a.m on a Saturday and there weren’t too many people. We hiked down about 11:30 and there were tons of people headed that way. The earlier the better! 
My only complaint is the horse flies! They were VICIOUS! Wear bug spray.
Oh! And be careful with jewelry in the hot springs! I was wearing 2 silver rights and they are completely ruined. :( the water did something to them. "
11,2019-08-11,"['hiking', 'bugs']","The hike up was awesome!! For some reason we got attacked by man eating flies (horse flies) on the way back. It was less enjoyable on the way down because the bites were awful. Crowded, but not to bad. There was someone who decided to get naked up stream which was not ok. Other than that it was amazing and worth the two hour drive. The water was still pretty muddy from the land slides. "
12,2019-08-09,"['hiking', 'rocky']",This trail is absolutely beautiful! And the springs were so fun to sit in. There’s a nice cold waterfall if the springs are too hot for you. I would recommend bringing water shoes or sandals to walk around in the water because of the rocks. Pretty moderate trail.
13,2019-08-07,"['hiking', 'bugs']","Well worth the hike! A perfect hike for young and old. Our party was from 18 to 67 and we had no issue. Bring lots of water on hot days and wear bathing suites. There are at least 5 pools of warm water and a great falls (quite refreshing). We spent 2 hours in the water and really enjoyed it.
Expect 1.5 hours to hike up and about 1 hour down.
Tons of biting horseflies, so keep moving. Once in the pools they leave you alone."
14,2019-08-06,"['hiking', 'bugs']","This was a great hike with both shady and sunny spots. Easy in and out not too steep with minimal rocky parts. If you are going in the afternoon, in August, such as I just did bring plenty of water. There were horse flys everywhere so be ready to stay in the water once you hit the springs. They were as described. People have put up rocks to create small pools where the temperatures fluctuate. It was beautiful and calm. "
15,2019-08-06,['hiking'],My group and I had a really good time hiking this trail. It was pretty unique at the end with the waterfall and the spring. Pretty easy hike overall for someone who casually exercises. Didn’t have much difficulty. Taking a dip on and off kept us cool as well! Beautiful hike. 
16,2019-08-05,['hiking'],beautiful trail watch out for the deer flies they bite 
17,2019-08-04,['hiking'],Beautiful desert oasis. 
18,2019-08-03,"['hiking', 'muddy']","We got caught in a summertime rainstorm today.  Pretty good amount of rain too. It made the trail muddy, and full of puddles. Of course my dog had to go through every puddle, so clean up at the truck was fun. Because it was overcast and raining when we reached the hot pools and waterfall, the colors of the pools were not super awesome. We'll go back again and hope for no rain si the pools are clear. "
19,2019-08-03,"['hiking', 'rocky']","This was a very fun trail. It was a little rocky, but worth it at the end with the hot springs. The hot springs are 100% worth it. Wear your swimming suit and take a towel."
20,2019-07-31,['hiking'],This hike is one of my favorites. Relatively easy uphill to the springs then downhill on the way back. The hot springs and waterfall at the end are absolutely magical. Bring water and a snack because you’ll want to get 2 or 3 hours for frolicking *at* the hot springs. The hike itself takes 40 min to 1.5 hours getting there depending on your pace. We were strolling and taking our time absorbing the stream sounds and cool rock sights. Can be slightly slippery when it rains. Makes sure to explore all of the different pools. They have varying temperatures.
21,2019-07-28,['hiking'],"Great hike along water entire way! ! Was easy for 12/13 year old sons. We packed bathing suits for the hot tubs. Saw a snake, but not a harmful one near the water. Lots of people on a Sunday, but was very enjoyable- good shade along the path! "
22,2019-07-28,['hiking'],I would recommend this hike for people who want something scenic and moderate. I’m usually scared of scary drop offs but there are barriers that prevent you from falling. It’s my favorite hike so far! 
23,2019-07-28,"['hiking', 'rocky']","So worth it... if you get there before the crowds start pouring in. Thankfully, we took the advice of some of the previous reviews and started the trail super early. We got to the hot springs around 8am and had the entire place to ourselves for over an hour. So damn magical. The 1st pool is like lukewarm bath water. Really refreshing. The 2nd pool is like a super hot bath. The kind where your skin stings for awhile until you get used to it. Still super nice but overwhelming after being in it for awhile. The 3rd (closest to the waterfall) is really fucking hot. I couldn’t be in it at all. But recommend testing them all out! It’s wild to feel the mix of super cold river water with the hot spring water. Make sure to dunk your head into the waterfall! 

Highly recommend this short hike! Start early. The crowds started showing up around 10/10:30am and that was the time we decided to head out. 

Also, PICK UP YOUR TRASH. We hauled out three bags of trash that we collected in and around the springs. Super sad and disrespectful."
24,2019-07-28,['hiking'],"This is one of my favorite trails ever. Whether you find the hot springs at the end underwhelming or not, the trail alone is worth the drive from SLC (the drive on diamond fork road is pretty cool in itself.) beautiful river valley and mountain views throughout. A good climb but not overwhelming. we went on a Friday afternoon. Overall light traffic. The springs were pretty neat or at least the idea of them is. I personally couldn’t stomach the prospect of flesh eating bacteria or smelling like egg salad for the rest of my life enough to go more than shin deep. The river through the hot springs is nice and cool and clear (and moving) though. "
25,2019-07-25,['hiking'],The hike was busy but beautiful. We even saw a white mountain goat during the hike. At the end we enjoyed soaking in the hot springs and playing in the waterfall.
26,2019-07-22,['hiking'],I would say definitely bring crampons if you go in the winter. The trail is heavily trafficked and will become an ice slide!
27,2019-07-21,"['hiking', 'bugs', 'rocky']",
28,2019-07-19,['hiking'],"Parking is a little limited, so don’t be surprised if you don’t get a parking spot right away. The hike was beautiful and decently shaded. We hiked this trail in early May and saw roughly 5 other people. It gets pretty busy around mid May until late August."
29,2019-07-14,['hiking'],"I would give it 5 stars but as someone else stated , too many people. Other than that I thought it was a beautiful hike up to the falls . Get there early as possible. The parking lot is small . "
30,2019-07-12,"['hiking', 'rocky']",
31,2019-07-09,"['hiking', 'bugs', 'rocky']",great hike for kids!
32,2019-07-09,['hiking'],"Groovy Hike.  Hot springs are relaxing.  Might not want the kids to be the first to the ones to the end or you could have an interesting educational talk on your hands when they see ""Buffy and the Skinny Dippers.""  You can usually avoid this on the weekends."
33,2019-07-08,['hiking'],"It's about 60 minutes to reach the top waterfall from the Trailhead. Shaded for good portion of the hike.  We started the trail at 4pm only saw one small gopher snake by the first (lower) hot pot. 
I will definitely hike this trail again, maybe take a hammock and lounge out longer next time.
*Please remember to bring a garbage bag with you if you're going to be packing in anything.
We cleaned up a pile of beer and soda cans at the top hot pots that someone left behind. It would be such a shame if this beautiful hike was trashed by careless, lazy people. 
If you pack it in - pack it out. "
34,2019-07-07,['hiking'],This was our first time doing this hike. We showed up to a completely packed parking lot with ppl still trying to pack in spots vehicles didn’t fit and block others in... I dropped everyone off and drove down the road to the next available place to park and ran back. The stream was pretty and the trail had some shade but not a ton. We got to the hot springs and it was just flooded with ppl everywhere... trash everywhere... we came across a few dead gopher snakes ppl had just killed for no reason. Overall it could be a pretty place but in my opinion ppl have ruined it. Not the type of hike I enjoy personally. 
35,2019-07-01,['hiking'],We started hiking around 6:30 p.m. on a Monday evening with several teens and kids ages 5-18. The trail was amazing and the rushing creek was so beautiful. My 5-year old and 7-year old did great but were pretty tired by the end. We did see four large Gopher Snakes directly on the trail. Upon arriving at the large waterfall there was a group of about 6-8 fully nude bathers in full sunlight which was a bit frustrating being there with children. We stayed below at the other pools. As we started to leave a lot of other groups came up. It's a busy place!
36,2019-06-24,['hiking'],Easy picturesque hike. Beautiful area. I was amazed and disappointed at how much trash people left. Please pack out what you pack in.
37,2019-06-24,[''],"hike up takes about 45-60 min. Beautiful hike! You will see snakes on warm sunny days. The pools were great and most can be tweaked. If to hot, find a way to direct the cold water in, if too cold, find where the cold water is coming in and slow it down. Locals go up frequently to help improve the pools.
yes, you'll likely run into naked people, especially if you go early or late in the day. But if you are nice and respectful in how you talk to them, most are willing to put shorts or underwear on if you are uncomfortable.
There is a hidden pool that a local pointed me too. If you find it, don't be surprised if you run into naked people. Because it's more secluded, it seems to be used more frequently by skinny dippers.
I'd definitely go again! Next time I'll backpack in and camp somewhere on the trail."
38,2019-06-20,"['hiking', 'washed out']","My boyfriend, roommate and I hiked in around sunset this past Thursday night. We brought our camp gear, hoping to go to the springs really late or really early in order to have a spring to ourselves. We discovered there was over 20 people at the springs still at sunset, so we settled on the furthest pool, upstream of the waterfall. We had the pool to ourselves for about an hour, but were joined by a few bros. We left shortly after, and camped nearby. We noticed people hiking in towards the hot springs all hours of the night, well past midnight. We woke up around 5am the next morning, and still spotted people hiking in towards the springs. We decided to pack up early and head home, deciding that we most likely weren't going to have any private moments at these springs. The hike was easy and absolutely beautiful, and the river was bursting with fresh snowmelt. The waterfall and springs were super cool, but just very very crowded. For those seeking for backcountry springs and a little solitude, this site is not for you. For a quick dunk in the spring 30 minutes away from the city with a bunch of other folks? That sounds more accurate for what you should expect."
39,2019-06-17,['hiking'],Absolutely loved this hike. Very well shaded. You walk right next to the river the whole time. Great resting spots. Such an easy hike. But it does get very busy. And there is no parking spots. The pots were beautiful & warm! The waterfall is full! Enjoyed every moment! 
40,2019-06-13,['hiking'],"So pretty, walk along the river the whole way, lots of shade, perfect lunch spot by the river at the half way mark, good tree for c to climb, so many snakes, three good places to pee"
41,2019-06-12,['hiking'],Very easy. Best to get there early and watch the sun peak through the woods. Be sure to talk to the Keeper of the Realm. He is often seen naked in the second pool carrying a pick axe. My understanding is that he keeps the pools running well. Chat with him for safe passage to the best of the pools.
42,2019-06-11,['hiking'],Great trail for the family! 
43,2019-06-09,['hiking'],"A beautiful and easy trail. A lot of wildflowers and a constant following a steam hike. Easy for the whole family. I also recommend going early on a Sunday before 10am. The parking lot gets full fast so park where it can be easy to get out. Bring a towel and water shoes, with a letter or two of water. Have fun, we had great discussions with many people. "
44,2019-06-08,['rocky'],"Worth it. The trail is uphill nearly all the way and my little was nearly done toward the end, but the falls and hot springs are beautiful and worth the trek. There are 3 sections of hot springs with the coolest being the first. The second of springs are up a little further and much warmer and near the first falls. Nice mix of hot and cold there. If you proceed past the first fall, there's another spring and a much taller fall that is spectacular, but much more difficult to get to. I didn't bring my little up that way. It's a sulphur spring, so there is an intense smell, but the experience is amazing. There weren't many people there. We started the hike around 4pm and by the time we got there it wasn't crowded. We did pass tons of people hiking out on our way in though. My recommendation is to avoid 10am-5pm."
