,Date,Tags,Comments
0,2019-09-05,['hiking'],"Great little-big hike. It's only 1.3 miles to the top but it's a good vertical gain of 1341 ft. 
Trail is well maintained and in great shape (wish I could say the same about my own conditions) :P"
1,2019-09-03,"['hiking', 'bugs']",
2,2019-08-10,"['hiking', 'no shade']",No shade but it’s a nice view and a cool pic with the American Flag. 
3,2019-07-27,['hiking'],"My 5 yr old was with me, so we didn’t get far."
4,2019-07-14,"['hiking', 'no shade']","Interesting hike to see Patsy's mine, although it's about the only shade you'll get on the hike. The dirt is loose towards the top so it can be slow going. Great views at the top though."
5,2019-07-05,['hiking'],Great place to watch the fireworks in Davis County. Hiked up in just under an hour leaving at 8:30. Watched fired works for a half hour. Came back with headlamps. Perfect evening. 
6,2019-07-01,['hiking'],"I loved it.  Find a cloudy day because it’s about 3% shaded.  It is steep, you get a break on the fire road, and about 2/3 up but other than that your climbing.  The mine is only about 100ft past the marker where the trail splits.  Worth seeing.  You can see the pay off from the start of the trail and it looks pretty crazy, but it’s comparable to most moderate trails I have done.   Also I was at about 3.1 mile round trip.  "
7,2019-06-30,['hiking'],"I feel like it was a bit tougher than the app led to believe. I was huffing and I workout and do cardio 6 days a week. Well worth it though, because the view at the top is magnificent. You gain altitude pretty rapidly, so you have a good view of the valley most of the way up. We hiked it at sunset, which I would recommend not only for the view, but also because the temperature isn't as high and you are not hit with the midday sun on the way up. "
8,2019-06-26,['hiking'],"I will go on with the bad parts of this trail!

 It was a harder trail in my opinion, the trail is steep and washed out in parts! also the trail is loose so be careful going down! I couldn't finish it because I was way to tired going up! kinda says I need to get back in shape lol

The good parts of the trail!

 There is alot of wildlife with cute lizzards, birds and dragonflies! sparse purple flowers and just pretty in general! if it wasn't so steep and my knees weren't jello I would go all the way!"
9,2019-06-23,[''],We took 8 kids with us ages 8-14 and they did amazing! I was huffing and puffing as the trail is a good climb almost the entire way up. The view at the top is a nice reward for all of the effort. I would not recommend going on a hot day at all. Also we did see one rattler on the trail so keep your eyes peeled if you go. 
10,2019-06-18,['hiking'],"Great hike! The trail head is a bit hard to find at first, it’s behind a brown sign in a cul de sac. Pretty moderate hike but in the sun, it gets a bit hard towards the top."
11,2019-06-08,['hiking'],Great quick hike with great views
12,2019-06-03,"['hiking', 'no shade']","The trail head is right by the sign in the cul-de-sac. No trees the whole trail is in the sun, go for sunrise or sunset. Pretty view & easy hike."
13,2019-05-14,['hiking'],Went on this trail and I really enjoyed it. It is really good for getting a leg workout in because it is up hill the entire way. Our legs were burning but our party had someone who has never completed a hike before and he was able to do it and he’s not an active individual. THIS HIKE FEELS SO REWARDING. It is definitely a challenge but the reward is so good the view is amazing and the daunting task of making it to the top seems like a huge accomplishment once achieved.
14,2019-05-14,['hiking'],"There is absolutely no trail head, my friend and I took the wrong trail and ended up hiking triple the amount we were supposed to."
15,2019-05-09,['hiking'],"Went on May 9th. Relaxing trail, it's worth checking out the mine (short detour if you're going straight down the hill) Heads up: if you go on a day where the wind is blowing out of the north or south, you'll get some cool photos with the flag sprawled out. Happy exploring! <3 "
16,2019-04-15,['hiking'],"I keep on finding more and more trails popping up that I have completed.  I think the other one to here might have been a loop trip.  No matter I am going to mark this as a complete.  I usually come here on Sept 11 every year with a group of Geocachers.  The flag here sits at the same height the towers were in NYC.  We start at the fire station down the road and make the hike.  The trail master usually will put up a new flag prior to the event.  Great Hike, Great Spot.  I would recommend the loop trip as well."
17,2019-04-07,[''],"Saw this on another site and took my kids which ended up being much harder than anticipated. (Kids were 9, 7, 4 and 18 months in a backpack). It would have been a workout without a kid in a backpack. My kids loved the mine once we made it, but probably won't do it again until they're older. Didn't go all the way up to the flag. We still joke about Patsy's mine saying, 'Come on, this hike is no  Patsy's mine' when we're trying to motivate our kids on easier hikes."
18,2019-04-06,['hiking'],"challenging if you don’t hike a lot. Pretty steep and narrow, but definitely beautiful."
19,2019-02-08,"['hiking', 'rocky', 'snow']",
20,2019-01-27,"['hiking', 'muddy', 'rocky', 'snow']",
