,Date,Tags,Comments
0,2019-09-08,"['hiking', 'over grown', 'rocky']","The entire trail boasts some of the best views ever! There were so many meadows and Aspen groves. As long as you bring plenty of water & snacks for you & your pup and take a safe pace up & down, you’ll have the best day ever! "
1,2019-08-31,"['hiking', 'rocky', 'scramble']",
2,2019-08-31,"['hiking', 'rocky', 'scramble']","if you want to hold hands, don't go on this trail! Great stair stepper the whole time.  "
3,2019-08-28,"['hiking', 'rocky']",
4,2019-08-25,['hiking'],So steep. Legs are jelly. Ridiculously steep. Worth it? Absolutely. Views are insane. Meadow and wildflowers on steroids. I clocked 5.5 miles to the knob.
5,2019-08-24,['hiking'],"Get ready for steep! From the Mill Creek side it’s 3,000 feet of elevation climb in just over 2 miles. That equates to some heavy breathing from your inexperienced, out of shape, “hiking” buddies. Feel the burn because you will.  The hike is beautiful the entire way up. Lots to look at and plenty of shade for a majority of the hike. Definitely worth summiting. Don’t stop at the saddle. The rest of the hike takes all but 10 minutes or less from there. If stair master is your thing, I’d 10/10 recommend. "
6,2019-08-23,"['hiking', 'over grown']",Short and steep but really beautiful at the top! I started around 9 am and only saw 3 hikers on my way up. It started to get busier as I came down (so closer to 11 am). There’s no stream along the trail so bring plenty of water for your pup! The trail gets confusing in the last mile to half-mile. Stay left at the large boulder field and then stay right and head toward the rocky ridge line (the summit). 
7,2019-08-18,['hiking'],"Not busy if you start around 8am on a Sunday. The traffic seemed to pick up on our way down around 11am. Still a few flowers left here and there -- also, toadstools, pika, and a couple of moose. This hike is steep as advertised but not sketchy in nice summer conditions. The path is occasionally a little overgrown but otherwise well-trodden. While there is intermittent shade and the first mile is forested, the trail gets pretty hot toward the bottom later in the morning. If you're partial to greenery and 360-degree views, these are some of the best in the Wasatch."
8,2019-08-10,['hiking'],Trail is actually 5.2 miles out and back not 4. Excellent hike. Gorgeous meadows and the view from the top is spectacular.
9,2019-08-08,"['hiking', 'scramble']","Excellent hike, well shaded. Towards the end there is scrambling a little climbing
"
10,2019-07-31,['hiking'],Short and steep with no snow to the summit. 1hr45 car2car on a cool overcast morning. 
11,2019-07-30,['hiking'],"Great day with tons of elevation.  No snow, no crampons needed.  Pack water, you’ll need it if starting after 9am.  Hardly any people (7), was just a bonus.  Lots of loose rocks, so trek poles helpful if ankle intrinsic muscles aren’t super strong.  Worth the views up/down big cottonwood canyon !!"
12,2019-07-16,['hiking'],"Spikes are necessary, for several portions of the actual trail. (There’s a few snow patches left, see my pics.) And at least one pole, since it’s quite slippery with the steepness coupled with rocks, pine cones, etc., that have collected. 

Also, please clean up after your dogs and humans. (I gathered two bags of poo and other trash that people left.) Thank you to all the nice people on the trail, it’s so appreciated when others show they know that uphill hikers have the right of way! "
13,2019-07-12,['hiking'],"Spikes are not necessary as of today, since it has been so warm and the snow is melting rapidly. The trail was easy to lose and I ended up freestylin' up the rock field which I would not recommend. The way down was much easier since I could see the trail clearly. There was a ton of ladybugs hatching at the summit, so cool! This is not for an inexperienced hiker. It starts out fairly steep and becomes much trickier with loose rock and dirt. "
14,2019-07-10,"['hiking', 'rocky', 'scramble', 'snow']","Probably the toughest 2 miles up you’ll ever do, but definitely worth it. Lots of loose rock and some slick snow patches closer to the summit, so bringing spikes may still be a good idea (it’s July as I’m writing this review). Park in the lot that says Alexander Basin trail and follow it up—on AllTrails the start of the trail is straight up from the road up an embankment which isn’t correct."
15,2019-07-07,['hiking'],"I hiked to the top via the Bowman Fork trail. I wanted to descend through Alexander Basin but had a hard time finding the trail. First I went one way, realized that was wrong, backtracked to the top. Then went another way, was on a trail.... but then realized it wasn't the Alexander Basin trail. Ended up descending about 1000 feet through steep snow fields (somewhat harrowing) before I could join the trail (and therefore didn't experience the steep trail/scree other people have written about, although that sounds like it would have been better than what I did!). After that it was fine, but I thought Bowman Fork was the nicer trail and will probably choose that when I want to go back to Gobblers Knob. Went back via White Fir Pass to Bowman Fork since my car was parked at the bottom of Bowman Fork."
16,2019-07-06,['hiking'],"Found iPhone on the snow near the top, locked with 6 digit code, left at entrance station. "
17,2019-07-05,['hiking'],"Ok I knew this was going to be steep, but holy you know what, I didnt think it would be that steep.  the scramble to the saddle on loose scree was crazy. coming down would have been a nightmare but I was able to use the snow fields and slide down.  the view from the top was amazing.  I had poles which was a huge help.  Not for the faint of heart or inexperienced.  "
18,2018-11-22,[''],Great trail!
19,2018-10-09,[''],Great hike! Not for those wanting an easy walk. The scenery changes as the summer progresses. I have Verizon as my cell carrier and get service right before hitting the saddle of the basin. Love that because I can share pictures at that moment. I wear microspikes and take hiking sticks every time.
20,2018-09-24,['hiking'],One of the best hikes in all of the wasatch! Certainly challenging but worth every second of it!
21,2018-09-05,[''],Up to the trail split is very steep and loose. Not fun
22,2018-09-03,['hiking'],This is a challenging trail with a steep climb. My poor knees were not happy but it’s definitely worth a try.
23,2018-09-01,['hiking'],"For me and my friends, this hike was the complete opposite of pure misery, but instead pure joy! Very scenic route up to the top, and WOW, what a great view at the very top. Yes you might feel a little tired going up if you aren't in shape, but that's just a given. Would do this hike again any day."
24,2018-09-01,['hiking'],"I hiked this today with the dog. She took it like a champ, but after hitting the saddle was pretty beat, so we turned around. 

It’s definitely steep (60% grade near the top) and a bit loose underfoot. I wished I’d brought my poles to save my knees a bit on the way down. 

There’s no water I found on the way up, so bring plenty for your four-legged friends. 

It took us about 1.5 hours to get up to the saddle, and about an hour to get back down to the car. 

The views up on the saddle are fantastic, temps are still nice, and I had no insects pestering me. Overall, a jolly stroll."
25,2018-08-16,[''],amazing views! very steep and will kick your butt! the only thing that would make it better is a nice creek.
26,2018-08-11,['hiking'],"I’d truly say 3.5 but not an option. Once the trail gets technical (trail vs rock slide) there are no cairns! I figured it out after looking at the trail for a few minutes but contemplated just scaling the mountainside like an idiot biker. 

I was at 2.8 miles by the time I got to the top, when I hit 2 miles I hadn’t wandered off trail so the 4 mile out-back range is wrong. I did hit up Raymond so I can’t give an accurate mileage report for you. 

The bees, gnats, flies, and ladybugs (they were biting too) were outta control up top but still worth the scramble."
27,2018-08-08,['hiking'],Short but sweet! Great views! Still need to tackle Raymond! … :-)
