,Date,Tags,Comments
0,2019-09-08,['hiking'],Great trail we went up in the early afternoon and saw very few other hikers.  The sun was warm but mid 80s and it was not unbearable at all. On the way down we missed one switchback and ended up going down hill for a little way before we realized we missed the turn and we had to hike back up to the trail.  We also saw a lot of snakes and lizards including one rattlesnake that was right beside the trail and rattling furiously at us.
1,2019-09-07,['hiking'],"Amazing views, definitely recommend. Bring your pooch too."
2,2019-09-07,['trail running'],"Beautiful Misty Morning. Felt like Gandalf and Bilbo Baggins were going to greet me at any moment. No joke. Light rain made dirt perfect consistency for solid grip on way up. Couple puddles on way down. Also made for vibrant colors; reminded me of the movie ""What Dreams May Come"". Had trail to myself (715-9am).

Best Workout in town. Skip the road, treadmill, squats, lunges, gym, bootcamp etc...and hit this trail for a burner workout (if you push yourself).  The way up for glutes and quads. The way down for speed/agility/control, and developing the ability for making split second decisions on where to land the next precious step!!"
3,2019-09-05,['hiking'],Had a great hike today. I did overestimate my fitness level for this hike.  I’ve done it many times over the years but it’s crazy how fast you can lose stamina. Spoke with some nice search and rescue guys who were searching for a missing person.  Got passed twice by a guy doing ‘laps’ training for Spartan World Championships. Dog also had a great time.  I’ll do it again and work on my fitness.  
4,2019-09-01,['hiking'],"Trail was a little over 7 miles for me. Wasn't that busy on a Sunday morning, and the peak view is great. Most of the trail is pretty exposed, so mind the temperature when you depart. The end gets to be pretty tough uphill, but it's worth it!"
5,2019-08-23,['hiking'],"Easy hike, from Pipeline or Church fork. Lots of water on the first half of the trail. Bring a water filter in case you run out on the way down. Only took me 90 minutes to get up at a slow pace. Nice combination of shade and sun on the trail. I did encounter rattle snakes on the trail so just be mindful of where you step."
6,2019-08-19,"['hiking', 'rocky']","This is a great hike, it’s steep in some parts but the views are great the morning is better because it’s less hot and less bugs and snakes
"
7,2019-08-19,"['hiking', 'over grown']","We power-hiked/trail ran up from Elbow Fork Pipeline Trailhead to Grandeur Peak approximately 10 miles round-trip. We left mid-morning, it was a very hot day! We were doing some heat training, but we were very surprised how little shade and how overgrown the trail was for August. We did see one huge rattlesnake on the trail! Make sure you watch your step! 
We just barely had enough water and nutrition to do the full workout. You should definitely bring at least 1.5. liters of water and snacks! It is a steep climb, you should be at least an intermediate or advance hiker to hike up to Grandeur peak. Beginner hikers or bringing kids is not recommended. Also avoid going during mid-day, I recommend going in the early morning (6am) to enjoy cooler temperatures. The view of the Salt Lake Valley from the peak is beautiful! It is a difficult hike but worth it if you are properly prepared. Have fun and bring a friend. 
Follow me on Instagram for more adventures: @adventureswithchase! "
8,2019-08-14,"['hiking', 'rocky', 'scramble']",Great trail hike this morning. Started early with no other hikers on the trail. Beautiful look-outs and spectacular peak view! 
9,2019-08-14,['hiking'],"It's a very fun hike with your dog. There's tons of waterfalls to take in and a stream runs along the trail for your dog to play in for about half the hike. It begins to get rocky and hot halfway through and then the amazing views begin to come a bit later. The crest was the coolest part more than the peak itself, I thought. I did come across some big snakes (non-poisonous) that alarmed me and I had to hold my dog back just in case."
10,2019-08-11,"['hiking', 'bugs', 'over grown', 'scramble']","The other reviews are correct in terms of steady climb, but the view is amazing! Glad we went early due to heat and bugs. "
11,2019-08-11,['hiking'],Very green right now. Pretty views!
12,2019-08-11,['hiking'],"Perfect day to do Grandeur Peak today.  Beautiful, a nice breeze.   It's lush,  green and slightly overgrown.  There are results snakes so be cautious. "
13,2019-08-09,"['hiking', 'no shade', 'over grown', 'rocky']","This hike was great. Unfortunately for me a huge storm rolled in so I couldn’t see anything from the top and I got completely soaked coming down, but it was still great. I spent no time at the top because of the rain, so it took me 2.5 hours round trip. (I parked in the lot right by the trailhead and the distance from there was only 5.82 round trip.) I’m in fairly decent shape and even I would consider it a hard hike. It’s pretty constant up hill, but some of the views I did see were amazing. I’ll have to do this again on a nicer day. The only caution I have for this trail and rain is that if it comes down hard enough the trail becomes a river and it’s very slippery, so be careful!"
14,2019-08-05,['hiking'],"Great hike with some tail running. Went later in the day so not as hot. Saw more lizards than I could count!

"
15,2019-07-30,['trail running'],"Awesome trail for running, getting in some vertical and getting that heart pumping! Consistent uphill, but nothing crazy unmanageable. But it’s a workout for sure. The views are spectacular and worth the climb, I promise! This trail is well maintained, but technical toward the top with rocks and roots. Nicely shaded throughout with some full exposure sections. I started around 4:00pm and was back to my car by 6:45 with some time resting at the top. Saw one (huge!) snake but no rattlers. Bring plenty of water and maybe some bug spray, they were definitely out. But it wasn’t too bad. Really enjoy this trail and it will always be a go to! Not too many parking spots at trailhead so you may need to park down the road a bit. Enjoy!"
16,2019-07-27,['hiking'],"We hit the trailhead early morning about 7:45, had minimal stops, hung out at the top, and was back down by noon! If you’re bringing dogs along I would recommend getting up as early as possible, as only about 1/4 of the trail is heavily wooded/shaded with water access. Overall feeling pretty accomplished, clocking out at 8.3 miles total "
17,2019-07-27,['hiking'],lovely trail. first mile has shade then it's exposed. steep near the top.
18,2019-07-27,"['hiking', 'rocky']",Great morning hike. 1:21 to the top
19,2019-07-22,['hiking'],"You have to work for the end summit, especially over the last mile,  but a fun experience. Start from Rattlesnake Gultch for a real long one."
20,2019-07-22,"['hiking', 'bugs', 'over grown', 'rocky', 'scramble']","We just did this trail on Sunday July 21st. We went up with three kids ages 5, 6 and 7 and had three adults. It was difficult to find the trail head since its up through a gate and past some picnic areas, no one had cell reception and there were no signs that we saw. Luckily a woman we asked knew where it was. It was crazy hot. I recommend dipping yourself in the creek on the way up if you're starting late. We started at 11 a.m. and with three kids it took us 5 hours to get to the top including breaks and lunch. All of the wild flowers are in bloom so there are lots of bugs. Flies, bees, wasps, butterflies etc... We weren't too concerned. We had bug spray but they all left us alone except for the occasional landing. It took us 2 1/2 hours to get down, including breaks and some play time at the creek. Our 5 year old had difficulty slipping and fell a lot on the way down. She didn't have great tread on her shoes which we'll rectify before our next hike. But the trail down is easiest to take at a run. Overall a great hike, we'd definitely do it again. Hopefully when it's a bit cooler. "
21,2019-07-21,"['hiking', 'bugs', 'over grown', 'rocky']",I did this on 07/20/19. The trail conditions were perfect. I would strongly recommend a bug spray. Awesome views from the top. Will definitely do this again. 
