,Date,Tags,Comments
0,2019-09-07,['hiking'],finding the trailhead was a pain.  had to walk up a driveway to get to the trail.  otherwise the trail was nice.  pretty crowded. 
1,2019-09-05,"['hiking', 'rocky']",Trail was in excellent condition although a bit tricky to find trail head as you first need to walk through a neighbor. You’ve got cross a steep hill covered on boulders towards the end too. Doable but just be aware. 
2,2019-08-25,"['hiking', 'bugs', 'rocky']","I hiked this trail today (8/25/2019) with my dog. I was a bit hesitant to go because of all the recent snake sightings, but I've hiked this trail a handful of times and never once saw a snake.
We started at 7:40am and got back to the car by 10:30am (we hiked at a slow pace and relaxed at the top for quite some time), no snakes in sight!
I'd recommend bringing bug spray, especially if you plan on taking breaks on the way up to the waterfall. The waterfall was weak compared to a few months ago, but the hike overall was very nice!
"
3,2019-08-25,['hiking'],look out for rattlesnakes and thirsty yellow jackets
4,2019-08-25,['hiking'],"I’d definitely recommend only doing it when there’s still snow runoff, if your goal is to see the waterfall. "
5,2019-08-24,['hiking'],"Saw three snakes yesterday on our hike. Started the hike around 5 pm. One rather large snake (likely a bull snake) hidden in the rock field towards the end and two rattle snakes on the trail that rattled at us and one wouldn’t let us pass so we ended up turning around. With this level of snake sighting directly on the trail, probably won’t be back."
6,2019-08-23,['hiking'],"We parked at the parking lot by the main road. Not clear where the trailhead starts. You have to walk through a neighborhood before starting the trail. Enjoyed the hike, however, it has some steep parts. We also ran into a coiled rattlesnake. It was decently big. Met a couple of other hikers who also encountered a rattlesnake. Be aware, especially if you bring dogs. "
7,2019-08-17,['hiking'],"It was a great hike, except for the snake on the trail. I will do it again,  but be more aware of snakes.  
"
8,2019-08-02,"['hiking', 'bugs', 'scramble']","Went up in the morning with my kelpie and we heard a bigger animal, totally freaked my dog out, and me!! Full mohawk, barking and whimpering. I slowly backed away going back down. Stay safe y'all carry bear spray it protects against all mammals. I think it might have been a mountain lion."
9,2019-08-01,['hiking'],"Definitely better in the spring. The waterfall is only a trickle now. Lots of wasps by the water. Raspberry bushes are big. Still very green above the waterfall. No one on the trail today but me. Watch out for snakes: most people mistake the gopher snake for a rattlesnake which isn’t a bad thing but all the reviews make it sound like there are rattlesnakes around every corner. I’ve done this trail dozens of times and never seen a rattlesnake, not to say they aren’t there but I think most people assume it’s a rattlesnake. I’ve seen them in the grass and they always scurry off when I go by. GPS seems to have trouble with accuracy in this canyon but the trail is easy to follow."
10,2019-07-29,['hiking'],Great trail for dogs due to the multiple river crossings. A lot of shade depending on the time of the day. Nice little waterfall. House at the Trailhead sometimes has a 'dog poop' bucket for you on the way down. 
11,2019-07-25,"['hiking', 'bugs', 'rocky', 'scramble']","We didn’t get to finish because at the boulder part, me and my 12&11 yr old ran into two rattlesnakes... bummer. I’d say I’m in good shape, and this was a lovely challenge. Little much for my kids, but I would like to do it again. Lots of water and bug spray is a good idea."
12,2019-07-24,"['hiking', 'bugs', 'rocky']",This hike was a really fun one.  Not steep really at all but make sure you have water. And be weary of rattlesnakes.  My friends and I saw two on the trail so that made for an interesting rest of the hike.
13,2019-07-23,"['hiking', 'over grown', 'scramble']","From the parking lot, to the waterfall and back was a steep 3.5 miles. We got directions from the parking lot to the trailhead from the Girl on a Hike blog. 
Once we got to the boulder field we had a hard time finding the falls, so I uploaded some photos that should be helpful to figure hikers!
You’ll want bug spray! "
14,2019-07-21,"['hiking', 'bugs', 'rocky', 'scramble']","I was a bit worried for this hike because it was my first in a few years, but I genuinely enjoyed it! The parking is on Wasatch Boulevard, you can navigate to it through google and then it’s up into the neighborhood, a left on Oak Canyon Dr, right on Canyon Winds Ln, and all the way up. You pretty much have to walk through the house at the end’s driveway, but that is in fact the trailhead (it isn’t marked, that I saw). We luckily had a nice mailman making his rounds to help us out.
The trail itself is paved pretty well, though the dirt does get slippery the steeper it gets. The entire hike is pretty much an incline, and as you go further the trail gets more narrow and more steep. I would definitely recommend having a walking stick or trekking pole, both to stabilize yourself toward the end, and to rustle the brush for snakes. We didn’t see any, but I was making a LOT of noise to avoid it thanks to the other reviews.
And if you have a bee allergy, please be cautious and bring your Epi pen! There were several spots where we had to walk through swarms of wasps because there was water on the trail. We didn’t get stung, they minded their own business and let us pass as long as we didn’t linger, but I would still be careful!
And for dogs and small kids, please be aware that to GET to the water, you have to scale across the red rocks that a lot of people have posted pictures of, so I’d be cautious if you can’t carry them and they don’t have sure footing. Bring plenty of water in case you can’t get to the falls because that obstacle is right at the end. We passed a lot of tired dog owners on our way back down who asked us if they were close because their pup was hot.
Once you get across to the lower part of the trail, you go through a tunnel made by the trees and the grotto there is tiny but beautiful and shaded. It was clean and quiet, and really refreshing after the climb.
My only trouble was that we didn’t finish the hike, I assume you had to climb up the rocks instead of across to get to the last .2 miles of the hike but I’m not sure. Either way, if I went back I think I would want to try to complete it and see what else there was to experience."
15,2019-07-20,"['hiking', 'bugs']","It’s hard to get to the actual trail, I recommend reading the site girl on a hike dot com to actually see how to get there. It’s nice, shaded and not crowded. It gets pretty steep and bring bug spray!! I didn’t make it to the waterfall because I had my pup and I was scared of sliding down the gravel "
16,2019-07-17,"['hiking', 'bugs', 'rocky']",
17,2019-07-12,['hiking'],"This trail has a lot of shade and is so pretty. The trail follows a stream that is pretty swift so keep a good eye on your little ones! I only hike up to the big rock pile, sit on a rock and eat a snack or look at the valley. I am not advanced (or adventurous) enough to scale them and go to the waterfall. There is not a lot of parking so I'm not sure where you are allowed to park on a busy day. "
18,2019-07-12,['hiking'],Could never find the entrance to the trail head very disappointing as I was looking forward to this hike with my dog after work if anyone has better directions that would be great I parked where it said trail head parking and water at all it through the neighborhoods and never found a marked or else
19,2019-07-06,['hiking'],"Fantastic option for a steep that is mostly shaded. The stream is really running strong but the main waterfall was covered by the vegetation this year. The trail continues across the rock slide but then it became way too overgrown to continue to the very end, especially with the rattlesnake sightings.  "
20,2019-07-05,['hiking'],Super awesome. Really steep for a good incline most of the hike. But I saw kids and other younger kids doing it. It definitely wasn’t an easy hike. The waterfall is small...but cool I guess. Fun hike! 
