,Date,Tags,Comments
0,2019-08-27,['hiking'],Quite a challenging ascent but it was the descent that really got me. Good traction is a must. Poles optional but would help with the steep slope. Beautiful views throughout the hike. 
1,2019-08-25,"['hiking', 'no shade', 'rocky', 'scramble']",Good incline trail.  The turn off from Indian is not marked but has a stair step of boulders that is visible as a trail.  Last part at the top is meadow with flowers and quite pretty though with some bugs. I recommend poles as some of the inclines as sand and loose rock.
2,2019-08-18,['hiking'],"Terrific trail and many changes in scenery.  Meadows, desert, and otter amazing terrains..."
3,2019-08-08,['hiking'],"Excellent trail,  very pretty.  But man... those inclines,  though! "
4,2019-08-03,['hiking'],"Excellent hike, challenging with the steep ascent but well worth the view and rock tower at the top. Highly recommend. "
5,2019-08-01,['hiking'],This little trail kicked my trash! I did it at the hottest time of the day which was a mistake and after I hiked the Indian trail. Pretty steep at some points. Beautiful view once you get to the end
6,2019-07-16,['hiking'],"Steep, rocky, dusty trail, so definitely challenging. But the scenery is gorgeous once you get into the hidden valley. The meadows and the trees help to cool the air during the summer. Lovely views as well. Definitely recommend."
7,2019-07-13,['hiking'],This trail was definitely one of the steeper ones I have done. I completed it in about 3.5 hours and to be honest I felt the view at the end didn’t live up to the work it took to get there. I did hear the route from Taylor’s Canyon is much more pleasant. When I got to the top of this trail I couldn’t even stay long because of all the bugs. It was hot and mostly unshaded and I wish I would’ve had poles. I feel like you can get similar views from other trails in the area without killing your legs on the incline and with much more shade. 
8,2019-07-11,['hiking'],Great view. Beautiful morning hike. Reached the top at noon. You will miss the turn if you are not watching... sign is on the little rock. Beautiful meadows.
9,2019-07-07,['hiking'],"very steep climb up. it was worth it in the end. the wildflowers are beautiful. we definitely had to take it slow at parts going back down because of the steepness and the loose gravel, but we made it just fine in our trail running shoes. multiple hikers we met on the way back down told us we should have kept going at the top and taken Taylor's canyon down as it'll loop back around to the cars as well. "
10,2019-06-30,['hiking'],"This hike definitely falls into the hard category with long stretches of vertical climb.  Hiking shoes/boots are a must as trail is rocky and loose in spots.  Trail is narrow and sunny for the most part.  I enjoyed the challenge and length of this hike.  We clocked 6 miles total from 22nd St trailhead.  (Good parking at the trailhead on paved road).  Glad it wasn’t another mile longer!  There were lots of scenery changes - valley views, rocky outcrops, forest and lush valleys, wildflowers, and dense brush.  Things level out once you reach the narrow valley at the top.  You know you’ve reached the end of the hike when you get to the large cairn with a gorgeous open view of the mountain across hidden valley.  It’s worth sticking it out to the end of trail!  Just pace yourself and take breaks after the steeper climbs and save some water for the way back.  It’s slower going than you’d think on the way down due to the steepness of trail.  "
11,2019-06-22,['hiking'],"Not moderate by any scale I'm familiar with and I've hiked just about every trail from Ogden Canyon to Mueller park in Bountiful. It is a grind with no shade until you do 1000 ft+ of elevation gain--start early and take lots of water. Well-maintained trail though often fallen trees/muddy on the last mile. The views at the ""end"" are spectacular. "
12,2019-06-01,['hiking'],"Pretty difficult, we did it while carrying 2 kids. The top is beautiful with pine trees and a great view. You need to go when the flowers are in bloom. "
