,Date,Tags,Comments
0,2019-09-06,['hiking'],love it during the evening 
1,2019-09-02,['hiking'],"Good quick hitter close to town.  Brought the whole family, 9 yr old, 12 yr old and a dog.  Its a legit 1600 vertical in just under 2.5 miles so prepare for ""are we there yet"".  You are there when you get to a sign for Deer Creek/Dry Creek trail and North Mountain Trail.  Go left, look left and you'll see the trail, there's a rope tied to a tree.  That's the short trail to the falls.  Good water availability for the dog and its September so I assume that's a low point. "
2,2019-09-02,['hiking'],Beautiful hike! The falls really look like a horsetail. Be prepared for a very steep hike. Most of it is shaded.
3,2019-09-02,"['hiking', 'rocky']","I started at 8am so the sun hadn't come up over the mountain yet, making it so much easier to hike, since it was seriously an incline the whole way.  Read others reviews, I am glad that I did or I may not have noticed the turn off just past the sign where the rope down was. This way led to the lower falls, had I gone straight, I think it would have gone up to the top. The falls were very nice! The way down was partially  shaded since the sun had come up by then. A snake crossed over the trail in front of me. Great hike, but I am glad I went alone so that I didn't slow anyone down. "
4,2019-09-02,['hiking'],"Love this hike! So much shade and even though there were quite a number of people, the trail is nice and wide. Saw lots of families and little kids but the ""moderate"" rating felt pretty accurate for non-avid hikers like us. "
5,2019-08-30,['hiking'],"Great trail. The first 10% is hot and exposed, no shade. It gets better after 10 minutes. When you get to the meadow you’re about half way. The 2nd half is the best part of the hike. Keep going for 30 min. When you get to the split and you see the sign, go left, 50-100 feet up on your left a small unmarked trail cuts down to the lower falls. There’s usually a small ribbon on a branch marking that trail. Follow that trail for 5 minutes and you’re at lower falls. "
6,2019-08-30,"['hiking', 'rocky']","Gorgeous hike, super rocky at some spots, never found the falls but still lots of beauty to be seen. Will be going back with a group to find the falls later this week "
7,2019-08-30,"['hiking', 'off trail', 'over grown']",Amazing Hike! Honestly one of my favorites. You can easily get lost. You may want to watch this video before you go... https://youtu.be/5RUI_msMzXE
8,2019-08-29,"['hiking', 'bugs', 'rocky']","Beautiful falls. The trail is not as muddy as the spring. There are some bugs, but not enough to annoy. Horse poop everywhere, and the whole trail smells of it."
9,2019-08-26,['hiking'],Fun hike very beautiful. Hard to find the trail to the falls. You have to take a left at the fork and then you take a left about 10 yards into kind of a drop off trail.
10,2019-08-24,"['hiking', 'bugs', 'rocky']",
11,2019-08-20,"['hiking', 'rocky']","First, don’t think you missed the turn to the falls at two miles. It’s closer to 2.2 miles to the left of the sign in the middle of the trail. Beautiful Falls area!  "
12,2019-08-20,"['hiking', 'no shade', 'rocky']",
13,2019-08-20,"['hiking', 'rocky']","Pretty trail, very rocky. All the water is near the end of the trail. There are many offshoots that may lead down to the creek that you can hear from the trail, but we didn't try. The rocks are very slippery near the falls, even the dry ones so be very careful!"
14,2019-08-18,"['hiking', 'rocky']","The hike is nothing spectacular. Steep. Trail is rocky a lot of places. the waterfall on the other hand is fantastic! hiked up behind it to some cool ponds and small waterfalls.
Only saw a few people; probably because it was 3pm & 98 degrees. would recommend going early. Didn't see any snakes."
15,2019-08-15,['hiking'],Awesome hike. Definitely straight up hill. The falls are gorgeous. Very shaded so it makes for a great hike any time of the day.
16,2019-08-11,['hiking'],"Shaded trail most of the time! Straight uphill for the most part, about 2 miles up. I did encounter a bobcat, so be on the lookout. Really beautiful waterfall!"
17,2019-08-08,['hiking'],Ran out of sun. Had to come down early.
18,2019-08-04,['hiking'],Somewhat steep. I'd say this trail is similar in both time and challenge to the lower falls at bells canyon. Make sure you are somewhat prepared for breathing. 
19,2019-07-30,['hiking'],Beautiful
20,2019-07-29,['hiking'],"This would be a good trail for those under 40 and in reasonable good shape. This is not a moderate hike and not suitable for those 65 and over unless you are in excellent health and decent condition, as it is rather rocky and quite steep in many places. Expect to spend 1 1/2 to 2 hours hiking to the falls. You can reach a meadow in 45 minutes to one hour. If your looking for a moderate hike, try Battle Creek falls in Pleasant Grove. "
21,2019-07-28,['hiking'],I am always looking for dog friendly trails and this one was great! Definitely an incline the whole way up. I thought it was a pretty good workout but kids definitely were rocking the trail and even passed me at one point haha. It was mostly shaded but I definitely recommend hitting this trail earlier in the morning it was pretty hot.
22,2019-07-28,['hiking'],Beautiful views at the end! We got a good workout with the steep climb and rocky trail. 
23,2019-07-27,"['hiking', 'rocky']",
24,2019-07-27,['hiking'],"Beautiful, shaded, and a great pace!"
25,2019-07-26,"['hiking', 'rocky']","Beautiful Ending at the falls.  Definitely worth going all the way to the falls.  Watch closely for the turn off.   I’m a slow hiker, but hike often and would consider this a hard hike with the elevation and rocky path. "
26,2019-07-26,['hiking'],"Beautiful hike, gorgeous falls! Constant incline so be fueled up, and have lots of water. I can see how people would get confused on where to get to the falls, just watch for the drop off on the left with the black rope once you’re around the 2 mile mark. "
27,2019-07-25,['hiking'],Great trail.  Took 3 hours with 5 and 7 year olds.  But they stayed entertained and loved the falls
28,2019-07-24,['hiking'],Great hike.  Hot and fun!!
29,2019-07-23,['hiking'],Beautiful hike but definitely a workout. 
30,2019-07-23,"['hiking', 'rocky']",great hike! the start doesn't have any shade but the rest is well shaded. It's a great workout! 
31,2019-07-22,"['hiking', 'rocky']",Incredible hike. Would definitely recommend. We got a good workout
32,2019-07-21,['hiking'],"Great trail! Uphill most of the way to the falls and you will be crossing some narrow logs and walking through some wet, muddy paths. I went a month ago and the falls was roaring. "
33,2019-07-20,['hiking'],"Great hike, not very difficult at all.  It is up all the way but the falls are beautiful and we saw plenty of young kids hiking the trail!  Plenty of shade along the way and we will definitely take this trail again.  It is a great visitor hike."
34,2019-07-20,['hiking'],One of our favorites! 
