,Date,Tags,Comments
0,2019-09-01,['backpacking'],
1,2019-08-24,['hiking'],"Quite moderate. Went in August, parking at trail head was sparing. The farther you go past Wall Lake the less hikers you will encounter, although each lake I passed had 2-3 backpackers camping.Still an awesome hike regardless."
2,2019-08-21,['hiking'],"Definitely a moderate hike. Amount of other hiker/people starts to clear out after Wall Lake. Noticed quite a few flies while hiking and some mosquitos, but not horrible. "
3,2019-08-18,['hiking'],Started on a mid-August Sunday at 10:15am. Parking lot was full by then. Trail difficulty is accurately rated at moderate. Well-maintained all the way to the lake. Saw a lot of backpackers leaving on the way there but very few on the way back until the saddle viewpoint. No bug issues.
4,2019-08-17,['hiking'],"Excellent and well marked trail. We hiked in toward Meadows lake, camped overnight and then back out. Plenty of amazing views and opportunities to enjoy nature. The trails were pretty crowded on Friday up until the notch, then they thinned out further on.  We didn't really have many bugs while hiking, but when we stopped to setup camp, they descended upon us.
I highly recommend it and look forward to doing it again sometime. "
5,2019-08-17,['hiking'],"Great trail, Lake Ibantik underwhelming. lakes just prior were arguably nicer. Good weather, clear night sky until very bright moon rise."
6,2019-08-17,['hiking'],"Fantastic trail! We just did this as a day hike. The trailhead was so crowded that we had to park at Trial Lake and hike to Wall Lake, but from there we followed the Notch Trail to Ibantik. Everything was beautiful, weather was great, almost no mosquitoes. In all we were close to 10 miles with the extra bit from Trial Lake. Highly recommend this trail!"
7,2019-08-15,['hiking'],Beautiful hike!!  Many ponds and lakes. Closer to 8.5 miles in total distance. 
8,2019-08-12,['hiking'],"The title of this hike should be Just Wow! We loved it. Not many mosquito’s, didn’t even use spray. Passed 24 lakes in total with the Clyde lake loop added in. Wildflowers were the best we had seen so far this year. We clocked 9.6 miles with adding the loop. "
9,2019-08-06,"['hiking', 'bugs']",
10,2019-08-03,"['hiking', 'bugs']","Definitely longer than 7.7 miles round trip. Several in our group had devices recording distance and we all recorded about 11.5 miles. Otherwise, absolutely beautiful trail. The wildflowers were amazing."
