,Date,Tags,Comments
0,2019-08-02,['off road driving'],Fun easy trail for a quick evening ride
1,2019-07-21,['hiking'],"We went up yesterday (July 20th, 2019), the gate was open to go all the way to the top! What an amazing ride with beyond amazing views! "
2,2019-07-11,['off road driving'],"Drove today (7/10/19). It's gated at the pass parking area above Willard Basin, roughly a few miles from the end. Sign says it will be open on the 15th. Still a great drive with awesome views. Relatively easy but it's still a really fun 4WD road. It has a good variety of soft sand, rocks, ruts, berms, banked switchbacks, etc. Most stock 4x4s should be fine (in dry conditions), especially if driven by someone with good skills."
3,2019-06-27,['off road driving'],What amazing trail I mean beautiful sites everywhere. We almost made it to the top but we got stopped by solid pieces of snow blocking the road. Still great drive.
4,2019-05-27,"['off road driving', 'muddy']","this is a fun little trail. There are a lot of good places to pull off and explore. Most of the trail is pretty narrow though. At places the trail passes through private property so it's necessary that you keep aware of trespass markers. 

It was muddy and snow pack kept us from getting to the end of the trail. I suggest the side trails heading down Devil's Gate County Rd. "
5,2019-04-19,['off road driving'],This is a great ride.  The name says it all.  A lot of people will come here for a chance to check out the gates that live in this area.  Others like the fact you can hit two peaks in one day.  Both Willard and Ben Lomond are a easy hike from here.  Just logging my time up here.  I didn't drive up here in April
6,2018-12-01,['off road driving'],Old Jeep Grand Cherokee loved this rocky dirt road. Slow going in some spots. Views would have been even better if not for the smoke from the wildfires that had drifted into the area.
7,2018-11-22,['off road driving'],This is an easy trip in a 4WD truck.  It is rocky and a higher clearance vehicle with appropriate tires will make the trip a breeze.  Views are awesome.
8,2018-10-29,['off road driving'],"This is a fabulous drive that any 4wd can handle.  It’s narrow and rocky, but nothing technical.  The views are beautiful on both sides of the Wasatch range.  I was impressed by how many campgrounds are spread around near the trail.  I can’t wait to come back for some summer camping."
9,2018-10-15,['off road driving'],"This was a really fun trail. I took my Wrangler up recently and enjoyed the varied types of trail, from rutted dirt, high-banked corners, to super rocky roads, it was a little bit of everything. Definitely not for a non-4x4, but it wasn't difficult, it was just really fun. The Jeep loved it and handled it like a dream, as I imagine most competent off-road capable cars would. The view up top was pretty amazing. I would definitely recommend this trail."
10,2018-09-24,['off road driving'],"I took a stock 1996 Ford Explorer with decent A/T tires up there, the fall shift is just starting, and you're completely surrounded by greens, oranges, yellows, & reds the entire way up, patience is important and sometimes you're choosing lines through some fairly rocky terrain, but if you have functioning 4x4 and a day to spend away from the city, this trail is an awesome choice."
11,2018-08-19,['off road driving'],Amazing drive.. very rocky but a stock SUV can make it. Air down your tires.. Lots of OHV traffic. The views can’t be beat.
12,2018-08-09,['off road driving'],"Great trail. Beautiful views all around. 4x4s will be fine, but I'd recommend something smaller to accommodate the absurd amount of minivans on the trail. Really folks -- been up there twice and had several very tenuous moments working around a minivan. I have nothing against minivans (had a Honda Odyssey for which I almost got a neck tat commemorating its ownership) - but on this trail, they are endangering themselves and others."
13,2018-05-05,['off road driving'],fun drive. The top is beautiful.
