,Date,Tags,Comments
0,2019-08-25,['backpacking'],"Awesome ! All lakes to island have campfire approved sites at the lakes , great medium trail that’s easy . We pushed to big elk lake for the night , which was worth being alone ! Except for a few cigarette Butts people have been respecting the area well, not to crowded."
1,2019-08-17,"['backpacking', 'bugs', 'rocky']","This trail was BEAUTIFUL! There were so many wildflowers and it really wasn’t too hot and we started the trail around 5pm. Pretty much flat until the last half mile. But the steep part wasn’t too bad. I read a lot about the bugs but I didn’t think they were much worse than any other trail around central Utah. Perfect hike for a first time backpacker. It also wasn’t too over crowded, we only passed a couple people on the way up, (and we went Friday to Saturday) but there were a couple people is nearly every campsite at the lake.
I should also add that the parking lot was super full. We’ve been here twice now for different hikes and it’s really hard to find parking."
2,2019-08-15,"['hiking', 'rocky']",
3,2019-07-28,"['hiking', 'bugs']","The bugs are out in full force but with a nice layer of bug spray, the mosquitos leave you alone. Still such a nuisance. You pass by a bunch of different lakes on your way to Island lake. Trail is easy to follow & mostly flat. We didn’t see too many others out there during our Sunday morning hike. Lots of dead trees. Caught some brook, rainbow & cutthroat trout along the way & in Island lake. "
4,2019-07-22,"['hiking', 'bugs', 'rocky']",
5,2019-07-22,"['hiking', 'bugs', 'rocky']","It was so beautiful the whole way through but definitely save it for early morning or evening when it’s cooler, once the sun is out it’s almost too hot. It’s also very rocky in some parts and requires some large step ups over rocks, but nothing to difficult to manage. Because of all the lakes along the way there was a ton of mosquitos so make sure you have bug spray, but other than the heat and bugs it defiantly was well worth it to reach the final lake on the trail. You could see fish popping out of the water and it was fun for my dog to play in the water."
6,2019-05-29,['hiking'],One of my favorite hikes. Went last summer and the summer before that (both in August) I must be lucky as well since it's never been crowded when I've gone. There's always a few people camping and hiking but nothing crazy or too annoying the times I've gone. The cliff jumping is thrilling and so worth the hike. 
7,2018-08-28,['hiking'],"Camped elsewhere in the Unitas and hiked to Island Lake as a day hike. My boyfriend and I must have lucked out, the trail wasn't super crowed and there was only one other group at the lake when we got there. The lake is beautiful, we even went for a little dip, which was cold but definitely doable. 

The only negative thing I have to say has been said below, the people we did pass on the trail (mostly families/ boy scout troops) had absolutely ZERO trail etiquette. I love that more and more people are backpacking and hiking, but please teach your little ones that people traveling uphill have the right away. Barreling into me as your descending the trail... not cool."
8,2018-08-04,['hiking'],"Previous posts have said it all.  The trail is fairly easy.  Hiked it in an hour.  Overcrowded doesn’t begin to describe this lake.  One group had 30 in their gang and another had 45.  Add to that the small groups of 5-10 and there were at least 200 people this morning.  Those were just the campers.  Add to that the day hikers.  Unfortunately, the large groups don’t have any outdoor or trail etiquette and leave you wishing you were somewhere else.  One of the large groups was set up right at the cliffs, and wouldn’t make room for the rest to enjoy.  Gotta do it at least once, but know what awaits you and don’t be disappointed.  If it’s solitude and serenity you seek, turn left and go to Marjorie, Weir or Duck lake.  

The parking lot is ridiculous.  Too small. So many people that both sides of the road coming into the trailhead parking lot were lined with cars.   Unfortunately, the road is marked “no parking.”   The Forest Service wasn’t shy about leaving orange warning stickers on every single car.  If you don’t want one of those, get there early and avoid the weekends.  

Other than that, get out and go hiking!   You’ll have a great story to tell."
9,2018-07-30,['backpacking'],"Took me 15 years to get back to this lake and I was surprised by how many people where on the trail and at the lake. While I think this hiking/backpacking trip is fantastic, if you're looking for solitude might want to consider a different area. There was a lot of people on this one, cliff jumping was in full swing on Saturday and it was a little rough finding a good spot to camp for the night.  

For the trail itself I would say the moderate rating is pretty correct. The last half mile or so is a good solid climb and it did a number on me since this was the first trip of the season. When you get to the lake there is camp spots on the southwest side of the lake and then a few good spots on the north/northeast side of the lake."
