,Date,Tags,Comments
0,2019-08-20,['hiking'],"August 19, 2019

Jardine Juniper did not disappoint today. We started at 7 am to avoid as much heat as we could. It was 50 degrees. The first 2 miles are the steepest, so don’t give up! As you start switch backing, it gets easier and you are in shade a lot. At the top you can take the “scenic” route or the “shady” route. We opted for the shady route today. Follow the trail sign and you will head down to the tree for maybe 1/4 mile? Coming back up when tired was the hardest part for me. Heading down the trail is a trail runners dream. Stop at the small spring and cool off. You will quickly be heading into full sun for the final 2 miles. It was 90 degrees when we finished. It took us 5 hours (3 up, 2 down) with  about 30 minutes of resting along the way. This is a popular mountain biking trail. It’s narrow, with not a lot of visibility, so look out for each other. Great trail. "
1,2019-08-18,['hiking'],"Beautiful trail! I loved it! As a note for anyone going up, about 3 miles in you have a choice to go left or right (it meets together again not .5 miles later). The right is kind of blocked by rocks but goes into a BEAUTIFUL grass valley with Aspen, wildflowers, and some butterflies. the Left, I believe, is a newer trail because the dirt isnt as packed down. I took this going up, but was SO happy to find the other way coming down. "
2,2019-07-28,"['horseback riding', 'no shade', 'rocky']","We rode this trail on horseback today (July 28, 2019). It was a decent trail that we’d like to ride again in the fall because it was a little too exposed most of the way. We encountered about 10 mountain bikers who were all courteous by yielding to us on the trail. They were friendly too. We encountered about 3 groups of hikers.

There wasn’t much water, just a small creek crossing shortly after the trail begins (there’s a bridge for hikers and bikers) and a fair portion of the trail was on the side of the mountain. It is also quite rocky in most places. More importantly, there’s a small parking lot that can’t accommodate horse trailers. Park on the road before the parking lot and hope there aren’t any cars by the time you get back so you can use the parking lot to turn yourself around.

There were 3 of us and this ride took us 5 solid hours, which included two short 10-15 minute stops along the way. 

In all, a decent ride.but not one I’ll do again except maybe in the fall. Gorgeous views!"
3,2019-07-28,['hiking'],absolutely beautiful! 
4,2019-07-07,['hiking'],"Just gorgeous. This trail has it all: river, wildflowers, meadows, forest, shade and sun! Nice vault restroom at the trailhead is a bonus. Couldn’t have asked for a more beautiful hike. "
5,2019-07-01,['hiking'],super nice for horseback riding.  you have to back out of the road that goes to the trial so don't pull all the way up it.
6,2019-06-19,['hiking'],"I would recommend this trail.  My intentions were to hike up at Tony Grove but needed to change due to the snow.  This was my second option and it was a great trail.  It has streams, valleys, mountains and wonderful views.  This is a hidden gem of a hike, "
7,2019-06-16,['hiking'],No mud anymore. still a great trail. great veiws.
8,2019-06-01,['hiking'],"Beautiful morning! Not a lot of flowers in bloom yet, but it was nice not having the scorching heat. Started at about 7am."
9,2019-05-30,['hiking'],This trail is so pretty! I’ve done it a couple of times now and I just can’t get over some of these views! Watch out for snakes though I saw like four!
10,2019-05-28,"['hiking', 'muddy']",No snow anymore. But muddy. Very green and beautiful 
11,2019-04-20,"['hiking', 'muddy', 'snow']",Wonderful day! Made it short of one mile from the Juniper but snow pack was too deep. Enjoyable and we’ll be back again! A must to check off the locals bucket list!
12,2018-11-04,['mountain biking'],Very pretty trail. Mountain biked the loop in 2 hours including some very muddy sections that need to be walked.
13,2018-10-28,[''],very beautiful scenery all the way around. It is a moderate Trail. but it is beautiful
