,Date,Tags,Comments
0,2019-09-07,['hiking'],Awesome hike! Beautiful weather!!! leave early 
1,2019-09-07,['hiking'],"I would highly recommend going all the way to sunset peak. it's not that much further and you can see all three lakes from a really high point of view. I would say the hardest part of the height is that first part getting up the ski slopes alongside the chair lifts. The hike is well worth it, I also saw 3 moose along the way. I would recommend hiking poles. "
2,2019-09-05,"['hiking', 'bugs']",
3,2019-09-03,['hiking'],"Very busy; pretty wildflowers; stunning alpine lake views; highly recommend. Hiked Lakes Mary, Catherine, and Dog."
4,2019-09-02,['hiking'],Such a beautiful hike to view all 3 lakes. Plus Dog Lake.
5,2019-09-01,['hiking'],Great hike a Little rough in the beginning. But well worth it it’s beautiful at the top.
6,2019-08-29,['hiking'],Beautiful views! Lots of wildflowers. The lakes are gorgeous.  We went all the way up past 10k ft. past Lake Catherine. 
7,2019-08-29,['hiking'],"The most beautiful,  spectacular hike!!! The wildflowers and the lakes were out of this world!!! I am so glad I  was able to hike it!!! Truly it was amazing!"
8,2019-08-25,"['hiking', 'snow']",Awesome views and a well maintained trail
9,2019-08-25,['hiking'],"Go early, we only saw a few people on the trail on the way up. Basically had all 3 lakes to ourselves. "
10,2019-08-25,['hiking'],"Amazing trail! Did it yesterday (Saturday August 24) with my sister. We started around 11 and finished around 5:30, taking lots of breaks. We also extended to climb up Sunset Peak, which offers a beautiful panorama of the area and the lakes. The highlight was seeing a mother and baby moose playing/running around in Lake Catherine. Also, between us we encountered two mosquitoes total (we didn't use bug spray), contrary to the warnings of other reviews. May be late enough in the season that they aren't as much of an issue. Highly recommended!"
11,2019-08-25,['hiking'],took my wife.  took us 1hr20 minutes to Lake Catherine.  decent hike. no moose today.  started hike at Brighton at 5:10 and reached Lake Catherine at 6:30.  slow and  steady pace. had light dinner and made it back to car at 8pm. sun was setting over Catherine as we left. 
12,2019-08-25,['hiking'],"We did it early afternoon (Sunday, August 25). A lot of wildflowers. All three lakes are beautiful. Met three mosquitoes and a very friendly chipmunk. Highly recommended!"
13,2019-08-24,"['hiking', 'rocky']","great trail. steep in places and rocky, but that's to be expected. ;) it was a fairly busy trail toward the evening (I hiked on a Friday). people were camping at some Lake Martha. saw some moose and lots of wildflowers. beautiful day!"
14,2019-08-22,['hiking'],amazing trail in the morning. can get chilly with the wind and elevation. worth every step.
15,2019-08-21,"['hiking', 'bugs']",
16,2019-08-21,['hiking'],We started our hike at 8:30am. Only saw 4 other people the entire hike until we started descending past Lake Mary back to the car. At that point we saw about 20 other people just starting their hike. This was at 11:30am. Go early to avoid crowds. BE ON ALERT. Moose with baby spotted on the far side of Lake Catherine. She was laying down in a shaded area off trail and we did not see her until she stood up. We turned quickly and did not complete the loop. Wildflowers are just out of control beautiful!  The lakes are stunning. Bugs bad at Lake Catherine only.
17,2019-08-19,"['hiking', 'bugs']",
18,2019-08-18,['hiking'],"Very beautiful hike, so many flowers and three lakes. We extended the hike from Lake Catherine by climbing up a bit further to see Little Cottonwood Canyon. We also added a loop to the end adding a fourth lake to trip, Twin Lakes Reservoir. The whole trip took almost four hours with a lot of stops to take photos."
19,2019-08-18,['hiking'],Fun moderately easy hike. Lots of people on the weekend. Would recommend going during the week days. Getting to lake Mary is about 1.2 miles and then you can continue on to lake Catherine which I would definitely recommend. Not too difficult to get to lake Catherine and then you can keep going to peek some mountains if you want. Love this hike
20,2019-08-18,"['hiking', 'bugs', 'muddy', 'rocky']",
21,2019-08-18,['hiking'],"Beautiful hike. The trail is well maintained. The first half mile to a mile is fairly steep, but it gets easier after that. There are TONS of wildflowers. There are also tons of mosquitoes, so make sure to bring bug repellant. "
22,2019-08-18,['hiking'],"Hiked on 8/17/19

Visited this trail after visiting Lake Mary.  Lake Catherine was stunning!  Lots of beautiful blooming wildflowers as you work your way to the lake.  Do note that there’s a fork path and you can take the left path to get to the lake faster.  Me and my buddy followed the right path of the fork and it took us longer to get to the lake, but it was okay at least :)"
23,2019-08-17,['hiking'],columbine are blooming 8/17/19
24,2019-08-16,['hiking'],"Hiked on 5/13/19
First, a correction on All Trails “Getting there” advice which is dated and incorrect. When you get to the Brighton loop drive to the far end of the loop and park in front of the building that says Brighton Center on the front. The trailhead is to the right of the building and to the left of a bulletin board. The trail starts out as a fine gravel path between landscape ties, NOT a cedar chip path. 
This is indeed a beautiful hike for the most part. I give it four stars only because much of the first mile is walking up the slopes of a ski resort. The steepness isn’t the issue. It’s just, well, a ski slope.  
Hikers should know that last stretch up to Lake Mary is very rocky and wet. Beware of slipping on wet stones. 
Lake Mary is beautiful, but the best part of the hike is from Lake Mary and Lake Catherine. The trail was less steep and surrounded by wildflowers. Lake Catherine is a true gem. 
A last note. If traveling from Park City as we did take Marsac Ave to Guardsman Pass Rd. Quite a scenic drive, but keep your eyes on the road. You will understand why as you climb. "
