,Date,Tags,Comments
0,2019-08-26,['hiking'],"this is a beautiful trail. temperatures were in the high 50's to low 60's. nice breeze and amazing wildflowers. it's a fairly easy hike, but most is up hill.
once you have reached the lake, it's a wonderful to sit and relax. bring a lunch and watch the wildlife. Enjoyed watching a hawk fly over the lake. Not too many other hikers at 10 am.
"
1,2019-07-31,['hiking'],Awesome trail. Remember that you have to pay a fee for parking (i forgot)
2,2019-07-23,"['hiking', 'bugs']","Stopped at the peak, made it in under an hour. I’ve hiked to the lake from the other side and backpacked in there. We started about 7:30pm trying to beat the sun and we were at the top at the golden hour, for the sunset. Many mosquitos pretty much the entire way. No large wild life spotting. Gorgeous views from the top!!!"
3,2019-07-22,['hiking'],Awesome trail but a little optimistic to call this EASY. 
4,2019-07-22,['hiking'],This is a beautiful hike. It took us several hours. The first mile up was a little grindy for us flat landers. After that it was really fun with amazing views. Enjoy!
5,2019-07-21,"['hiking', 'bugs', 'muddy', 'snow']","For someone who doesn’t hike very much, this one was pretty easy. Took us about 3 hours roundtrip and the lake was beautiful! We went really early (7 AM) to avoid the crowds and left just as soon as it started to get too crowded. Be warned that there are a ton of mosquitos. Luckily there was still some snow and being that early, it was cool enough for us to wear jackets to avoid getting bitten. "
6,2019-07-17,['hiking'],I would only write 4 stars because I think it’s more fun to do from the Brighton side because you can hit multiple lakes and you don’t have to go down and back up. Still an amazing hike! Would reccomend. 
7,2019-07-07,"['hiking', 'closed']",The trail head does not Open until July 16th
8,2019-07-07,"['hiking', 'bugs', 'snow']",Grab tracking poles and proper shoes: a lot of snow. Also it's tricky to find the trail under the snow so make sure you have an offline map downloaded on your phone. The lake is frozen right now btw
9,2019-03-21,['hiking'],breathtaking views!
10,2018-10-07,[''],Very challenging hike. But worth the views!
11,2018-09-28,['hiking'],Absolutely beautiful hike. a little strenuous but worth the reward! I'll do this hike again for sure! #beaUTAHful
12,2018-09-18,[''],"Great hike, moderate hike with spectacular views the entire way. Really beautiful view of the lake. Next time we will bring 2 cars and hike on Thru to Brighton."
13,2018-09-17,[''],"Great hike, small amount of challenge and long enough that you feel accomplished at the end, but short enough that you can fit it into your day very easily.
Views are gorgeous, and it's high up enough that you feel removed from it all."
14,2018-09-16,[''],Hiked to all the sister lakes. Great hike and very beautiful.
15,2018-09-02,[''],Great hike! I did this one a few weeks ago and it was super easy and had beautiful views. We got there shortly after sunrise. Will definitely do this again and even take my kids with me next time.
16,2018-07-31,['hiking'],Beautiful wild flowers! And saw a badger right off the trail. 
17,2018-07-31,[''],There are a lot of badgers
18,2018-07-14,[''],"$6 to park or $10 per person to ride the lift to the trailhead. I was not thrilled with the fees, but the ride up the lift was beautiful. The hike itself was easy and the wildflowers are in full bloom. It’s a blanket  of colors right now! This is the perfect time to go as it’s so much cooler at the top than in the valley, and the views are magical."
19,2018-07-06,['hiking'],"Hiked this last night. Didn't love that they're charging $6 to get up to the end of the road, but the hike was great. First time for me on this trail. Not too steep, didn't take us too long to get up to the pass (somewhere between 60 and 90 minutes I think). The mosquitos were fairly annoying. Might be better in the morning or day time."
20,2018-07-06,['hiking'],"I would rate this trail as moderate. I hiked it 10 or 12 times last year and love it! The steps are rarely very treacherous, but I'd give a moderate rating because of (great) heart pumping if you're not stopping a lot, especially for my less-frequently hiking friends. The views are terrific, and this is my preferred, quieter alternative trail for wildflower season when the Albion Basin gets crazy busy. After the trail opens into a large meadow-like area, keep going for the final steep push. It's worth it! The only reason I rate 4 stars is because of construction noises happening Alta this year and last."
21,2018-07-05,['hiking'],Absolutely Beautiful!
22,2018-07-04,['hiking'],"Perfect way to spend the holiday. The road is open, the flowers are blooming, he chipmunks are... chipping? Munking? Anyway, wonderful hike!"
23,2018-06-26,[''],I went up to do this hike last week and the road to Albion basin was closed.  I wish someone would have mentioned that from the Alta side this hike until around July first is 4.4 miles longer for you have to hike the road 2.2 miles to the trailhead.  I ended up a few days later heading up from Brighton side and this hike is stunning.  Here is a 360 degree visual of the hike from the BRIGHTON side.  https://shaunasadventures.blogspot.com/2018/06/360-adventure-hike-to-lake-mary-martha.html?m=1
24,2018-06-23,[''],"The upper road to the trailhead will be closed until July 1 (at which time they will start charging for parking up there), so we started at Alta and took the Albion Meadows trail up to the trailhead. Wildflowers are just starting to bloom and the upper meadow just before the final rise to the crest is covered in yellow flowers. Elevation gains from the bottom were brutal, but worth it. From Alta it was 6 miles round trip."
25,2018-06-22,[''],Nice trail but summer road is closed due to construction so had to start from Alta base
26,2018-06-14,['hiking'],"We went hiking on this trail on Sunday (June 10), and most of the trail was clear except for a few snow patches. Still, it was walkable. Wildflowers are barely starting to grow. A nice and easy trail besides navigating a few tricky snow/muddy spots."
27,2018-05-31,['hiking'],Has anyone been up here recently? Is there still a lot of snow?
28,2018-05-24,[''],Beautiful and short hike
29,2017-10-15,['hiking'],The trail had 4-6 inches of new snow early this morning and had the trail to ourselves except for birds and deer.
30,2017-09-03,['hiking'],"Beautiful moderate hike. Bring lots of water. Start early if you want explore at the peak. Alos, I parked at the trailhead and was lucky-one spot left. It fills up fast."
31,2017-09-03,['backpacking'],Backpacked up here last night and spent the night. By the time I arrived it was dark and pretty rocky on the way down to Lake Catherine. The trail was well maintained and really nice and if you keep hiking past Lake Catherine you get amazing views of Lake Mary and Lake Martha.
32,2017-09-02,['backpacking'],We got to the trailhead at 4pm so we were lucky to get parking.  The trail itself is beautiful and well-maintained as well as uncrowded.  There is a pungent plant growing halfway thru.  We set up camp on the southwest corner of the lake along with several other groups.  The lake is like a bowl so it was an amphitheater when it came to noise but everyone seemed to notice that and were respectful although the young kids had a hard time remembering ;) Only saw 2 mosquitoes.  I really wanted to summit Sunrise Peak but my hubby said no so I'll have to come back another time just as a hiker.
33,2017-09-02,['hiking'],One of my favorite hikes this year!
34,2017-08-31,[''],Gorgeous!
35,2017-08-25,['hiking'],This is such a beautiful hike!! Saw lots of deer and a moose. We went pretty early and didn't come across anyone until we were almost done. So go early if you want to avoid people. (we started the hike at 6:30am on a friday)
