,Date,Tags,Comments
0,2019-09-03,['hiking'],"Beautiful hike, still very dry and hot up there, yet also still very green. Watched a hawk, deer, and many squirts cross my path today- awesome!"
1,2019-09-02,['hiking'],"Beautiful trail, not too steep, a long hike, but a gentle incline and such beautiful scenery! Saw two moose, the lake was stunning, there were lots of bikers on the trail but not too many to enjoy some time in the quiet of nature, and the bikers were polite. I can’t wait to do this one again."
2,2019-09-02,['hiking'],"What s beautiful trail! Saw three bull moose about 0.5 mile away from the split to dog lake, that was both concerning and exciting. They were roughly 30 yards off the trail, kept to themselves (thankfully). Many deer as well. Def going to return"
3,2019-09-02,['hiking'],I love this hike. It is beautiful the entire way up. The lake is so colorful. Enjoy!
4,2019-09-01,['hiking'],09/01/2019 -- Great hike! Not too steep. Just a little under 8 miles out and back. Took us 3 hr 15 min total excluding breaks.
5,2019-08-25,['hiking'],"Super pretty hike. From the lake, it's a short additional hike up to the peak, where there are spectacular views. I hiked a few more hours along the ridge towards Guardsman Pass - really beautiful. Lots of vegetation lower down, but no problem with bugs with bug spray on."
6,2019-08-12,['hiking'],"Good trail to build some endurance on. The lake isn't as spectacular as others, but it was a really nice solo morning hike. Car to car was 9:40-12:20. "
7,2019-08-11,['hiking'],"Always wanted to do this hike, finally finished! I likd that it isn't too steep but a longer trail. Started about 7:45am and nice and cool. Finished 11:45am."
8,2019-08-11,['hiking'],Trail in great condition. It’s a nice steady climb not too steep but a good workout.  Watch out for the mountain bikers and enjoy the view of the lake. Trail has a mix of sun and shade but in the heat went thru 2 liters of water. 
9,2019-08-10,"['hiking', 'bugs']",
10,2019-08-09,['hiking'],Hiked this trail back in June and there was still snow. Would love to give it another hike now that all the snow should be gone. 
11,2019-08-08,"['hiking', 'over grown']","Great hike today, perfect weather. I cant believe how full and lush the area is. Lots of wildflowers, some has died out but lots still in good shape. Especially a little bit above the lake. Trail was dry, no bugs, lots of deer. "
12,2019-08-02,['hiking'],"Backpacking this trail was a good challenge for my husband, 12 year old son and myself. The trail is sunny much of the way, and buggy where it runs along the stream but it’s totally worth it. Lake was beautiful, wildlflowers were beautiful, as was the ridge line we hiked up next day. Quite a few nice campsites, also a trail to a nice spring as you get close to the lake, maybe 3.5 miles in (before a steep wooded bit). One of my favorites in this canyon! "
13,2019-07-24,"['hiking', 'bugs']","Love this hike.  Bugs are a little thick so don’t leave the spray behind.  I learned the hard way.  Saw ourselves a cow moose and a couple o’ deer.  Trail is in great shape.  
Lots of bikers and they were all courteous. Thanks guys. "
14,2019-07-23,['hiking'],This is a nice and easy trail that usually has other hikers. The river is nice to wade in after a hot day of trekking.
15,2019-07-22,['hiking'],"Loved it. Feels great to leave road behind so quickly and immediately be surrounded by trees. The lower portion of the trail is heavily trafficked, but we’ve always had the lake practically to ourselves. "
16,2019-07-22,['hiking'],"I was pretty surprised by how much I liked this trail. I don't generally care for anything on the Olympus side of the canyon and I chose this one because I didn't have much time so I needed something fairly short and easy. Short and easy it is, but with enough variations in the trail grade and surrounding scenery to keep it interesting. The lake itself wasn't my favorite but I think this would be a great place for an overnighter by virtue of the low traffic and abundant meadows at the top."
17,2019-07-21,['backpacking'],"This is a great trail! Very scenic, sunny and shade and not too steep of an incline. It was warm the whole time. Dry, not muddy. Lots of water available for filtering along the way. At the lake there’s barely any snow left, except a small patch covering the far side of the lake."
18,2019-07-21,"['hiking', 'bugs']","i loved this hike, did it when it was snowy and just did it again! beautiful scenery, moderate traffic, a longer intermediate hike, and the lake was peaceful. did have some trouble getting around with a few moose first in a meadow where i waited to pass by and then they got into the lake as i was hiking around it. Can't fault wildlife for being themselves though, made it more of an adventure anyway. "
19,2019-07-20,['hiking'],"This is definitely, hands down my favorite hike. Done it a bunch of the years. Right now is especially beautiful. The wild flowers are amazing and there is SO MUCH GREEN!! You will not be disappointed. We camped up there last night and the bugs weren't bad. Definitely need bug spray though. This morning on the way out we saw 3 bull moose in a meadow near the lake. That was magical. I've never seen 3 moose together before!! "
20,2019-07-17,['hiking'],"4/5 if you just hike to the lake. However, it’s definitely a 5/5 if you take the extra mile and go up to the ridge line and some of the peaks. The view up there is tremendous!"
21,2019-07-16,['hiking'],Awesome hike! 
22,2019-07-15,"['hiking', 'bugs']","Went up for a quick overnighter Saturday evening. A few people on the trail asked us about camp spots up there. There are some nice spots with fire pits all around the lake. If you’re staying overnight, I’d recommend looking around a bit further away from the lake to avoid the bugs and get away from the crowds. The trail is beautiful so get up and get out there. "
23,2019-07-13,['hiking'],"Great trail. Beautiful scenery, wildflowers.  
Definitely worth the hike! "
24,2019-07-09,['hiking'],"Beautiful lake and a good hike. It’s uphill but the incline isn’t super steep and the scenery is great the whole way as you hike through groves of aspen. It was a nice, quiet destination, especially after battling the crowds to Lake Blanche. "
25,2019-07-08,[''],"Great hike. Very easy to follow trail. Beautiful scenery. It isn’t terribly steep, but it’s definitely uphill almost the entire way. I was pretty tired by the time I got to the lake. Coming back down was super easy, though. Not steep enough to be too hard on your knees. "
26,2019-07-06,['hiking'],The trail is now accessible all the way to the lake. The lake is about as full and as emerald green as it’s going to get. Perfect time to hike it. 
27,2019-07-04,['hiking'],"Easy hike without anything steep.  Went to Desolation, walked all the way around and had 100 yds. of snow on the back side of the lake.  No big deal to navigate.  
Took the trail to Dog Lake, went around and then back to the parking lot.  
Trail is in great shape.
Just get out and hike!!!!!"
28,2019-06-28,['hiking'],"Trail is in great shape below the first Dog Lake cutoff, above that there was a couple sections where the trail was muddy but not too badly, and two snow patches that were easily crossed. Watch for a baby and mother moose! "
29,2019-06-21,"['hiking', 'muddy', 'snow']",Trail was great for 90% of it. Decent amount of snow in some areas near the lake. Lake is still partially frozen. Keep hiking up Mill D North to Wasatch Crest and you get some of the most incredible views I’ve ever seen. Highly recommended! 
30,2019-06-19,"['hiking', 'muddy', 'off trail', 'snow']",hiked up to desolate and then dog. trail up was great.  snow makes the trail hard to follow the last quarter mile. we then hiked over to dog lake. the trail to it was nice but dog lake is meh compared to desolate. 
31,2019-06-17,[''],Great hike with some amazing views. 
32,2019-06-13,['hiking'],Great hike! 
33,2019-06-10,"['hiking', 'snow']",Really cool and medium hard :) Cool :)
34,2019-06-10,['hiking'],This trail was awesome and beautiful!  It wasn’t very steep so moderate is a good rating.  The last 0.3 mile was snow and was so pretty!  The lake is still covered in ice and gorgeous!  I can’t wait to do it again!
35,2019-06-08,"['hiking', 'snow']","Trail is in good shape but the last full about mile is snow covered (June 8, 2019).If you have good boots you'll be fine. We used spikes and it made life a lot easier.  Some sections of the trail a bit muddy. Overall a great hike as usual, just a little slow going on the snow. Bring your sunscreen, the reflection on the snow for the last bit burned my face pretty well. "
36,2019-06-01,"['hiking', 'snow']",One of my favorite. Ran into some fresh mountain lion or bear tracks about a quarter mile before the lake and turned around. Was getting rained on and had been trail blazing for a half mile. Good times!
37,2019-05-23,['hiking'],Love this trail. Snow starts pretty early in. Spikes could be useful but not necessary.
38,2019-05-18,['hiking'],"5.16.19– snow pack starts 1.4 miles in, used trail crampons and poles (helped) but still post holed and slid every now and then :). Only one other person on the trail in the evening, TONS of moose scat, rain and wind, sadly turned around a mile before the lake because a potential lightning storm was moving in. Safety third! "
39,2019-05-16,['hiking'],lots of snow as of 05/16/19. no bugs! :)
40,2019-05-08,"['hiking', 'muddy', 'snow']",Fun hike in the summer. Wouldn’t recommend it during May. A lot of snow about half way up right now.
41,2019-02-23,"['hiking', 'snow']",Only needed spikes until the turnoff. Lost the trail a few times. Had to trailblaze to get to the lake and ran out of steam about a 3/4 mile away. Next time!
42,2019-02-23,"['snowshoeing', 'snow']","We snowshoed this trail on 2/18 and got nearly 3 miles up it before the snow depth and our lack of skill forced us to turn back. The trail was only visible for a bit past the junction with the Dog Lake Trail, and then was completely covered  in snow the rest of the way, so I wouldn’t recommend it unless you are very good with a topo map/have GPS. We didn’t need snow shoes until the junction. It was still worth going up and absolutely beautiful. Only saw one other person after the junction. Great area to go exploring and get some real snow shoeing in since so many other trails are packed down. Saw a lot of moose on the lower part of the trail."
43,2019-01-20,['hiking'],"Could not get all the way without snowshoes around 2pm on 1/20. I got as far as the junction for Dog with micros.  Beyond that was frustrating post hole madness. Turned around about .25-.5 miles from the junction. 

But.  It's beautiful and everything before the junction was easy."
44,2019-01-02,[''],"Hiked this on New year's day and it was great! Lots of fresh snow, but still not hard to find the trail to the lake. The first half (until the fork to Dog Lake) we carried snowshoes because boots were enough, after that (while not entirely necessary, some people only had microspikes) we were glad to have the snowshoes, it certainly made the trek easier!"
