,Date,Tags,Comments
0,2019-09-02,['hiking'],"Pretty busy most of the time, but a great 2hr round trip hike. Not too strenuous once you get about halfway and totally worth it once you get to the lake!"
1,2019-09-02,['hiking'],Awesome hike!!! Beautiful wildflowers and stunning lakes. Lake Mary even had manicure fish that will nibble on your fingers! Trail is well maintained and I’d defined recommend it!
2,2019-09-02,['hiking'],"Easy hike, great views. Bugs were not bad with some bug spray. We did not see any wildlife other than chipmunks and gophers. Thankfully,  because the bear warnings are a little unnerving. Grabbed a burger at the base after. "
3,2019-09-01,"['hiking', 'bugs']","Didn’t seem moderate to us (two adult women and a 15 year old), maybe an easy moderate. The fish in Mary lake will exfoliate your feet if that’s your thing. It’s now ours. "
4,2019-08-26,[''],
5,2019-08-25,['hiking'],"Great trail. It was a real effort for out little ones, but well worth it. "
6,2019-08-24,['hiking'],kinda short but great view 
7,2019-08-24,['hiking'],Beautiful! Lots of bugs 
8,2019-08-24,['hiking'],"absolutely beautiful. :) rocky and steep in some places, but not too bad. did this as a loop with Twin Lakes, the 3 sister lakes, and Dog Lake. made for a great day hike."
9,2019-08-23,['hiking'],Fun easy hike. Great for kids
10,2019-08-19,['hiking'],Hardly any shade and way too crowded. Pretty wildflowers though!
11,2019-08-18,"['hiking', 'rocky']","Despite the rough ski slope at the beginning of the trail, Lake Mary was amazing!  Lots of good views and the lake itself was super nice and awesome. Me and my buddy came across several squirrels and chipmunks, which was awesome haha!  Lots of people were at the trail today (Saturday, August 17, 2019)! "
12,2019-08-15,['hiking'],"Well, this time, we didn’t hike all the way up. We saw a mama moose and little baby moose. So we just watched them for an hour"
13,2019-08-13,"['hiking', 'bugs', 'rocky']",
14,2019-08-10,['hiking'],Nice. Easy to moderate hike. a few wild flowers along the way. last couple hundred yards of the trail were wet. fairly popular today.
15,2019-08-07,['hiking'],"So beautiful!! My first ever hike, and the climb was well worth it!"
16,2019-08-02,"['hiking', 'bugs']",
17,2019-08-02,['hiking'],"Beautiful views. (a bit steep for a beginner hiker, but still doable.) a bit of rock climbing on part of the upper trail to the lake."
18,2019-07-31,"['hiking', 'bugs', 'rocky']","I love the hike to Lake Mary! There are so many beautiful views. There are a few steep spots (IMO) but a very short hike to a beautiful lake. There are some very rocky areas with some small water flow, so it makes the rocks slippery. For me, it made going back down a challenge. Also because there is so much water (and a good size spot of standing water), the mosquitoes were thick. We went during the evening hours to avoid the heat but in turn got swarmed with the mosquitoes. I would highly recommend going in late morning/afternoon to avoid the bugs."
19,2019-07-29,['hiking'],"The path is very wide at the bottom and kind of on a ski run. If you go past where the recording shows in All Trails, make sure to mark your path. I went to lake Catherine from the trail but then could not find my way back and ended up bush whacking and rock climbing around the perimeter of Lake Mary until I found the trail again. There is also a warning about an aggressive bear in the area. "
20,2019-07-29,"['hiking', 'bugs']",Saw a moose at Dog Lake in the distance. Nice hike especially in the morning. Small rock hopping over the stream near Lake Mary. Bring and wear bug spray!
21,2019-07-29,['hiking'],Great! 
22,2019-07-29,"['hiking', 'bugs']",Bring Bug spray and you will be fine. Took about an hour to hike up to Lake Mary and that was with several stops. The lake is gorgeous and totally worth the climb.
23,2019-07-28,['hiking'],Very good hiking trail
24,2019-07-26,['hiking'],Great trail
25,2019-07-24,['hiking'],Beautiful hike! But wear mosquito repellent! 
26,2019-07-21,"['hiking', 'bugs']","Great trial, you’re gonna want to douse yourself in mosquito spray tho, like no joke, you need like military grade mosquito spray, especially at the top near the lake"
27,2019-07-20,"['hiking', 'muddy']",
28,2019-07-20,['hiking'],Great family hike.
29,2019-07-17,['hiking'],This is one of my favorite trails. There are moose near the lakes frequently. The trail is pretty easy and it usually takes me just a couple hours round trip (and I’m a slow hiker). I would recommend going all the way up to lake Catherine. You could put a hammock up and hang out for a while. 
30,2019-07-16,['hiking'],"***HEADS UP-RECENT BEAR SIGHTING***
I saw a warning on social media and thought I’d share since no ones mentioned it yet. Bear sighting on this trail recently and there’s a warning posted on the board at the beginning of the hike. It was reported to have followed hikers at dusk. Take your bear spray. "
31,2019-07-15,"['hiking', 'scramble', 'snow']","Did this July 1st. Signs aren’t great, but we figured it out. Some scrambling. Some snow, but I did it in tennis shoes. If you hike up to the right of the dam, you can actually hike around the lake for a bit. Lake is gorgeous and still had chunks of ice. Many ground squirrels. "
32,2019-07-15,['hiking'],Stunning trail up to Lake Mary. We’ve hiked it 3x in the last month and seen the trail go from snow covered 1/2 way up to mostly clear now. My 4 yr old son loved it. Definitely worth a hike. We’re headed up there again today to see if my son can make it to Lake Martha 
33,2019-07-14,"['hiking', 'muddy', 'snow']","This trail is beautiful, but still has some snow. I took my snow spikes and was happy I did because the snowy spots were a little slippery. There’s mud too, BUT STILL SO BEAUTIFUL! Make sure you go to all three lakes. The most snow is on the way to Lake Catherine. 10/10 would hike again "
34,2019-07-13,['hiking'],"Once the snow melts and the flowers bloom this is a gorgeous hike. Until that point it can be kind of drab. So for example in 2019 we had snow longer than usual into the summer on this trail and it was sorta crappy until maybe the end of July. Good for kids, I took my 7 year old on this hike at 4, 5 and 6 without issues. "
35,2019-07-11,['hiking'],Did the hike on 7/11. I really struggled with shortness of breath and maybe feeling some effects of altitude sickness with headache and nausea. We hiked to Lake Martha and back and it was a total of 5 miles RT. It took us 3 1/2 hours with rest stops.
36,2019-07-10,['hiking'],"Once you accept that half trail is basically a neutered ski run, you may enjoy the hike. Lake Mary itself is a spectacular spot once you reach it. Trail is very busy. "
37,2019-07-08,"['hiking', 'muddy', 'snow']","There are still spots of snow and mud on the trail, but it isn’t too bad. The views of the lake are beautiful and if you go Wednesday through Sunday you can grab a burger and a beer at the patio at the base of the trail. @journeysandgrub"
38,2019-07-07,['hiking'],Great hike. The first 20 mins are the worst. 
39,2019-07-07,"['hiking', 'muddy', 'snow']",Absolutely gorgeous! 
40,2019-07-06,"['hiking', 'rocky', 'snow']","The trailhead actually has a very large rock at the entrance which makes it look like it's not the entrance, but it is. It's paved in gravel for the first few feet. Mostly well kept otherwise. Only a little bit of snow and not too muddy at all. At the end, you will need to scramble a bit over river rocks so your expect that your shoes might get wet. We went on July 5 at 8am and it was cool clear sunny dry weather, starting the day around 60 degrees and ending around 73. 50% shade up and down. "
41,2019-07-04,['hiking'],"Did this hike today - loved it! There is still quite a bit of snow, and some muddy areas.  I was a little confused about where the trailhead was, but following the map on this app kept us going in the right direction. "
42,2019-06-30,"['hiking', 'snow']","This is a pretty easy trail but many parts are still covered with six to seven inches of snow. Other parts are muddy because of the snow melt. My wife and kids all made it in tennis shoes, though they slid and slipped on the snow a few times."
43,2019-06-29,['hiking'],"still a fair amount of snow, but nothing good shoes, poles or spikes can't remedy."
44,2019-06-29,"['hiking', 'snow']",Beautiful views! Prepare to walk in snow and mud as there is still a good amount on the trail. We wanted to do the look and check out Twin Lakes but too much snow on that trail so turned around. 
45,2019-06-27,"['hiking', 'snow']","Great trail, still covered in snow with some deeper areas and steep spots easy to slip on. Great view of the partially frozen lake!!"
46,2019-06-27,['hiking'],"I hiked this a couple of days ago and there was snow everywhere. It was amazing! Once you made it to the top, it could not have a better view!"
47,2019-06-15,"['snowshoeing', 'snow']",6/15/19  a bit snowy. 2-3ft most places. lake partially frozen. 
48,2019-06-11,['hiking'],A beautiful hike. Great views of Brighton and a quick glimpse at Lake Mary. Mosquitos are legit but bug spray will save the day!
49,2019-05-18,['backpacking'],
50,2019-05-15,['hiking'],Not recommended in May when there’s still snow pact. Made for a very difficult hike. The lake was still frozen.
51,2019-05-06,"['hiking', 'snow']",
52,2018-12-17,['snowshoeing'],"Not the hike we expected. ""Best used"" through October is more than a suggestion. Once Brighton resort is open for the season, hikers need to take the ""uphill route"" on Milly Access / Lost Maid and then exit the Wren Hollow gate to out of bounds. We looped around Dog Lake and made it up to the overlook of Lake Mary. Didn't have any backcountry gear/beacons and definitely would have wanted them if we were to go any farther towards Lake Catherine."
53,2018-11-14,[''],"I got plastered by artificial snow makers trying to find the trailhead by the Brighton Ski resort, but once found it was a great hike! It was fairly quick, even with the snowfall on the ground. I loved skipping rocks on the frozen lake and hearing those cool Star Wars noises."
54,2018-11-09,['hiking'],"Did this trail yesterday, it hard to follow the trail with the recent snowfall and quite slippery due to icy areas, but worth the challenge and inspiration for capturing both visually and mentally the solitude of this area. Simply beautiful."
55,2018-11-04,['hiking'],"Great hike, really beautiful.  3-6 inches of snow and lightly snowing all day.  Well worth the uphill climb."
56,2018-10-21,[''],"Nice hike and surprised to find it completely snow covered in late October. The snow made it even more fun, and the trail was still easy to follow."
57,2018-10-14,['hiking'],Hiked this on Thursday. Great quick hike after work around sunset.
58,2018-10-13,['hiking'],"Moderate climb to get to Lake Mary, but well worth it. We did this about 3 weeks ago when the colors were turning and it was absolutely breathtaking. If you have the time, hike around to the backside of the lake which is less crowded - you can keep going on <0.5 miles more and you will hit the second lake. Beautiful hike, though tends to be popular and a little overcrowded at peak times."
59,2018-10-11,['hiking'],"Super easy, but well worth it. Just a fun hike."
60,2018-10-06,['hiking'],Breathtaking! Fortunate to hike this right after the first snowfall of the season. Pretty fabulous for low landers from the Tampa Bay Area!
61,2018-09-16,[''],Great hike. Beautiful relaxing spot when you get to Lake Mary.
62,2018-09-14,[''],Beautiful stop on the way to lake Catherine.
63,2018-09-12,[''],"Pretty steep until you get to the first lake, but it’s worth it!"
64,2018-09-03,[''],The getting to is HARD! It was really steep for a lot of the time up but the destination made it worth it. Lake Mary is very beautiful.
65,2018-09-02,[''],My favorite hike. I’ve hiked much harder trails and much easier trails but for some reason I keep coming back to this one when I think about my favorite one. My kids and I hike it at least twice a Summer. It is an extremely beautiful lake. Amazing wildflowers and lots of chipmunks and squirrels. We saw a marmot up there once as well. We eat lunch by the lake and let the kids good off and are always back before lunch.
66,2018-09-01,[''],Epic
67,2018-08-27,[''],incredible views.
68,2018-08-21,['hiking'],love the fact that you can be in such a crowded place and find such solitude within just a few minutes of hiking. fish were small (5 inches or so) but this hike and lake Catherine just above it were phenomenal. I'd love to go back again when there aren't so many people on the trail tho. I had to stop quite a few times to let big groups pass by and it was just myself. great hike tho and some very beautiful scenery.
69,2018-08-19,['hiking'],"Decided to do this hike with my two boys (8 and 10) after camping at the Spruces the night before.  The boys complained about the incline going up from Brighton, but overall it really wasn't bad and was a great hike that I knew my boys could survive."
70,2018-08-19,['hiking'],
71,2018-08-17,[''],great hike a little difficult for a beginner like me had to stop quite a bit to catch my breath and i also forgot the bug spray if you hike this Trail you're definitely going to need bug spray for all the mosquitoes... But once we reach the lake it was all worth it so beautiful up there
72,2018-08-17,[''],"Gorgeous water, beautiful wildflowers!"
73,2018-08-14,['hiking'],"Saw 5 different moose, a porcupine, and lots of deer! We started at the trail head at 530 AM ! Got to the top around 630 AM and watched the sunrise ! This is my favorite hike ever! So beautiful! Accurately labeled moderate! "
74,2018-08-13,['bird watching'],"We hit the trail around 8:45am and saw a smattering of people now and then. This has lovely views on the climb, with lots of wild flowers and the lake is peaceful when loud talking people are not there. Why do people talk so loud? On the way down we stopped at Dog Lake which is small and more peaceful. We spotted a moose couple near the end of the hike which made our day; we couldn't miss them they crossed the trail."
75,2018-08-12,['nature trips'],Gorgeous. Loved every minute! It was a great day for hiking too!
76,2018-08-12,[''],"Steep for beginners like me, but gorgeous. Lovely lake! Please be courteous and remember that swimming is not permitted."
77,2018-08-11,['hiking'],It’s really pretty worth the hike ...the only problem today was all that SMOKE !
78,2018-08-10,['hiking'],"I wish we had gotten to the trail earlier in the morning!  It was about 10am when we started, and the sun really beats down on the first section, making 67 degrees feel like 85.  Plus, there were quite a few people on the trail.  But the trail is beautiful and Lake Mary is gorgeous.  And since it’s so big and many hikers continue to Lake Martha and Lake Catherine, it felt like we had the place to ourselves.  I know people love Cecret Lake at the top of Lil’ Cottonwood Canyon (I do in too when the wildflowers are in full bloom), but this lake it WAY prettier.  Can’t wait to go back and do Martha and Catherine too next time!  My kids (15,12,10,8) enjoyed this one too, though they didn’t like all the people on the trail.  I can’t figure out where they got their disdain for crowds...oh, wait..."
79,2018-08-10,[''],"We saw a moose!  We also saw deer, pika, and chipmunks.  When you get to the lake head left and go over the boulder and then head away from lake. There is another hidden lake and that’s where the moose are."
80,2018-08-09,['hiking'],"Went after lunch, not too crowded, lovely waterfalls and rock formations along the way with the reward of beautiful Lake Mary. Highly recommend."
81,2018-08-03,['hiking'],Most beautiful trail.  Definitely a favorite.
82,2018-07-30,[''],Gorgeous. One of my absolute favorites! Be sure to explore the side trails!!
83,2018-07-29,['hiking'],First part of trail up the ski run is the toughest. After that less steep and shade
84,2018-07-29,['hiking'],Great family hike with my 12 and 15 yr olds.   Lots of places to sit and have a break at the lake.  Will do this hike again!
85,2018-07-27,['hiking'],"Perfect kid hike. Go during the week and you can avoid a lot of the crowds. Bring bug spray. If you want a little more challenge, head to Martha and Catherine."
