,Date,Tags,Comments
0,2018-12-24,[''],"This area was severely burned in the September 2018 Bald Mountain fire. The trail has been closed since September. From Nebo Loop road in December the entire south mountainside of Mt Loafer appears decimated by fire. Hardly any vegetation left. I'm sure views are amazing from on top, but the trail is not going to be as scenic along the way."
1,2018-08-14,['hiking'],"July 24, 2018. This hike deserves the 'hard' rating. It's long and steep, but does have unique and beautiful views down onto the Payson Lakes area, Mt Nebo, and towards Mt. Pleasant/Moroni valley. It's well marked and clearly used by others. Some moderate overgrowth of trees/shrubs onto the trail through some of the lower areas. Moderate inclines for first couple miles with decent shade cover. Then you hit a grueling incline over dusty and gravely/shale trail while fully exposed to the west (afternoon sun) for about 1 to 1.5 miles. I started this hike at 11am and regretted not getting an earlier/cooler hike. Both up and down were very exposed to sun for most of the hike beyond the first couple miles. You'll reach the first ridge in a saddle atop the mountain and have partial views down into Utah Valley. From this point there's still a few miles to reach Loafer Mtn or Santaquin Peak. That really steep portion to this saddle is followed by long moderate inclines across scenic grass covered alpine meadows/slopes, then further up into a very pretty alpine forest just below Loafer Mtn's peak where you can see views down towards Spanish Fork canyon. Then there's about one more mile across open rocky trail to the top of Santaquin Peak. Hard to keep good footing on the way back down the really steep west-facing slope. I was just over 11 miles out & back - and was completely spent. I consider myself in average shape and was exhausted by the time I got back, but do attribute some of that to the late start and hiking throughout the afternoon heat.  Except right near the trail head there's no streams or springs so come prepared with lots of water. I had used all of my 64oz hydration pack by the time I got back to the trail head. Although it has beautiful views I think it will be a 'been there, done that' trail. I don't know that I'll plan to hike it again soon."
2,2018-07-28,['hiking'],"This is one of my favorite hikes, if you live in the area it’s especially fun to be able to see all the way into Nephi, Utah county Payson Lakes and even into Birdseye and Fairview. The hike is beautiful the whole way and you’re almost always in shade unless you get to an area that opens into a beautiful view. I’d highly recommend this, even to people who aren’t experienced hikers, it would be challenging but do-able."
3,2018-07-08,[''],"This was a tough trail. I’ve done it twice. Not recently. It was harder than Spanish Fork Peak, Y Mountain, Squaw, but not as tough as Timp."
4,2018-06-20,['trail running'],"Decent trail. Hiked up to run down. Great views and lots of deer. Big fat porcupine strolling down the trail too! Very glad I read a few reviews first so I would know where to TURN! The first option about a mile in is obvious (don’t go through the fence) but the next option less than a quarter mile later isn’t so obvious and isn’t marked (at least not in the middle of June ‘18): stay RIGHT when the trail comes to a ‘T’ here. There is an old faded sign, and It actually looks like you would want to go left, but the Loafer trail will be on your RIGHT. It will begin to get steep about 2-3 miles in; this will continue for most of the remainder. Nice hike though. Still a little snow in June. Mailbox and flagpole at the top! My Garmin GPS clocked it 12 miles round trip."
5,2018-06-18,['hiking'],My dog and I did this on Saturday and it was absolutely beautiful! We walk pretty quickly and completed this in a little under 6 hours. A lot of exposure (I got pretty sun burnt) but also some beautiful wooded sections for the first couple miles and then about a mile from the summit. Wildflowers were incredible this time of year!
6,2017-09-08,[''],"Always one of my absolute favorite hikes! Not the easiest but certainly doable, even for inexperienced hikers. Well with it too."
7,2017-09-01,[''],the last 2 miles was scary with a 6 and 8 year old but they did it
8,2017-07-07,[''],Has two or three step sections the rest is really flat.  Beautiful flowers when you are above the tree line.  It took us 7 hours to complete with a 30 minute break at the top
9,2017-07-04,[''],Very scenic and beautiful! It is a difficult hike but most anyone could do it if they work up to it and are in decent shape. Bring lots of water!
10,2017-07-03,[''],steep!! but gorgeous!
11,2017-06-19,[''],"Beautiful fun hike, but we were unable to reach the summit. At mile 5.25 we encountered a snow drift that covered the trail. We tried crossing but decided it would be too dangerous to do without the proper equipment. We are excited to try this hike again when the snow melts."
12,2016-10-09,[''],"I enjoyed the views. I hiked up the trail, and ran down. I will definitely do this one again."
13,2016-08-21,['hiking'],Fun hike with some good views. Took me about 3.5 hours round trip. Pretty flat till the peak.
14,2016-08-11,['hiking'],"This hike is difficult in a few areas, one had an increase in elevation over a mile long, then the rest was quite manageable. There is a great view of South Utah county along the way, and again at the top. Take plenty of water!!  I carried a 72 oz. water jug plus my insulated camelback. I had some water left over. The hike downhill was almost as difficult as going up. I only shaved off 15 minutes on the descent. The entire hike took me 6 hrs and 20 minutes.  There are lots of wildflowers along the route but no wildlife other than a horny toad.  I didn't see a single person going up or coming down."
15,2016-07-18,[''],"A bit overgrown in the early parts of the trail. Very steep in places, overall a great trail!"
