,Date,Tags,Comments
0,2019-09-01,"['hiking', 'bugs', 'no shade']","Not much fun today and I’d say this is moderate/hard, not easy. Loose gravel and rock makes ascent and descent tricky. Lots of bees in early September. I would not recommend for novices. The waterfalls are nice but not much of a payoff.  "
1,2019-09-01,['hiking'],"1. Leave early - no shade on the hike.
2. Not moderate - trail gets quite difficult, and slick.
Not a bad trail overall, but I wouldn’t do it a 2nd time."
2,2019-08-27,"['hiking', 'over grown', 'rocky', 'scramble']",Walked along a fence in the beginning of the trail. it was mostly Up hill. Wasn't much of signs for the trail. But I figured it out. At one point you have to cross the steam and you see a small cave you go up on the came side and continue up and you will see the waterfall. I was going to go back down before seeing the falls but then I saw some water coming of some grassy rock ahead I walked to it and then saw the waterfall ahead. it was beautiful. some areas you have to scramble up and a lot of loose rock areas. but its a great hike.
3,2019-08-23,"['hiking', 'off trail', 'over grown', 'rocky']",Fairly easy going up until the creek. After that the trail  an be pretty hard to find at times and gets fairly uneasy at times. Definitely worth getting to the falls at the very end. Probably my favorite hike so far.
4,2019-08-18,"['hiking', 'rocky', 'scramble']","the trail map is very helpful to find the trailhead; it is otherwise pretty hidden. The first 3rd of the trail is very steep and exposed to sun, not much to look at, but the remainder is very enjoyable. Shoes may get wet. We came across two rattlesnakes on the trail. good payoff for an initially tougher trail. "
5,2019-08-17,"['hiking', 'scramble']","What a gem! Great short workout. So glad I chose this trail! Once past the first mile of road-like trails, it starts to follow the creek up the canyon and it is amazing! The creek drowns out the traffic noise and I had the entire trail to myself! Took me 90 minutes and I spent lots of time scrambling around the falls. Will be back to do more hiking around the creek and falls!"
6,2019-08-16,"['hiking', 'no shade', 'rocky']","It is steep but doable. No shade for the most part. Once you reach the water, the trail is rocky and narrow the rest of the way up. However, even my three year old completed it by himself. I did have to lift him and my dog over a few bigger boulders/logs. It was definitely worth it, very gorgeous once you’re near the creek! And a cool view of Bridal Veil Falls! "
7,2019-08-09,['hiking'],Straight up a utility road pretty much. The lack of crowds and an awesome ending is the only thing this trail’s got going for it.
8,2019-08-07,['hiking'],"I took a dozen Boy Scouts up to the falls. We found a cool little cave that they loved. They loved hiking along the river the whole time. This hike gave them a little challenge, but not dangerous at all. The view up and back is gorgeous because you can look at Bridal Veil and the sunset the whole time. "
9,2019-08-06,['hiking'],Really enjoyed this hike. Went at about 9 AM and it wasn't too hot. It's worth noting there is no shade so wear a hat. As for getting to the falls we had to cross the stream a couple of times and was a little tricky. Loved feeling the mist climbing up to the top. Hidden little gem. 
10,2019-08-05,['hiking'],I don’t know what I was thinking choosing this trail. The first bit has you following a chain link fence—quaint. Then you travel through an overgrown trail and wade through tall grasses and weeds. Then you make it to a rocky trail that looks like it is for utility trucks. All the while it is full sun and it’s not high enough into the mountains to provide a cooler temp. I made it about 0.5 miles then made it to a 0.5 mile stretch where I could see the entire uphill climb. It was still full sun and no scenery (other than across the road where I should have chosen to hike....  so I turned around. I can’t speak to the falls at the end but can’t imagine it would be worth it.
11,2019-08-02,['hiking'],"This trail is crazy steep but the view is amazing! Took me about 2.5 hours to go up and back, including the time I spent exploring and taking pictures at the top. My dogs also loved it! Plenty of water to cool them down on the trail! 
"
12,2019-08-01,"['hiking', 'muddy', 'over grown', 'scramble']","Such a fun and rewarding hike. The canyon is very... cozy. Quite narrow so you cross the creek a few times. Beautiful waterfall at the top and great view of bridal veil. The first stretch of the trail has very little shade and is quite steep. Trekking poles were helpful for that portion. Lots of vines on the trail though that kept snagging my feet and poles. Nice and short, worth the climb."
13,2019-07-30,['hiking'],"Really enjoyed this hike. It’s pretty steep but not long, so it’s very doable. The trail isn’t the easiest to follow, I relied on AllTrails a lot. It follows the river all the way up, the falls are pretty and it’s very secluded, which was surreal. Nice little area to explore, saw lots of slugs."
14,2019-07-29,['hiking'],"Great hike, but a consistently steep climb. If you park at the end of the pipeline road directly across the highway from the Bridal Veil Falls viewpoint, you'll save a half mile and 100 feet vertical each way."
15,2019-07-25,"['hiking', 'no shade', 'rocky', 'scramble']","I hiked this with my husband, 11 yr old daughter and two dogs. This trail is a little difficult to find but so worth it. Park in the north Nunns Park parking lot and head east. When you see the cement shack, that is the starting point. It’s pretty much straight up on a rocky trail until the creek starts. Bridal veil falls is across the street and directly behind you as you hike. Once you hit the creek you continue the climb to the falls. Plan on getting your shoes wet because you cross the creek multiple times. Cooling off at the falls was so refreshing and made the hike down great. It’s beautiful and so peaceful at the top. Lots of areas to sit and eat lunch. There isn’t a lot of shade and this is best done earlier in the morning or on a a cooler day. We only saw three people the entire time. "
16,2019-07-23,[''],"Not sure why this isn't rated higher. Its an oasis up by the falls and not a single soul on a weekend. The ""trail"" can even continue after the main falls to more falls. "
17,2019-07-23,['hiking'],I uploaded a pic to show a beautiful creek we saw on our hike. The trail was kinda confusing though and we had to stop partway through because we got lost. Will go again and wear swimsuits so we can get wet!
18,2019-07-12,"['hiking', 'no shade', 'rocky']","beautiful trail; did it twice in June. we got chased out by a storm the first time. wildflowers were beautiful, and there was a lot of water. not much shade, but when you get by the water, the temperature drops. it's worth going past the log jam up to the falls themselves, so make sure you keep going! :) and bring some water. "
19,2019-07-08,"['hiking', 'blowdown']","Steep unremarkable road for the first mile, the remainder of the trail is fun, many stream crossings and slide debris. The view at the top back towards bridal veil is worth the effort."
20,2019-07-04,"['hiking', 'off trail', 'rocky', 'scramble']","Took four of my kids on this hike (all under 8). They were able to make it to the river and then roughed it about a 10th of a mile more. We didn’t make it to the waterfall, but did manage to get to a cliff that had a little waterfall and some mist. It was a fun place to stop and get wet.

I will just be re-stating what other reviewers have said, but know that the mile to the river is ver y steep and unrelenting. Once at the river there is no trail and no easy way to hike. You will be crossing the river and scrambling over the rocks the entire way. You will also need to study the map before going or follow it in this app because which trail to take is not well marked.

"
21,2019-06-30,"['hiking', 'rocky', 'scramble']",The other reviews I read were pretty accurate.   Having this app open while hiking will help you stay on track.  Once you turn up hill the way is clear but the path gets a little challenging.   We were hiking with our dog.  With about .25 miles to go it gets very technical and you cross the stream more than once.  Be ready to get your feet wet!  Last stage is not dog or wife with less than sure footing friendly!!!  They stayed back.  View at the top is rewarding!  Great trail for the adventurous because you kind of forge your own path at the end.  Would love to do this hike again!
22,2019-06-30,"['hiking', 'rocky']","We went in the evening and the trail was perfectly shaded all the way up! The last part is for adventurous hikers as you need to cross the stream a few times and there is not a clearly marked trail, but the views are so worth it! "
23,2019-06-29,"['hiking', 'no shade']",This trail was not clearly marked. It seems like you are just walking on an abandoned road or that your trespassing for the first while and the avalanches must have gotten rid of the trail just you just walk along the stream but the creek is beautiful and the view of Battle Creek is awesome too. 
24,2019-06-25,"['hiking', 'bugs', 'rocky', 'scramble', 'washed out']",This trail provides beautiful scenery and the last quarter is the challenge due to the frequent avalanches that occur during the winter. The first 3/4 of this trail is intact and is moderate but the last quarter is hard and you must Improvise and Chris across the creek at several points. I had a great time and you get a nice cold drink anytime you want it in the spring during the snowmelt.
25,2019-06-23,"['hiking', 'rocky', 'scramble']",Easy going on a wide trail much of the way to the canyon mouth though steep at times. The best views open into the canyon along the stream and as you view Bridal Veil Falls behind you. Hiking stream-side is slower and technical but worth it all the way to the falls. Worth seeing again!
26,2019-06-22,"['hiking', 'scramble']","Following the map here on All Trails gets you easily to the trailhead (don't use google maps). So fun once you get in by the creek, and it cools down in there, too! Perfect hike for adventurers!"
27,2019-06-14,['hiking'],"First part of the trail is nothing special, but once you get to the creek it is beautiful. Just follow the creek up and you will make it to the falls. We crossed back and forth a few times. A trekking or ski pole was great when crossing the creek. "
28,2019-06-09,"['hiking', 'scramble']",
29,2019-06-02,[''],"This is a relatively steep trail. families with kids were walking up, but we were quite winded. We didn't make it to the top. The trail is where out. it is gorgeous and we want to go again. 
Be careful if you enter the trail at Nunn's Park because we turned the wrong way. "
30,2019-05-26,"['hiking', 'rocky', 'scramble', 'snow']",the falls are gushing right now
31,2019-05-25,"['hiking', 'scramble', 'washed out']",Hiked on 05/25/2019. Avalanche has washed out most of this trail. We got to the creek crossing and due to the trail being washed out we weren’t able to get much farther. Could see the falls in the distance about 0.5 miles up. The avalanche has melted and taken the trail with it.  Sad to see that the trail isn’t what it used to be but that’s nature’s way I suppose. There are still gorgeous views of bridal veil falls from the top of the trail near the creek. NOTE: The trail markings on AllTrails map are not accurate. There are no falls along the trail that branches right after the creek crossing. 
