,Date,Tags,Comments
0,2019-08-17,['hiking'],"Crazy hard, straight up and then straight down.  it is NOT just 4.5 miles though.  More like 6.5.  However if you’re up to it, the hike was amazing and the view at the top is beautiful."
1,2019-06-27,['hiking'],"I saw 2 rattlesnakes hiking this trail.  So wear your snake gaiters.  There are also warning signs for snakes.  Keep a lookout for snakes.  I saw one on the trail and one on the rocks.   Both could have bitten me if I did not see them.  It is very steep and slippery.  It is like hiking on marbles on the way down.  lots of loose rocks.  Pretty dangerous  I would say.
"
2,2019-06-16,['hiking'],"I came down this trail today and the trail is just not in good shape.  It's mostly strait up the ridge on loose shale and dirt so it's very easy to fall.  With that being the case the going is very slow and it is hard to enjoy the view  because so much attention is required for placing every step.  I slid down several times, but luckily never fell completely.  I also lost the trail a few times and had to find it again.  That said the view is amazing.  In many spots you can see down into American Fork canyon as well as down into the valley toward Utah lake.  For most of the way it is grasses, sage, and a few junipers.  near the top there are a few conifer stands.  I saw a deer, a golden eagle, a red tail hawk, a turkey vulture, two snakes, one was a small rattle snake, and I heard a phesant calling, but didn't see it.  There was no snow on the trail today.  I'd say if you are careful, it's worth doing once."
3,2019-05-30,"['hiking', 'private property', 'rocky', 'scramble']","We went on this hike cuz we wanted a workout.   It is a workout.  It's just straight up.  Chances are you will be out of breath and your calves will be burning very quickly.

Here's how you get to this trail:  Look for a ""no tresspassing"" side on the side of the road with what looks to be a dirt road that could accomodate a car leading up.  Ignore the sign and follow that up. You'll come to a dillapated golf cart track.  Follow that up til you reach the actual golf cart track and then follow it around.  Leading off the golf cart track there will be a small trail leading up.  There were some folks golf and we ignored them and they ignored us.  If you don't want people walking on your golf course, don't build it in front of a hiking trail

Anyways, from there it's just straight up.  We took some detours and did some easy rock climbing.  Unfortunately I did not go all the way up because it was getting dark and my associates wanted to turn back.  Fun trail tho.   Very physically taxing."
4,2018-11-04,[''],Absolute murder - take your time on descent as some parts are loose. Very rewarding little peak.
5,2018-10-15,['hiking'],
6,2018-06-06,[''],"I like this hike for so many reasons. I love the steepness of the trail. I love the peace and quiet that you'll find because not many people are hiking this trail,  and there are spectacular views to see the whole time you are hiking it. It gives you a really good workout  because this hike is very challenging, and I would definitely not bring a beginner on it. Wear good hiking shoes that have traction. I found that it really wasn't that hard to get up the steep slopes if you're wearing the right shoes. Make sure you have plenty of time to get down the mountain because you will need to go slower, due to the loose gravel and rock. The slope is pretty steep and it can be hard on your knees, but if you hike slowly, you should have no problem."
7,2018-05-26,['hiking'],"Parked right next to the 5 mile marker. The only way in is to trespass a bit on the golf course. This hike was very dificult on my knees. There are some ledges at some point, but they can mostly be avoided."
8,2018-05-18,['hiking'],"well, I promised myself I wouldn't do it again, but decided that not only I'd do the north peak, but I'd work my way over to the tallest summit of the mountain.  It was 3.1 miles to the north peak from the golf course..I then worked my way over to Mt. Mahogany summit of 9,000..I live beneath it and just wanted to stand up there once..worked my way down from there through the brush and trees and deer trails the best I could and finally made it to Timpanogos Cove Park (wife had to pick me up, feet were dead).  Total distance 7.5 miles, total elevation gain 5,545 feet...coming down was pretty brutal, blisters, even with poles, but glad the dog and I did it..will download pics this week.."
9,2018-05-17,['trail running'],Quite an elevation gain over a short distance. A tough dig especially the last half mile to the top. Incredible views of the valley and time. A new favorite for sure.
10,2018-03-30,[''],"The most accessible way to the trail is by trespassing on golf course land. I couldn't find a better way to get on. The trail is very steep, and loose. The good views don't start for a while, but once you get to almost the top the trail is cool. If you are running it, be prepared for some wrecked thighs."
