,Date,Tags,Comments
0,2019-09-03,['hiking'],I did this hike for the first time yesterday with my 4 yr old grandson. He has hiked the Waterfall Canyon trail twice and Indian Trail with me. We only hiked 2.4 miles in and back for a total 4.8 miles yesterday. He kept asking if we could just go a little farther. 
1,2019-08-22,['hiking'],"I hiked this with my 3-year-old, two 4-year-old, a one-year-old and three other adults. We hiked 1 mile in, and as other reviewers stated, this part of the trail was moderate, not hard. Other than the beginning of the trail, it was shaded and followed along side a creek, although it was mostly dry. This may be fun to do earlier in the summer when there is water in the creek still. We took the advice of others and wore bug spray. I definitely saw more bugs the higher we got up the trail. They mostly didn't bother me.

Be aware the there are many, many side trails. We definitely would have gotten lost if I hadn't been watching the AllTrails app to make sure we stayed on course.

 It was an interesting hike for the little boys and had beautiful plant life and scenery. We would love to do this one again."
2,2019-08-09,['hiking'],It was excellent!
3,2019-08-05,['hiking'],"If you’re looking for a incline trail and shade, this is the trail. There is a creek at the bottom, but nothing as you start to climb so bring water. Bring a snack and enjoy the beautiful views at the top! "
4,2019-08-03,['hiking'],Very uphill. Rocky. Not my jam. Views of Ogden from the top are pretty awesome. 
5,2019-08-03,"['hiking', 'bugs', 'scramble']","This trail was quite difficult for me as a beginner, but well worth it. The trail was mostly shaded which was nice on a 90 degree day... The temps were even lower the more you gained in elevation. We took the route that passes Kristin’s Spring, which is why I marked this trail as having a scramble. To get to the spring (which I highly recommend), you have to scramble up about 50 yards of shale/sand. You can take a break at the spring and fill up your water bottles. It tastes amazing! We reached the top after about 2 hours (because I like to take breaks and also because we located some delicious mountain strawberries). Also, there are bugs. By bugs, I mean wasps. They didn’t bite or sting though. My recommendation would be to try a few moderate hikes before attempting this one. The view from the top of this trail is such a reward for all your hard work."
6,2019-08-03,['hiking'],"Great hike with a steep ascent during the latter half. Like Hidden Valley, there’s a great view at the top. Bring lots of water if you plan to hike this when the sun is out. "
7,2019-08-01,['trail running'],Solid and difficult trail run. Well marked and good footing throughout. Great views along the way and a lot of shade. 
8,2019-07-28,['hiking'],"We started this hike at 6:30am and back by 10am. It was a pretty steep incline, but very doable. The views at the peak were amazing and totally worth it! "
9,2019-07-23,['hiking'],"This trail kicks your butt, but when you finish you feel like you really conquered the world! "
10,2019-07-22,['hiking'],beautiful hike!! recommend lots of water and taking your time!! the first part of the journey not so bad but getting to the second half is nothing but uphill.
11,2019-07-16,['hiking'],"This is one of my favorite hikes in this area. Make no mistake; the trail is challenging. It’s a steep, steady climb. But it’s a very well groomed trail, and much of the way is shaded by plentiful trees. Great views, too. I always start from the end of 27th st. Highly recommend!"
12,2019-07-13,['hiking'],Great trail all around.  It’s a leg burner with lots of steady climbing.  Trail widens once you pass the first outlook and for me that’s more comfortable especially when there is traffic.  It is a popular trail on weekends 
13,2019-07-13,"['hiking', 'bugs', 'rocky']","This trail is a beast, BEAST I tell you, but it is my favorite hike. It is amazingly hard and fantastic. Beautiful views. It is mostly covered, which is nice, but I would still wear sunscreen. The peak. And out look are both exposed. If you take your four legged friends take lots of water for you and them. Bug spray too, I got a few horsefly bites. We did come across one baby rattler, but we stopped and gave him some space and he backed off and moved away. We started at 27th street. You do cross the river a couple places, but it was down enough that we didn’t get wet. "
14,2019-06-26,['hiking'],"Awesome hike! Was worried about seeing rattlesnakes on the trail, but lucked out this time. Just as others said, it’s a moderate hike until you cross the river and then it’s tough. Took us about 2 hours total with several breaks on the way up. Amazing view! "
15,2019-06-23,[''],Challenging but rewarding!
16,2019-06-15,['hiking'],"BEAUTIFUL!! The views at the top were astounding but the lush green of the trees were the real VIP. 
I started from 27th street. I didn’t cross the first bridge but that required a bit of hiking through the creek, only about 5 minutes before the trail is dry again. Steep but didn’t necessitate poles up or down. Took about 2.5 hrs around trip and my polar clocked 7 mi. Enjoy! "
