,Date,Tags,Comments
0,2019-07-27,['hiking'],"The trail from Church fork towards Rattlesnake Gulch was easy and beautiful.  The path was in good condition. Since it was cloudy with light intermittent rain, it wore a completely serenading look (much respite from the dry heat). You could hear the lively creek during the initial part of the trail which was also mostly shaded. The trail opens up to lesser shaded areas and ones with vistas more towards the Rattlesnake Gulch area.  We met quite a few off leash dogs who seemed to like the trail too ;D 
There are atleast 3-4 picnic spots closer to the trailhead. 
Great hike! "
1,2019-07-07,['hiking'],"One of my more frequent hike/run/bike trails. I typically break it up into ~5 mile loops (Up Rattlesnake Gulch to to pipeline and head east along the trail to porter fork and then run down the road back to vehicle. Next loop is Porter Fork trailhead east to elbow fork and back down the road to vehicle. Loop from Church Fork to Elbow Fork and down the road for about 6-7 miles. If you are running/hiking and want to see fewer bikes on the trail do it on an odd number day. There will still be bikes on the trail but there will be fewer since the upper trails (big water/wasatch crest) are restricted to even number days (for bikers) so they won't be coming down pipeline from those trails on odd number days. Snake encounters are frequent on this trail (I've seen rubber boas, rattlesnakes, garter snakes).... That stick you see on the trail might be a 'nope-rope'."
2,2019-06-27,['hiking'],"Hiked yesterday at about 5pm and there was a big rattlesnake right on the trail, keep your dogs and kiddos close!"
3,2019-05-24,"['trail running', 'muddy']",
4,2019-05-12,['walking'],"great trail, hard beginning but worth it in the end. took my dogs with and they had a blast."
5,2019-05-10,['hiking'],"I can see my house from the overlook so it’s one of my favorite trails to get a quick run in with my dogs. 

If you only have time for one trail in the area, I wouldn’t recommend it compared to grandeur or desolation."
6,2019-04-28,['hiking'],"Hiked this today and I wasn't a fan.  It's fairly steep, but that wasn't the bad part.  There's just no variation in the trail, the floor is all rocks, and there's little shade.  Do yourself a favor and go across the street and east a couple of miles to Desolation.  Gorgeous canopy of conifers with very diverse switchbacks."
7,2019-04-27,"['hiking', 'rocky']",My dog and I had a nice time. Most of it is straight uphill. Once you make it through that you get a nice walk with great views.  I would do it again any day. Lots of people but nicely spaced out. A lot of friendly dogs as well.
8,2019-04-20,['rocky'],
9,2019-01-06,[''],"Nice little hike, busy.  Lots of cross country and snow shoes but you don't have to have those as the snow is packed down.  Parking is a bit of a nightmare."
10,2019-01-02,['hiking'],"Hiked part of this trail from the Grandeur Peak trailhead at the Churchill campground on New Years Day. The snowy views were beautiful and with most of the trail in the sun, it was not too cold. No need for snowshoes or spikes, the trail is packed down, only icy in small spots."
11,2018-10-13,['hiking'],Nice trail. Very muddy right now with melted snow. A lot of downed branches across the path at the moment.
12,2018-09-15,[''],"Fairly easy hike, first part is a steady slight incline, eventually it levels out and then its just cake walk. Trail gets busy with runners and bikers but views are beautiful."
13,2018-08-26,[''],It is really cool at sunset
14,2018-08-23,[''],I would not call this an easy hike.  We stuck it out through 0.6 miles of basically straight uphill before we turned around.  The Mill D trail in Big Cottonwood is rated Moderate and was easier than this.
15,2018-08-20,[''],"My favorite trail to run on the Wasatch front- never steep, great views alternating with shade!"
16,2018-08-19,[''],"Easy hike, but great to get out door's."
17,2018-08-17,[''],For a beginner like me; this was a great hike with amazing views!
18,2018-08-12,[''],Good views of the city. No shade after the first climb.
19,2018-08-01,[''],I love coming to Millcreek canyon.  It is so beautiful.  I've done this trail a few times.  Great for trail running but it is novice so it gets busy.  lots of mountain bikers on this trail.
20,2018-07-14,[''],Once you reach the top it is amazing.
21,2018-07-11,['hiking'],"With all of the hiking choices in Millcreek Canyon, I am not in a big hurry to do this one again. I was just out for some exercise this morning, so I hiked an hour up the trail. The first 8/10ths of a mile is a very steady climb, but then it levels off. After the climb, the portion that I hiked did not have much shade, and it was close enough to the Boy Scout camp that I could hear their music and cheers. When I try this trail again, I will start from the upper trailhead to see if I can find a more peaceful setting."
22,2018-07-09,['hiking'],"This is a nice trail for running.  Once you make your initial climb, you get some good straight shots.  We hike from the church fork picnic area and come out at the big pipe with a great view of the valley.  You can start climbing again from there or call it a day."
23,2018-06-22,[''],"As a beginner and a big gal, I loved this hike. :)"
24,2018-06-20,['hiking'],"The trail is very nice. Steep in the beginning with rewarding views. The people who bring their dogs need to be held accountable for leaving bags of dog poo on the sides of the trail. Don't bag it if you are just going to leave it, just throw it off the trail with a stick..."
25,2018-06-18,[''],Great trail! Dog friendly. Very steep at the beginning but flattens out once you get about a half of a mile up!
26,2018-05-25,['hiking'],"Absolutely gorgeous up there right now! Not muddy at all, those the horse flies are really bad right now so bring bug spray or be prepared to get bitten."
27,2018-05-23,['hiking'],Which trail is good to start at - needs to be easy and not too steep? Thank You
