,Date,Tags,Comments
0,2019-08-27,['hiking'],"Loved this hike.  78 degrees.  Loose rocks, a steady climb and a couple of water crossing to pick your way across.  We only saw one other person this morning.  Made it to the mine before we had to turn around.  Some wildflowers still to enjoy. The starting point wasn't as intuitive as we thought.  Roughly 6.1 miles into BCC between Rock House and Mineral Slab snow avalanche areas on the south side of the road.  There is a gate you can walk around and the trailhead sign is down the dirt road.  Defiantly worth it."
1,2019-08-21,['hiking'],Never steep.  Lots of loose rock. 
2,2019-08-17,['hiking'],"The trail is very rocky and reasonably steep.  Make certain to wear shoes with good support.  The wildflowers were still in full bloom today, surprising!  Beautiful cirque.  Made it halfway to the ridge from the trail, but it was too slippery and steep.  Turned around.  The weather was perfect today."
3,2019-08-17,['hiking'],Re-hiked today. The last 3 time I've snowshoed and haven't be able to get to the upper basin until today. 
4,2019-08-10,"['hiking', 'rocky', 'scramble']",
5,2019-08-05,"['hiking', 'rocky']",Rockiest trail ever!
6,2019-08-05,['hiking'],"Steady incline with lots of loose rocks. Enjoyable hike but definitely a workout! View at the top is beautiful. Note, there’s a pretty steep rock climb to get from the “summit” to the top of the ridge line. "
7,2019-07-13,['hiking'],trail is in great shape until mile 3.6.  still some snow and ice near top
8,2019-07-08,['hiking'],"Great trail, still snow at the top, the snow is pretty hard so you can walk on top of it with some waterproof boots. Made it to the top of the ridge and was rewarded with some nice views as far as I could see in each direction. I did have a couple falls so be careful or just wait a couple more weeks for the snow to melt. "
9,2019-07-06,['hiking'],"Ice and snow still at the top.  Fell on snow field with cleats and lost my ice axe in the fall.   dislocated shoulder and helicopter ride out.   if you find my ice ax, would be cool to get it back. "
10,2019-06-09,"['hiking', 'rocky', 'snow']","This trail is amazing! Great views, pine trees and aspens and wildlife oh my! I had to turn around at 2.5 miles there was a lot of snow from an avalanche. I will definitely be coming back in late summer to go the whole distance. Ran into a moose and a deer."
11,2019-05-15,"['hiking', 'muddy', 'off trail', 'scramble', 'snow']",Avalanche warning near the top! be careful - posted 15.05.19
12,2019-05-14,"['hiking', 'rocky', 'scramble', 'snow']",
13,2019-03-16,['hiking'],One of the steeper trails if you want a harder workout.
14,2019-01-07,['hiking'],"I'm going to re-review this trail when the snow melts. Overall a good hike. I used my micros pikes to about 2.5 miles in. From there you will need snowshoes to keep going. I did find some of the cross country skiers on this trail rude. Others were very nice, just be ready to keep an eye on your back if your on feet. Lots of animal tracks from various mountain creatures found in the snow."
15,2018-12-31,['snowshoeing'],Trail is in great shape for skis and snowshoes.
16,2018-11-05,['hiking'],I liked this trail a lot. It is pretty rocky in some areas but not any big deal. There’s a lot of snow once you reach 9k feet and not being into postholing and wet socks I turned back. The old mine is pretty cool. Lots of water available all along the route if you filter. I’ll definitely be back to complete this one.
