,Date,Tags,Comments
0,2019-09-05,"['hiking', 'rocky']","Hot & sunny. Great views of Mount Olympus, Kennecott copper mine, the Great Salt Lake, Salt Lake City, and Parleys."
1,2019-09-04,['hiking'],She’s short but boy is she a little bitch! Amazing view at the top I feel like I could see all the way to Idaho from up there!
2,2019-09-01,"['hiking', 'over grown']","We really enjoyed this trail, on my GPS from the parking lot to summit was 4mi, 1,800ft elevation gain. It is a steady steep climb, and the trail does narrow to overgrown bushes but all in all a great trail. Would recommend."
3,2019-09-01,['hiking'],"Great trail with a stunning view and open to dogs. However, it was a lot steeper than I thought so prepare for that "
4,2019-09-01,['hiking'],Beautiful trail. I didn't have much time so wanted something relatively short but with reasonable elevation gain - this was perfect! Took me about 2.5 hours total including time at the top enjoying the views and some stops for pictures along the way.
5,2019-08-24,['hiking'],"I agree with others - I was worried about the steep grade of this hike. However, it didn’t feel that bad and it seemed to be longer (so less elevation gain per mile). I went at a steady pace with plenty of water breaks and did well. I had a small breakfast and snack at the top, which was fine. Great for pups! Would recommend longer pants, as the path is thick with brush (though clearly visible). I was more comfortable that way. Didn’t use hiking poles, though I suppose you could. May be difficult to maneuver at times given the brush on the sides of the trail. Shade on and off until you get closer to the top. You’ll reach a big fork at one point. Go right and follow the map."
6,2019-08-19,[''],"Still some wildflowers on the trail. It took me around 2 hours top to bottom. I would guess it’s more like 4 miles instead of 3. A good, steep, hike"
7,2019-08-18,['hiking'],"I was nervous about how steep this is per the stats, but I think the trail is maybe just a tad longer than advertised, so it's closer to the 1000ft/mile grade. If you can do Mount Wire on one of the trailheads coming up from the Bonneville Shoreline Trail, you can do this. The trail actually gets easier from the saddle, because the switchbacks don't have any crazy steep parts. An early start means some peaceful solitude on the expansive peak, with nice cool breezes. "
8,2019-08-15,['hiking'],"Super steep the entire way.  I was happy to call it good when I reached saddle, not knowing if that was the end or not. Apparently it wasn’t!  Still spectacular views from the saddle."
9,2019-08-12,"['hiking', 'over grown']",
10,2019-08-11,"['hiking', 'over grown']","Steeper than I was expecting. Somewhat overgrown and very little shade at the switchbacks above the saddle.

That said, it’s a nice view from the top. Decent short hike if you’re in the area."
11,2019-08-11,"['hiking', 'over grown']",Little overgrown. Wish I wore pants instead of shorts but the scratches on my legs were worth it for the views. My dog and I had a wonderful time. 
12,2019-08-05,"['hiking', 'bugs', 'over grown', 'rocky']",
13,2019-08-03,"['hiking', 'muddy', 'over grown', 'rocky']",Hiked this in the late afternoon August 2. Elevation gain was a little under 1900’ in under 2 miles.  It’s a pretty good bit of climbing the entire time. I completed it in around 1hr 45min.  Great hike to do on a whim or the late afternoon in the summer. Took about a little over an hour to reach the top at an ok pace.  Very little exposure with forest most of the way!  Sunscreen not really required.  Some slippery parts on the way down.  Bring good soles. A little over grown but I didn’t get any ticks on me. 
14,2019-07-29,['hiking'],"Hiked this with my 10 year old 22 pound terrier, today. We got a late start so left around 11:30 from the trailhead and arrived back at the car by 3:30.  It was very shaded in the beginning and sufficiently throughout such that the Sun wasn't terrible at mid day. Temperatures in The Valley were up to a 100 but not on mount aire :). The meadows and patches of forest are numerous and wonderous. It's like hiking through a series of frames, one scene at a time, the changing flora and fauna was delightful. The trail followed a small Creek, and up to about 2/3 of the way up the mountain it was still flowing, but then abruptly stopped, much to my dog's dismay.  The ascent is rather steep for long stretches so be respectful of that ""difficult"" rating. The trail went dry and rocky after the  Ridge below the peak (mount aire is to your right when you're cresting the ridge where you can finally see into the salt lake valley). Also the trail is quite narrow in many sections. Recommend hiking shoes/padding for your dogs as my Goldie Was a little worse for wear after that section and up to the peak.  Rewarding views all the way to the top and around/ along the upper ridge.  (I mean, it's not really a peak if more a high point on a high ridge). 3 bucks at the canyon gate on the way out seems a pittance to pay  ;). Would do again,  100%."
15,2019-07-27,['hiking'],"Gorgeous wildflowers! Amazing views into Lamb’s canyon, Parley’s, and Salt Lake Valley. "
16,2019-07-25,['hiking'],"Difficult, but view from top is worth it. hard switch hacks at the very end. "
17,2019-07-22,['hiking'],My new favorite trail! It’s uphill the whole way so it’s definitely a challenge. Super green and lush with a mix of shade and sunny parts. The wildflowers are gorgeous and make for some very picturesque scenery. The view is incredible at the end! Highly recommend.
18,2019-07-20,['hiking'],"I loved this hike. Good workout & beautiful views. Trail has beautiful wildflowers almost the whole way, lots of shade as well. Was not crowded at all. Didn’t see people until I was at the top & they were coming down. Saw a total of maybe 15 people the whole hike. Started at 7:20 am & reached the top at 8:30. Left the summit at 8:45 & got down about 9:20. "
19,2019-07-19,['hiking'],"Beautiful hike!  Lots of different types of wildflowers blooming the entire way.  There’s a lot of elevation gain and this is a shorter hike, meaning it is Steep.  We took our time, stopping to take photos and enjoy the view from the top, and it took 2 1/2 hours round trip.  We saw a huge rattlesnake, but it had already crossed the path and was heading up into the trees.  This is an excellent hike!"
20,2019-07-18,"['hiking', 'scramble']","We headed up the trail at 6am with some long sleeve, light jackets on, hiking up and up, mostly in shade. At around 7am we were ready to take the jackets off!
Amazing views at the top, Parleys Canyon, Dell Reservoir, Emigration Canyon, SL Valley, Kennecott Copper Mine, Great Salt Lake, many peaks and everything in between.
2+ miles up, 2,000ft elevation.
Great intermediate hike, take lots of water, bear spray, sturdy shoes, hat and plan on 3 hours minimum.
Parking and pit toilet at the trailhead."
21,2019-07-14,['hiking'],great steep trail with solid views the last mile after some wildflowers and Creek hiking to start
22,2019-07-13,"['hiking', 'bugs', 'muddy']",Fantastic climb to the peak with spectacular views the entire last 3rd. There is a progressive pallet of wildflowers popping the entire trail. Some patches of mud but nothing to contend with. Tracked 4.3 miles RT. Great workout! 
23,2019-07-09,"['hiking', 'muddy']",Hiked this trail today. Lots of beautiful wildflowers and it was pretty shady throughout which was awesome. Steep but short. Got there at about 11am and finished by 1pm with a stop at the top to enjoy the views. Kinda muddy so I'm glad I brought a towel to put over the back seat of my car for my dog.  Overall great hike. 
24,2019-07-09,"['hiking', 'bugs', 'rocky']",Great trail for a good workout. Steep and a leg burner for sure but not too long. Took about 45 min on the way down and about 1 hr 15 min up. Great views along the way and good amount of wildflowers. 
25,2019-07-05,['hiking'],Short but steep. Great views.
26,2019-07-04,"['hiking', 'bugs']",
27,2019-07-01,"['hiking', 'bugs']",Fun hike. Steep in some parts but not too long. Hiked it with my pooch on the first day the gate opened. Decently buggy at the top so use some bug spray.
