,Date,Tags,Comments
0,2019-09-07,['hiking'],"Super crowded, on a Saturday unless you get to the parking lot before 5 am you will have to park on a pull out of the road and walk a ways to the trailhead. Lots of people on the trail. This was my first time doing this side and it was way prettier than the aspen grove side. No snow to deal with, great wildflowers, saw a moose, and beautiful views!"
1,2019-09-06,['hiking'],"Awesome hike with great scenery and wildlife. Plan on a while, it’s a lot of elevation gain and slow going. 

I wish they’d install some chains at the top of the summit before the shack. It’s a bit scary through there, but other than that it was sick. And I saw a mountain goat. In fact I saw many mountain goats "
2,2019-09-04,['hiking'],"AMAZING! Friend and I got to the parking lot at 8:30 am and nowhere to park. Had to park a down the road making this a 16 mile round tripper. Three  bits of advice: sunscreen, bug spray, and lots of water. Wild flowers are absolutly amazing right now, snow on the trail is very walkable (even without spikes), mountain goats, deer, big horned sheep, and lots of other animals are out this time of year! It is a strenuous hike and the last mile from the saddle to the summit is a steep rocky beast. But very worth it! 

*To the Mountain Momma doing this with a toddler strapped to her back and the pack on her front, you are a rockstar! I barely I got me up that mountain, you were such a motivation! "
3,2019-09-03,['hiking'],"Very nice hike. Labor Day was crowded and parking was a pain. Took the kids, youngest being 9. No problem for them just took some time. After the saddle there is a fair bit of bouldering which is a little taxing with kids in tow but well worth the effort. Beautiful views. Start early. Afternoon heat is unpleasant. My only complaint was the significant ethical violation by way to many millennials with there Bluetooth speakers in pack playing their hideous music. Obviously numb to the environment. YO!!  GET SOME HEADPHONES, if you can’t be without your ridiculous teenybopper music!"
4,2019-09-03,"['hiking', 'scramble']",Hiked 9/1/19. Started at 1:30am and made it to the saddle for sunrise. I would recommend going a little earlier 1am or 12:30am maybe just so you have extra time and not feel too rushed. Also got lost and went to the falls so be careful. There was a sketchy ice patch towards the top but spikes definitely helped. Bring lots of water. I brought 70oz but I would have felt better had I brought another 20oz. It’s about an hour up to summit from the saddle depending on your speed. Seeing the sunrise was worth the effort. 
5,2019-09-03,['hiking'],The flowers are incredible. Hardly any snow. Great!
6,2019-09-02,['hiking'],"Super packed trail for Labor Day. Got there at 5:30am and lot was full, so parked at one of the turnouts about 1 mile away. Saw they were ticketing cars parked alongside the road, so make sure to follow the rules. Trail conditions were good, pretty easy hike up, just long. Took me about 3:15 up and 2:15 down. Bring a sweatshirt for the last part on the back of the mountain + summit."
7,2019-09-02,['hiking'],"decent hike.  Sept.2 2019 Labor Day. 
way too many people and dogs!  ridiculous amount of parking problems due to too many people trying to just drive up the canyon and park.  we started trail at 4a.m., reached Timp saddle at 7:10 and continued to the summit and reached summit at 7:50.  ate snacks and breakfast at summit and began descent at 8:30, reached car at 11:40.  then we ran into major traffic jam on the road up to main parking lot "
8,2019-09-02,"['hiking', 'rocky']",Beautiful trail and amazing view! I recommend it
9,2019-09-02,['hiking'],"Long but beautiful.
Started at 2am, down before 12pm even with slow people in the group.
Recommend getting to the parking lot before 2:45 to get a legal spot."
10,2019-09-01,['hiking'],"This hike lives up to the hype! Got to the trailhead around 5:30am and about half the parking spots were taken already. Getting to the summit took about 3.5hrs; the trail maintains a steady incline, but the real difficulty of this hike is the length—not the grade. In terms of gear, I brought a lightweight pullover, 3L of water, and some food; lots of people had poles, but they aren’t necessary. I ran out of water about 2.5 miles from the trailhead and refilled at one of the numerous spots with flowing water along the descent—make sure to bring a means of filtration or purification. The trail was very busy but not to a point where it was unenjoyable. If you want a hike that has it all (forests, meadows, waterfalls, lakes, wildflowers, snow, etc.) this is it! Will definitely be doing this one again!"
11,2019-09-01,"['hiking', 'bugs', 'muddy', 'rocky']",Started at 3:30A and got through the valley just as sunrise started. It was amazing! The flowers are absolutely gorgeous! Summit wasn’t too crowded maybe 3 other groups of 2-5 people. Not too windy or cold (sweatshirt and puffy jacket) Hiked without poles until we started our descend. Super helpful crossing the small snow fields and maneuvering on the rocks coming off of the summit. Worth getting up early for. I wouldn’t do this hike during the middle of the day. Several places aren’t shaded. Coming back very soon! 
12,2019-09-01,['hiking'],Started at 1:30 and got to the peak at 6 to watch the sunrise...along with maybe 50 other people. Busy trail but everyone was friendly so it's nice to see others enjoying the outdoors. 
13,2019-08-30,"['hiking', 'rocky']",Always amazing
14,2019-08-28,"['hiking', 'rocky']",Amazing views throughout the hike. Take plenty of water. We saw lots of mountain goats. Super fun hike! There’s still a few spots where we needed to cross snow patches but we did fine without any gear. 
15,2019-08-28,"['hiking', 'rocky', 'scramble']",
16,2019-08-28,"['hiking', 'blowdown', 'rocky', 'scramble']",
17,2019-08-26,"['hiking', 'rocky', 'scramble', 'snow']","The review below me complaining about no guard rails and too many rocks cracks me up! My only complaint about this hike is the vast amount of people out there (especially Friday night into Saturday) with zero hiking experience or hiking etiquette. If you’re doubting your abilities to do it, you probably shouldn’t as it is a serious trail with high exposure. If you know how to hike though, don’t doubt yourself. We saw people with sandals , vans, and even crocks that had made it to the summit!  One snow bridge 4miles up requires about 20 steps on a very sturdy snow bridge (poles were helpful), or a quick little climb down to cross the river and climb back up the other side. Both very doable. 
Poles were a great help for crossing snow fields, especially if you plan to go over to emerald lake and then summit from there- the biggest snow fields are from that side just before the saddle. Fine with trail running shoes and poles. 
We hiked with 50lb packs on and made it to emerald lake to camp in about 4.5 hours. Took us another 1.5 to summit from there, 30 minutes to get from the summit to the top of the “glacier”, and 5 minutes to ski back down to emerald lake, then about 3 to get back down to the parking lot. 
If you’re a hiker and know what you’re doing, I recommend hiking on Sunday. About 90% less people do this on Sunday as compared to Saturday. "
18,2019-08-25,['hiking'],"!!!!!IF YOU HAVE A DOG READ THIS!!!!!!!! 

So me and 2 others brought 2 cars. left one at the Aspen trailhead and drove to the Timp. trailhead side. Started hiking at 5:40 am. Finished at 2:17 pm. 19 miles even. We got lost about 1 - 1.5 miles in total. All 3 of us took our dogs. About 4 miles left to the Aspen trailhead all 3 dogs feet started to burn on the sand. The water holes or streams were not enough to over come the hot sand or dirt. I carried my dog on my shoulders about 1 mile. Not once did I feel scared on any of it. No idea what these Mary-Anne's are crying about dangerous crossing. Bunch of Nancy's 

This hike would have been better if we had left the dogs home. 
"
19,2019-08-25,"['hiking', 'scramble']","2nd time summiting Timp and it again did not disappoint. Started at 7 am from a turn out about 1.5 miles from the trailhead because it is so busy! Others in our party who arrived at 4:45 am were not able to park in the lot because it was full. If you’re a quick hiker you can easily hit the summit in 4 hours. (We met up with our group who started at 4:45 about 1/2 way up at 8:45) The hike to the saddle is beautiful and covered in wild flowers, moose, & mountain goats. From the saddle to the peak is a Steep, scree filled climb. You walk across the front of the ridge then up a short steep switch back that was extremely overcrowded at noon. Then scramble up to the shack. We stayed on top a while and the traffic cleared out but the wind kicked in around 2 pm. The hike down was nearly empty which was perfect. Left our group behind who were walking and did a trail run down to my car. If you hike down you are about 3-4 hours descent if you run it closer to 2-2.5. Be sure to go to the river and soak your feet in the cold water for a minute to help them not to be sore the next day. "
20,2019-08-25,"['hiking', 'rocky', 'scramble', 'snow']",Great summit. So many wildflowers right now. 
21,2019-08-25,"['hiking', 'muddy', 'no shade', 'rocky', 'snow']","We hiked this trail overnight to the morning. Our group was 9 people aged 20-24 with a range of experience. To give ourselves extra time we started at 12:30 AM to get to the summit at 6:30 AM for the sunrise. About 1.5 mile in, we came across a moose on the trail right in front of us, which probably took about 20 minutes to wait out. The snow bridge that everyone is talking about in the reviews is definitely gone, so we went down into the chasm a little bit and then climbed back out which was way easier than trying to go up more onto the snow; additionally, the ice fields aren’t bad at all, but having poles was definitely nice and gloves would have been a plus. We met probably a dozen groups at night, and then during the early to late morning we passed probably a hundred people on the way down. Tons of other hikers but since the trail is so long it doesn’t feel crowded. 
Overall, beautiful trail and scenery. We saw 3 moose and 2 mountain goats total which was fun (except for the first moose which we were worried would charge- maybe bring bells on your pack). The only thing about this trail that I really disliked was how ill-maintained it is. Probably 11 of the 14 total miles are covered with rock and shale which is pretty dangerous and at one point one of our group got hit with falling rock and shale from some hikers on a higher switchback. There are also no mile-markers, so try bringing your own GPS or watch. Be aware that after the saddle at the top, there are no guard rails or ropes to hold, so you do have to be pretty careful to not slip on the loose rock all over. For the first few miles or so there are a dozen water crossings, so waterproof boots might be a good call. Beautiful wildflowers, awesome views, and a fun diversity of scenery- but know that this is definitely a strenuous hike. "
