,Date,Tags,Comments
0,2019-09-03,['hiking'],"I love this trail for so many reasons, except the first 30 minutes of steep ascent :-) The river along the hike, then a bit through the shades forest, with the fresh smell of coniferous trees, really brings joy to my soul. Also, the beauty of the wildflowers and the open meadows and the sweet creek, and then the vistas from the top of the mountain overlooking The Canyons are amazing!! I go all the way to Murdoch Peak (ski lift) and sit down to have a little bite to eat before going back down to my car. Mountain bikers and dogs are plentiful. Check days if you want to avoid them. "
1,2019-09-03,['hiking'],Down via Little Big Water.
2,2019-08-13,['hiking'],Good hike but at the end the trail becomes hard to see due to bushes but not bad at all.
3,2019-08-10,"['hiking', 'off trail', 'over grown']","Watch for the ""bum, butt, derrière"" tree on your left while hiking up.  So funny!  (about 1.5ish miles up)

You can miss the trail easily if you are not paying attention to your All Trail's map.  At the large ""3 way trail intersection"" look for the overgrown trail off to your left.  There are some logs and sticks piled on the side...enter there and up you'll go!

Check for ticks when you get home due to all the overgrown brush.  "
4,2019-08-10,"['hiking', 'off trail', 'over grown']",
5,2019-08-01,"['hiking', 'over grown']","Great hike!  Dog friendly going in and out of a stream on the way up.  Most of the hike is a gentle incline through the forest with a steep climb at the end for the summit.  We missed the fork to the summit on the way up: it’s tough to find at the top where the WCT intersects, if you see park city you’ve gone too far.  Bring pants even if on trail, the ascent is very scratchy."
6,2019-07-29,['hiking'],Started early and had the trail and summit to myself.  Tons of wildflowers.  The trail from the ridge to the summit is very overgrown.  I had long pants and was glad I did.  Great views.  
7,2019-07-24,"['hiking', 'bugs']","So green this year. Beautiful flowers, and most of the trail under the shade. At the end, before climbing to the Murdock summit there is a crossroads and the trail is not well signed so we have to go up and go down by crossing the Aspen Forest. "
8,2019-07-14,['hiking'],"Great hike: good trail, birds, butterflies, and wild flowers galore. "
9,2019-07-04,['hiking'],"the hike was amazing, but where to head up towards the peak, we were unable to find. Ended up off trail for a while due to this."
10,2018-11-25,['hiking'],"Took the huskies up past the closed winter gate all the way up to the Old Red Pine Trail thus adding another 9 miles to the journey. 

The elevation gain is spread out very gradually, but yeah this is a long walk / run ...

At any rate, it's highly recommended ! Very secluded and plenty of room to think. 

Murdock Peak offers excellent views overlooking Park City, Millcreek Canyon and across the Wasatch Range."
11,2018-11-06,['hiking'],"Lovely easier trail, at least up to the steeper climb at the end.  Those noting that the trailhead is too busy are just going in the wrong season.  If you wait until the gate is closed (usually 11/1) and bike up, there is no one there at all :-)  I pondered heading up the wasatch crest trail, but it looked like the snow got deeper, so I followed the ridge from Murdock over to Millvue, then bushwhacked down the slope back to the parking lot."
12,2018-07-16,['hiking'],"The wildflowers are stunning and are every bit as pretty and as many as other locations in the Wasatch Mountains.  The difference—hardly any people because of the limited parking.  We skipped the hike to Murdock Peak, went to the overlook instead and then hiked down the Great Western Trail to connect with another leg of the trail to dog lake.   We logged 8.5 Miles.  Fantastic!!!!"
13,2018-07-15,['hiking'],"One of my favorite favorite hikes! Flowers are stunning right now! My pups also love this trail-.plenty of water along the way right now! 
FYI-loads of biting flies.remember the bug spray!"
14,2018-07-10,['hiking'],"The wildflowers are simply splendid.  Bikers are courteous for the most part but they really go fast and I consider them a hazard. I will try to schedule on odd days from now on.

This is a pretty easy hike.  A steady climb on a well maintained trail.  Nice bird activity and plenty of shade early in the morning."
15,2018-07-07,['hiking'],"This was a really pretty trail even though we only made it 1.5 miles out. The wildflowers are very pretty! It was a little confusing to figure out where to start, but we got lucky and got parking right at the trail head. The drive up was on a paved road, but it got a little tight in some areas because of how many cyclists ❤️ and other cars there were. We didn’t make it to the top so we didn’t get many scenic views, but I still loved it! The trail itself was not as busy as the surrounding areas."
16,2018-07-07,['trail running'],"Ran the trail with my pup last week and it was fantastic! Be prepared to bush-whack the last bit to the peak, the views and wild flowers are worth it. Great refuge from SLC summer heat. Will definitely do again!"
17,2018-04-21,['hiking'],"My wife and I love this trail. Not a lot of traffic, and some gorgeous wildflowers. We hike up this trail even when we’re not going to the top . . . just for the solitude!"
