,Date,Tags,Comments
0,2019-09-03,['hiking'],Great workout!
1,2019-09-02,['hiking'],"First, don’t park next to paved road, drive down dirt road to right for TH parking. This one had LOTS of sun, wildflowers are poppin, and great views. Route can be hard to find after north peak but I did as others suggested and stayed near spine for most part and feel like I had a pretty good route (you can look at my recording). I never felt unsafe, or had my exposure-induced-anxiety kick in BUT if you have poles I’d definitely bring them bc of all the loose rock....and to make the stubborn grasshoppers move (there were lots of em)."
2,2019-09-02,"['hiking', 'rocky', 'scramble']",This trail was awesome! It is pretty rocky toward the end so be prepared. Bring plenty of water and put on sunscreen. 
3,2019-09-02,"['no shade', 'rocky']","Great Trail, awesome views. Quite steep at points. I will do it again for sure!"
4,2019-09-01,"['hiking', 'rocky', 'scramble']","Awesome hike. This trail is steep but not nearly as bad as I was expecting compared to the other big mountains in the Wasatch. It took us 4 and a half hours to do the entire thing, my garmin put the distance a little over 9 miles. It is a lot of scree and loose rock near the top. Do-able for dogs but bring lots of water."
5,2019-08-31,"['hiking', 'no shade', 'rocky', 'scramble']",
6,2019-08-31,['hiking'],Hiked loop over North peak of Mt. Nebo then down to Wolf Pass and back. Amazing views. Beautiful trail. Moderately hard in some spots. Flowers in bloom in upper meadows were wonderful. 
7,2019-08-31,"['hiking', 'bugs', 'no shade', 'off trail', 'rocky']",
8,2019-08-28,['hiking'],Way harder than anticipated. But totally worth it. Amazing views!
9,2019-08-24,['hiking'],Highly recommend staying close to the ridge for as long as you can!!
10,2019-08-24,['hiking'],"Great dog friendly trail, though we did Nebo Peak, so it was more than the 8.5 miles listed for the hike.  Beautiful views, and Amazing wildflowers!  
No water anywhere on the hike so come prepared with lots of water"
11,2019-08-24,"['hiking', 'rocky', 'scramble']","Hiked all the way to the peak on Saturday--THE INFO ON THIS PAGE IS NOT FOR GETTING TO THE PEAK, ONLY TO THE SADDLE BEFORE IT. I've had a hard time finding good info on the actual hike/vertical rise to the peak, but between some other hikers, our tracking devices, and myself, we estimated that the entire hike to the peak is about 10.5 miles and 4800/ft vertical rise. 

I saw a lot of nervous dogs and hikers on the knife edge section to the peak; it's a bad place for your pup to take a tumble, and the shale is hard on their paws. I was very glad my dogs weren't with me, and I'd recommend you leave even the most level-headed dog at home.

I'm moderately fit, and the entire hike took me eight hours. From wolf pass, it took me two hours to reach the peak, and two to come back down--it's a steep scramble with unsure footing, and you don't have any choice but to go slowly. 

The wildflowers are GORGEOUS right now. 

"
12,2019-08-24,['hiking'],"Just be prepared to slip, slide, maybe trip on the shell rocks in the upper part of the hike to the summit.  My iWatch tracked 10.3 miles, wife's was over ten too.  Some in our party wished they had gloves for rock scrambling and the lower temps on top.
As others have said, parking lot was full (8:30am), stay close to the ridge, wild flowers are awesome.
Wear sunscreen and have plenty of water.  Definitely a quad and calves burner."
13,2019-08-23,"['hiking', 'rocky', 'scramble']",Trail is good until you get to wolf pass and after that it gets quite steep which wouldn’t be a problem except it’s a lot of loose rock up to the false summit and then it’s nothing but sharp shell rock with trails going everywhere so pay attention to route so you don’t get in trouble! Also it was pretty disappointing there was no registry or something at the top to really designate the summit!
14,2019-08-17,['hiking'],Lefted the truck around 515ish am. Had to flashlight the early morning. What a sunrise sight! What a display of wildflowers! It's a challenge! But so worth it. And a peak to brag about. 
15,2019-08-17,['hiking'],We hiked just to the north peak today.  The wildflowers are in full bloom and it is spectacular.  We got to the trailhead at 7 am and the parking area was already full.  Lots of people enjoying the view and the fresh air.
16,2019-08-12,"['hiking', 'scramble']",Beautiful wild flowers; many mountain goats 
17,2019-08-10,"['hiking', 'scramble']",
18,2019-08-10,"['hiking', 'rocky', 'scramble']",traversed North Peak to South peak. Then continue Southword.
19,2019-08-10,['hiking'],"Best wildflower display of any Utah hike I've been on.  Though less overall elevation gain than Timpanogas, I rate this as tougher as the incline sections are very steep.  On the way to the top the trail loses altitude often which is why the inclines have to be steep to get over 3800 ft. of gain. It also means there are many inclines on the way back.  Very rewarding but challenging.  Trail conditions today were ideal (cloud cover much of the day, cool temps, no dust  as it rained the night  before...)"
20,2019-08-05,"['hiking', 'scramble']","Amazing hike we showed up at 6am. The weather was perfect and the views are out of this world!! This hike is pretty tough especially if you don’t hike often. The last mile is really tough and is very steep, with loose gravel and would not be a good time for little ones. Overall a must do in the Wasatch front!!! "
21,2019-08-03,"['hiking', 'bugs']",Hit the trail at 430pm and the weather was fantastic! One of the more beautiful hikes. Trail is clear and easy to follow. Saw lots of mountain goats. The final push to the summit stay on the spine.  I took a faux path and wound up in sketchy loose rock. The spine was much easier and solid to follow. 
22,2019-07-28,['hiking'],"No snow crossings on the trail. Little traffic. Watch for afternoon thunderstorms that roll through. Great temperatures and great views.  Took me 4.5 hours, including waiting out a couple storms. Nebo's Peak was cloudy most of the afternoon."
23,2019-07-27,['hiking'],"First time doing Nebo. It was BADA! 
Trail had a few snow drifts but you could get around them. So no gear needed. This sucker was long, and crazy rugged at the top. Def a “hard” level hike. But super beautiful lots of wild flowers and killer views. tot worth every step.  Oh and cool 60deg "
24,2019-07-15,['hiking'],"Hiked Mount Nebo on 7/15. Two definite snow crossings. One traverse before wolf pass. the other was just before the false summit and more steep and intimidating. Traction would have been nice, especially in the morning, but able to cross with help from trekking poles. After the false summit the trail was all clear. Stay close to the ridge line. Snow was much softer in the afternoon but crossable by taking our time.  On the way down we took the opportunity to do some glissading. This was our first time climbing nebo. The trail was steep but the exposure was less intimidating than many of the reviews made it out. Enjoy! 

"
25,2019-07-10,"['hiking', 'muddy', 'off trail', 'rocky', 'scramble', 'snow']","The trails open! Hiked this on 7/5/19. Honestly, it's still pretty sketchy with a few large glacier crossings, and an almost vertical climb to get to the summit since the trail is snowed over. Bottom couple miles is mostly clear, and you can generally avoid snow on the ridgeline. Took a lot longer than planned because of all the snow. Right now microspikes and good poles are a necessity, ice picks help with descents and if you end up falling. The difficulty rating of this trail is no joke, it's a beast to hike."
26,2019-07-05,"['hiking', 'scramble', 'snow']",Hiked this trail prepared for the snow with snowshoes and microspikes. Still a lot of sketchy glacier crossings. Plan extra time. It took us longer than we thought and were unable to summit because of the snow. Amazing views!
27,2019-07-02,['hiking'],Snow still in upper swales and ridges of Nebo. Lower 1.5 miles snow free and flowers starting to peak. 
28,2019-07-01,"['hiking', 'muddy', 'snow']",There is still a lot of snow on this trail. I did not have my ice climbing boots so I was only able to make it about 1000 feet from the North peak. from the parking area the first mile of the trail was clear but after that it is all icy snow and the trail becomes hard to follow. the vegetation is stunning. well worth the time. I plan on going back later this week with the right footgear.
29,2019-06-24,['hiking'],Road is closed at Devils Kitchen and about 5 miles from the trailhead coming from the other side. 
30,2019-02-11,['hiking'],"Beautiful trail, one of my favorite to do late summer. Challenging in some areas, and a little treacherous at the top, but also a lot of easy rolling area and gradual ascents. Takes most of a day, but easy to run a majority of the way down which makes it a lot faster :)"
