,Date,Tags,Comments
0,2019-09-07,"['hiking', 'muddy']",I did this hike during a late afternoon and it was fantastic. Shaded all the way to the top with an excellent view. You’ll also see some wild flowers and great forestry. There are mountain bikers on the trail throughout the day. Highly recommend!
1,2019-08-26,['mountain biking'],Very beautiful and enjoyable mountain bike ride or hike!  Love it!
2,2019-08-10,['hiking'],just a little 2 mile hike. for the afternoon. maples campground wish I had a trash bag.
3,2019-07-28,['hiking'],My wife and I love this trail. Here is a summer hike overview: https://www.relive.cc/view/u3694316725  
4,2019-07-06,['hiking'],loved this trail.  Beautiful view at Ogden Lookout viewpoint.  Rattlesnakes near trail.....be careful.  
5,2019-06-25,['hiking'],"Breath taking views all the way to the view point!! Pond, creek, trees and sweeping landscapes views! This hike is a must for anyone! "
6,2019-06-03,['hiking'],"Great hike. If you plan to take your dogs, go early. Mountain bikes are very active on the trail after 0900."
7,2019-06-03,['hiking'],This was an enjoyable hike with the dogs. The view at the end is amazing. Mountain bikers also use this trail too.
8,2019-05-31,['hiking'],Pretty easy hike for anyone! We took our 8 pound Yorkie and she had no problems.. if she can do it anyone can! The flowers are all budded but haven’t quite bloomed yet but you can tell when they do it is going to be BEAUTIFUL. Planning on going back in 2 weeks to see them all blossomed! Took us 2.5 hours with a 30 minute stop at the top 
9,2019-05-13,['hiking'],"Beautiful hike! It was snowy and wet towards the top, but it was as beautiful as always!"
10,2019-05-10,"['hiking', 'muddy']",Great hike. Fairly easy with awesome views. Didn’t see anyone else on the trail & it was perfect for the dogs!
11,2019-03-08,"['snowshoeing', 'snow']","Kids wanted to give snowshoeing a shot and I couldn't think of a better place than this trail.  It was not a disappointment, we enjoyed fresh snow and great surroundings."
