,Date,Tags,Comments
0,2019-09-06,['hiking'],A great after work hike or trail run. Fun to see the wide variety of user ages and types of recreationists. 
1,2019-08-27,['hiking'],"A short but very rewarding trail. Once you pass the incline, there is about a 1 like stretch of flat trail to the lookout, making it a great trail to run!"
2,2019-08-14,"['hiking', 'rocky']",Dog loves it. Easy. Great views. Best at sunset. 
3,2019-08-14,['hiking'],"Great evening trail! It's shaded off and on but if you're going in the middle of a hot day, you might roast a little. The first half or so has a good little steady incline but nothing crazy. The views once it opens up to the valley are awesome! Be careful of rattlesnakes. There were two on the trail where it turns to longer grass."
4,2019-08-12,['hiking'],"Hard but beautiful. This trail is very steep for quite awhile until you make it up then it levels out and is quite pleasant. Lots of shade, until you get far out on the trail, you’ll start to see SLC and walk towards it and you’re basically hiking around the mountain in the sun. Cool thing is there are options to switch to Churchfork, grandeur peak, pipeline, & 1 other trail. So you can choose to stay on a more shaded trail if needed. "
5,2019-08-08,['hiking'],Beautiful view. Get there early and watch the sunset!
6,2019-08-05,['hiking'],"The highlights of this trail were the incredible views throughout the second half. The first half was pretty much all uphill. After it flattens it there’s no shade so bring plenty of water! This is a great hike if you have 1.5 hours to kill and you want some fresh air, a good workout, and beautiful scenery. Would do again!"
7,2019-08-01,"['hiking', 'rocky']",
8,2019-07-27,"['hiking', 'no shade', 'rocky']","I had a good time, felt like I could realistically keep going up but stopped because my dog was overheated. I made the mistake of getting up too late in the afternoon and there’s minimal shade & no water access. Would do again in cooler weather"
9,2019-07-22,['hiking'],"Great hike with mix of sun/shade, switchbacks and steep sections. The summit at the end is a spectac view."
10,2019-07-21,"['hiking', 'no shade', 'rocky']",
11,2019-07-19,['hiking'],seen a rattlesnake.. beautiful 
12,2019-07-15,"['hiking', 'no shade']",
13,2019-07-14,"['hiking', 'rocky']",
14,2019-07-11,"['hiking', 'bugs', 'rocky']",
15,2019-07-10,['hiking'],Fun hike! My 4 y/o boy was able to do the hike by himself with no problems. Plenty of shade and places to take a break if you have little kids. Beautiful views of the mountains and valley. 
16,2019-07-07,['hiking'],"I love this hike - done it a few times and it has never been crowded. The views (of the mountains around you during the hike, and then overlooking the valley at the end) are beautiful. "
17,2019-06-30,"['hiking', 'bugs', 'rocky']","The first .75 mi is steep, rocky with mid to high rock/log steps interspersed. This part of the path is shady. My sisters had a hard time going up due to grade - they told me it should have been rated Hard but I didn’t think it was bad. 

At .75 mi you can go further to the Pipeline overlook. It is 1.1 mi of easy walking/hiking half in shade. This area is not really steep but has some rolling hills.

Going down is when I thought the last .75 mi was moderate because of the rocky grade and just having to watch your feet on the grade with the rocks, rocky steps and logs. 

Overall I really like this hike. Be sure to take water if you go on to the overlook because the path gets hot. "
18,2019-06-28,['hiking'],"Pretty easy trail, took us less than an hour and a half to do. A good mix of shade and sun! The view at the top is beautiful, and the views the entire way are pretty amazing as well. A nice quick hike to end the day with! "
19,2019-06-24,"['hiking', 'bugs']",I’ve done this hike twice in the past five days. The view is gorgeous! Highly recommend for a good view of the sunset. Definitely wear bug spray.
20,2019-06-22,"['hiking', 'rocky']",
21,2019-06-22,[''],Would have been 5 stars but car was part of a crime scene afterwards and had to uber home. Might want to hike this trail in groups.
22,2019-06-19,['hiking'],so. many. dogs. mine was the only one leashed. i dont know if it was due to the time we went but expect heavy traffic that involves bikers.
23,2019-06-19,"['hiking', 'rocky']",saw a lil rattlesnake a little bit off trail. 
24,2019-06-13,['hiking'],Fun hike! 
25,2019-06-10,"['hiking', 'rocky']",This is a humbling experience if you are a novice hiker or not used to mountain terrain. Pretty scenery but 100% strenuous incline.
26,2019-06-09,"['hiking', 'bugs', 'rocky']","Hiked the trail on a clear day. Moderate traffic today (lots of dogs - odd day). Great views of city at pipeline outlook. Walked the ridge on grandeur peak trail, which had less hikers, more runners and a few mountain bikers. Great trail. "
27,2019-06-08,"['hiking', 'rocky']",A beautiful trail with really beautiful views! Not very muddy at all. Bring a jacket on a windy day. :)
28,2019-06-04,[''],"I did this trail with my 8 yr old daughter and our dog. The second half is just straight on the pipeline trail, but it was steep enough that it made my daughter nervous."
29,2019-06-02,[''],"Absolutely stunning views! Olympus is in yo face. Trail was a little muddy, but it is spring. I would say light to moderately trafficked. Good trail run if you’re into that too. "
30,2019-06-01,['muddy'],"fun little hike with some great scenic views of Millcreek canyon and the city.  a little muddy toward the bottom section, but not too sloppy.  recommended if time doesn't allow for a longer hike.  "
31,2019-05-28,['hiking'],The lookout has a nice view of the valley
32,2019-05-25,['hiking'],A few muddy spots near the top but overall really nice.
33,2019-05-20,['hiking'],"great first hike in SLC. From the end, you can see the bowl and the lake in the distance."
34,2019-05-20,['hiking'],On 5/20/2019 we hiked up Rattlesnake gulch around to the pipeline overlook. Instead of coming back down the same path we went up and over the ridge line (On Gaia its is part of the Crestwood Trail) Once you get to the top you can either take a Left where it goes down Crestwood Gulch trail or you can take a right and go down a pretty steep trail that meets back up with the Pipeline/ Rattlesnake Junction. Not an easy trek but very nice. Next time we will go up that way
35,2019-05-18,[''],"It's a good trail to start summer hiking off on. It starts off intense enough for you to check your heart rate and a dog's condition for more intense hikes. Once you get high enough, the trail evens out and is easy. Was simple, and enjoyable, but nothing too incredibly breathtaking. "
36,2019-05-16,"['hiking', 'rocky']",
37,2019-05-13,"['hiking', 'bugs', 'rocky']","This is a good trail if you are looking to get your heart rate up just a bit on the ascent and then enjoy a nice easy stroll with good views of the valley. Took my dog and my 64 year old dad today. His first hike of the season so the beginning was tough on him, once we got to the fork and went left towards the Pipeline Lookout it was super easy. Lots of sun and no water nearby so make sure you’ve got plenty for your pup. Mine got pretty warm and she’s used to going on trails regularly. Also I did see a large snake right on the trail about 3/4 of the way up. Not sure what kind, it was large enough that I didn’t want to stick around and find out. He was in no hurry to hide from us. Luckily neither my dad nor dog noticed but this is the second snake I’ve seen on a trail this season so be advised. "
38,2019-05-12,"['hiking', 'no shade', 'rocky']",
39,2019-05-11,['hiking'],"Great hike in the Spring—not a lot of shade, but doable in the spring or fall. Great view of the valley"
40,2019-05-10,[''],good for a midweek get one in hike
41,2019-04-26,['hiking'],"Good quick hike, a little crowded for a Friday morning. Clear of snow and dry as of 4/26."
42,2019-04-24,"['hiking', 'rocky', 'scramble']",
43,2019-04-18,['hiking'],"Nice trail, dried out.  Little rocky in places but overall nice, quick trail with nice views!"
44,2019-04-07,"['hiking', 'muddy', 'rocky', 'washed out']",It was definitely a good hike for a person to do their first time in Colorado.
45,2019-03-25,"['hiking', 'muddy', 'snow']",Very wet and muddy.  Quite flick in some spots.  Still a terrific view from the top.
46,2019-03-21,"['hiking', 'off trail', 'over grown', 'rocky', 'scramble', 'snow']","Don’t go the way I went during March, steep lots of snow, and Moose’s. Pretty cool sunset. 2.6miles up to grandeur peak, Then and another 3.2 down to the trailhead on the actual grandeur peak trail."
