,Date,Tags,Comments
0,2019-09-08,['hiking'],"This hike has great views, meadows, cliffs, decent shade, and a fairly easy incline.  I did it with a 30 pound ruck.  Towards the top you can make a sharp left turn to the west and explore cliffs above Ogden canyon."
1,2019-09-06,['hiking'],"I loved this trail! Not too difficult,  great for good conversations with friends as you hike! ❤"
2,2019-09-03,"['hiking', 'rocky']",
3,2019-09-03,"['hiking', 'bugs']",
4,2019-07-07,['mountain biking'],nice trail
5,2019-07-03,[''],"This is a great horseback riding trail. Especially great in the morning. Lots of shade, gorgeous meadows, spectacular views all the way up and at the top, you can see forever. Bikers  have always been courteous and willing to yield right of way to horses. It takes about 2 1/2 hours to ride the loop at a walk. I am guessing that you can almost double that if you are on foot. Great place to spend the day."
6,2019-06-09,['mountain biking'],done
7,2019-06-03,[''],"Great hike, but long if you're taking dogs."
8,2019-06-02,"['hiking', 'muddy', 'snow']",Went last weekend. Great trail. Nice views. Extreme mud in places. Still some snow at the top. Still pretty easy and fun all things considered. 
9,2019-05-12,"['hiking', 'muddy', 'snow']",
10,2019-04-19,['hiking'],Always a great trail.  If I am going to share a trail with someone that hasn't been in the area this is where I will bring them.  You can take the short route and just go up to the Overlook or you can make a day of it and circle Sardine.  I might be a little bias since I spend most my winter is this area.  This was an incredible year for snowshoeing.  Great spot to keep in mind for next year.
11,2018-11-27,[''],Enjoyed the work out!  Great ride/workout under 1.5 hours.
12,2018-11-05,['mountain biking'],"This is one of my favorite mtb trails.  It has a southern exposure which means that on warm sunny days I always fill up the water pack.  I have ridden the trail loop clockwise and counterclockwise.  I prefer clockwise.  I now ride with tubeless tires, but even before I had tubless tires I found the climb to not be  as foreboding as it appears from the parking lot.  I like to deflate my rear tire so that there is just a touch of give.  The first third of the ascent is gradual with good traction.  The second third is steeper and exposed  with some rocky terrain to impede the climb.  The rewards are great views of Snow Basin to the right and after a short ride great views to the west.  The final third is less rocky and better traction to the saddle on the the summit.

I like to reinflate my tires back up to 50 psi, drop my seat a bit, and do a quick assessment my bike before the descent.  The downhill ride is a hoot!  It seems like I'm riding downhill forever.  With very few rocks, banked turns, easy switchback turns and long descents.  After getting down to the bottom I wanted to do it again.  Follow the trail over the bridges traveling clockwise until you hit the gravel path.  Make a left to the parking lot.  Or hang a right and do it again."
13,2018-10-22,[''],Conquered this loop with my son and sister and n-law and nephew.  So much fun..
