,Date,Tags,Comments
0,2019-09-05,['hiking'],really nice trail. we go hiking with the dog and we had so much fun.
1,2019-09-02,['hiking'],don’t on labor day
2,2019-09-02,['hiking'],"Went on Labor Day. Good hike for kids, but the trail was really crowded with people who had poor hiking etiquette. Large groups (15-20 people) from the summit would steamroll downhill without yielding to uphill traffic. And some impatient hikers stuck behind large groups were hitting people with their poles. We went up the shortcut, rocky path. Our kids (8 and 6) enjoyed that part, and I went up and down it with a toddler in a backpack without an issue. It seemed to save a lot of distance versus continuing on the trail until the tree roots."
3,2019-09-01,['hiking'],"Definitely bring a pack with warm cloths for the top of you plan to beat sunrise. I was training for Nepal so I had a pack with 50lbs of appropriate gear.  

A Jet boil for coffee/tea (tip- keep the fuel warm..near your body otherwise it can have trouble lighting) and if you have a Nalgene, it makes a great hot water bottle you can hold or stuff in your jacket. 

"
4,2019-09-01,['hiking'],Scout falls is a beautiful double waterfall. The hike is fairly easy & beautiful with loads of mini waterfalls along the way. This is a great hike for kids. You could easily miss the turn to the waterfall so we made a video to make sure you don't miss it. Click on this link https://youtu.be/5iBDTVjPxvE
5,2019-08-30,['hiking'],"I loved this one. Was not hard but great scenery along the way. Not very shaded but it was overcast Ed and raining when we went and it was awesome. Make sure to climb over the big tree at the end to get there. Not a lot of sitting room at the top. And when you get past one stream, take a right to get up to the falls. Otherwise it takes you to a spot lower and you can’t get up that way. We also crossed several streams and our feet were wet. "
6,2019-08-18,"['hiking', 'bugs', 'muddy']","This was a great trail. 3 1/2 hours round trip with 2 kids, ages 5 and 8 carrying their own camelbacks. The wildflowers are in bloom so expect lots of bees and butterflies. A bit muddy in spots and lots of small creeks to cross on the way up. Lots of sun at the beginning but became really shaded and cool about half way up. The falls themselves are hard to find, we overshot them and climbed a bit more up the trail. We soon came to a meadow that had a few streams trickling down and realized the falls were below us. We went back down to the corner of the switchback where the falls are the loudest. The falls are down a trail that goes to the left, when you're going up,  where the rocks are lined up looking to block the trail. Go down this a bit and you'll see some huge tree roots to climb up, then the rocky two waterfalls are right ahead. Very cold water and breathtaking views. I'm excited to hike this again in the fall! "
7,2019-08-18,"['hiking', 'muddy']",
8,2019-08-18,"['hiking', 'muddy']","*Never actually found the waterfall up close* **This highlighted map doesn’t actually take you to the falls, but to a plateau with beautiful views! which is why I give it 4 stars. 

Beautiful moderate hike with several little waterfalls through the trail that you have to cross, very beautiful. Our 9 and 12 year old did great until we came face to face with a moose on the trail about half way up! Luckily enough people came by that we spooked him off the trail and could continue. We followed this map and it takes you to a plateau with amazing views. You can hear the waterfall from there but cannot see it. We tried a few off shoot trails on the way up, and the second one you can sort of barely see the falls. 
"
9,2019-08-16,['hiking'],"Beautiful trail, lots of wildflowers, I liked having poles and spikes available for the 5-6 snow patches that were on a slope. Have seen recommendations for sliding down snow on garbage bags; be careful as sharp rocks can be just under surface (as noted by friend who cut and broke his arm doing it as well as a ranger who has seen incidents)."
10,2019-08-15,['hiking'],Easy going fun hike! So beautiful this time of year!
11,2019-08-12,['hiking'],love this hike as you get closer to the falls the sound is amazing it almost sounds like a car
12,2019-08-11,['hiking'],our favorite hike in the area.  tons of waterfalls...my dog loved it. have to climb a few tree roots to get to the big waterfall but totally worth it. there is snow at the top and it keeps going but we just stopped at the end of the mapped trail. would say moderate terrain but not difficult at all.
