,Date,Tags,Comments
0,2019-09-06,['hiking'],Easy walk with beautiful views. Very crowded as it was a holiday weekend.
1,2019-09-05,['hiking'],This hike is amazing I see moose almost every time
2,2019-09-02,"['hiking', 'rocky']","great with kids 4,5,6 years old."
3,2019-09-02,['hiking'],"Beautiful view, really really crowded making it difficult to walk. "
4,2019-09-02,['hiking'],"Loved this easy walk around, stroller friendly path. My son (2) started in the stroller and a quarter into it, he walked because he was so curious and eager to explore. 

Halfway, was a little opening to the water where we saw a family of ducks. 

Near the picnic tables are loads of squirrels, chipmunks, and birds. 
"
5,2019-08-27,['hiking'],"nice, easy walk around the lake"
6,2019-08-26,['hiking'],"Very easy hike, and stunning scenery. 100% worth it."
7,2019-08-20,"['hiking', 'rocky', 'scramble']",Decently difficult trail with reward at the end! Love seeing the lakes.
8,2019-08-18,['hiking'],Crowded but nice .
9,2019-08-14,['hiking'],Lovely easy walk. 
10,2019-08-13,['hiking'],"I do this “hike” all of the time with my 3 year old and now 1 year old. It is super easy, beautiful views, and fun for kids (especially if you bring duck food to feed the ducks. That is the highlight)."
11,2019-08-12,['hiking'],"loved! we took the added hike to Twin Lake which was a bit steep for my kids (age 7, age 10), but they hung on there and we loved reaching the lake. on the way back down to Silver Lake, we saw a 2 point buck & two doe. Gorgeous dusk hike!"
12,2019-08-09,['hiking'],"I'm a  very over weight non-hiker, and forgot to put my sneakers on as well... this was easy peezy. Very, very busy. "
13,2019-08-09,['hiking'],Great little stroll and nice for out-of-town family and friends who are getting acclimated to the altitude. Nice to do on a weekday when it’s a lot less crowded! 
14,2019-08-03,['hiking'],Saw 2 moose great walk
15,2019-07-30,['bugs'],"it was beautiful!
I love outdoors and with little kids its sometimes hard to hike, but this one is perfect for little ones..."
16,2019-07-23,"['hiking', 'bugs', 'muddy']","It was l lots of fun.  My husband, daughter, grandson & I went. We packed a picnic lunch ahead of time and ate it there.  There was a few bugs.  My daughter & grandson got bug bites.  There is a few spots were it is muddy but that too bad.  "
17,2019-07-17,"['hiking', 'bugs']",Pretty and very easy. Lots of mosquitoes so remember to bring your bug spray. 
18,2019-07-10,['hiking'],Very pretty location. It is a very easy walk. 
19,2019-06-17,['hiking'],Great trail for families. Our 4 yr old walked it with no problems. There were only a few snow patches that were easy to cross.
20,2019-06-13,[''],"Ice is mostly melted on the water for you fishermen. DWR is stocking next week, but today the fly fishing was "
21,2019-06-12,"['hiking', 'off trail', 'snow']","This is a beautiful, easy trail. I recommend a walking stick when there’s melting snow on the path. I sank over a foot deep a few times and there were some slippery slopes."
22,2019-06-12,"['hiking', 'muddy']",It's beautiful up there but the loop trail is still covered in snow which we were surprised since it is June. The drive is still worth it though because it's so pretty. 
23,2019-06-09,"['hiking', 'snow']",This trail was a nice loop. It was covered with snow but was very enjoyable and picturesque. Definitely recommend!
24,2019-06-08,"['hiking', 'muddy', 'snow']",6/8/19 - still mostly covered in inches and inches of snow! Wear proper shoes.
25,2019-05-18,['hiking'],
26,2019-04-27,['hiking'],"The lake, boardwalk, and trails are still buried under snow as of 4/27/2019."
27,2019-03-30,[''],"Easy, enjoyable hike!"
28,2019-02-03,[''],Love this area its awesome and beautiful
29,2018-10-20,['hiking'],"Beautiful, easy, leisurely walk. 
October 19 packed snow, icy in the morning and muddy in the afternoon."
30,2018-10-14,[''],"Packed slush and ice on most of the path today, October 13. Lots of parents and kids slipping around. Some puddles in places. Bring boots with good tread or microspikes. Your feet will get wet this week. Gorgeous and sunny today, a beautiful walk as the lake begins to freeze."
31,2018-09-19,['hiking'],"Really pretty lake, especially with the aspens changing colors. Easy loop, great for kids and we will head back tomorrow with our grandson to head up to Solitude Lake from here."
32,2018-09-19,['walking'],Pleasant easy stroll.  Path is easy enough for strollers and wheelchairs.  The boardwalk is fun.  So are the Pokestops and gyms ;)
33,2018-09-17,[''],Perfect walk for family with little babies or toddlers!
34,2018-09-06,[''],Nice easy stroll. Very pretty area. Commonly see moose.
35,2018-09-02,[''],Such a quick fun nice walk. It was beautiful. Very much enjoyed it.
36,2018-08-19,['hiking'],"Beautiful lake, easy hike for kids. Flat boardwalk. Neat visitors center."
37,2018-08-19,[''],"super easy trail, great for older folks and little toddler legs"
38,2018-08-18,['walking'],A fun little nature walk with our 2 year old. We actually didn't walk around the whole thing this time. Instead we decided to do the Lake Solitude hike to test out our little guy. He did wonderful on both this walk and the hike.
39,2018-08-14,['walking'],"Easy, Fun..great for everyone and great for an easy walk. Saw some cute squirrels and a few deer."
40,2018-08-14,[''],Quick & Stroller friendly. We saw baby squirrels and chipmunks on the trail as well as rainbow trout in the lake.
41,2018-08-12,[''],"Great for little kids! Easy surfaces, mostly flat, and plenty of Marsh, forest, and shallow lake to see."
42,2018-07-30,[''],"Who doesn’t love this hike, though?"
43,2018-07-26,[''],Wonderful easy hike !!!
44,2018-07-16,[''],"Great, easy trail and boardwalk around the lake. Surroundings were beautiful."
45,2018-07-10,[''],Really nice trail with kids
