,Date,Tags,Comments
0,2019-08-30,"['hiking', 'muddy', 'washed out']","We started the trail at 8 and ended around 9:45. Overall it was a pretty okay trail. There are definitely better ones in the area. The first mile is muddy and washed out but after that the trail is in good condition. Stick to the AllTrails map, otherwise you might accidentally add an extra mile like us."
1,2019-08-28,['hiking'],"Such a gorgeous trail that offers a variety of meadows, forests, views and small lakes. Unfortunately, there are motorcycle's that race through on these trails and it can be dangerous if you have a dog. Also, my buddy and I were prone to injuries on this hike despite it being moderate and us being experienced. Bee stings and scratches."
2,2019-08-11,['hiking'],This is my first time hiking a trail shared with dirt bikes and I hope to avoid this experience going forward. Had a single track aspect to a lot of it with loud dirt bikers buzzing through. It was pretty but not peaceful.
3,2019-08-02,"['hiking', 'muddy']",Good hike but definitely longer than the posted 4.7.  I logged 6.75 on my Apple Watch. We did the whole loop plus the walk from the bigger parking lot by the reservoir.  We followed the map marked on the app but half of it was either mud Spring trail or Mill Canyon so maybe that’s why it was longer. Just followed the red line.  Trail was muddy in places and as others have said. Some motorcycle riders but not many.
4,2019-07-12,"['hiking', 'bugs']",
5,2019-07-08,['hiking'],"Love this hike. Easy to get to for a couple of hours of hiking in beautiful AF canyon.  I prefer starting on the south side of the loop (near the dam) because the ascent isn’t so steep. An hour or so into the hike is a nice alpine meadow.

I agree that it seems to be taken over by motorcycles, which are destroying a once peaceful trail, especially on the mill canyon trail. To avoid the motorcycles hike the south side of the loop, enjoy the meadow, and then return down the same trail. "
6,2019-07-07,['hiking'],In great condition now.  A beautiful hike - especially with everything still so green! 
7,2019-06-22,"['hiking', 'muddy']",
8,2019-06-22,"['hiking', 'muddy', 'rocky']","This is a great hike for all types of hikers. Did it twice within a week with two different groups of people and everyone enjoyed it. There is a bit of elevation at the beginning but it’s not hard. The views of the meadows at the back of the loop are dreamy and totally worth it. Easy hike that’s not too crowded, although there are lots of dirt bikers which gets annoying and scary when they ride like idiots and don’t exercise courtesy to hikers."
9,2019-06-03,"['hiking', 'muddy']",We did this backward since our map didn’t load right away. This is a great short hike. Runoff created a lot of water crossings. As we reached the end we decided to cross next to the lake. This was somewhat of a mistake. It was muddy and slick in most places. Really have to watch your step otherwise you’ll slide down straight into the water. This wouldn’t be a problem when dry. We did this with 2 little dogs and an 11 and 14 yo. We will be back to do it again as this is a beautiful little trail.
10,2019-05-31,['hiking'],Most of the views are from the reservoir but it’s a nice trail. We took a shortcut as we didn’t have quite enough time to complete the actual loop. There was a lot of snow runoff over the trail in a few places but it was do-able.
11,2019-05-14,"['muddy', 'off trail']","Went up May 13th, 2019. The path was really mud and snowy. it was hard to find the path because it wasn't clearly marked. once we got to the dead end that was part of Timponookee we decided to turn back so we don't get lost."
12,2019-05-04,"['hiking', 'muddy', 'snow']",
13,2019-03-01,"['hiking', 'snow']",
14,2019-02-09,"['snowshoeing', 'snow']",
15,2019-01-05,['hiking'],The trail was traveled enough and the snow was so packed that we never used our snowshoes. Hiked a little past the Mud Springs Trail junction. Started just as it was getting light and watch the sunrise lite up the mountains behind us. The morning light made the mountains look incredable
16,2018-08-20,['hiking'],The trail on the back side of Tibble Fork is no longer a nice hike. The old trail is gone or only partly there.
17,2018-07-24,['hiking'],"This trail has been taken over by motorcycles and, particularly on the backside, is terribly worn down.  It is not a peaceful hike as it is a very constant, steep descent punctuated by motorcycle traffic. 

If you start from the dam and hike to the top, it is more peaceful though we were passed by a group of 3 motorcycles. It was a steady ascent but not uncomfortable uncomfortable."
18,2018-06-29,['hiking'],"Very Busy Trail, lots of dirt  bikes, trail needs to be maintained but it is difficult to do so because the type of dirt. Some parts of the trail are missing, easy to get lost or loose track of the trail. Nice views of the lake"
19,2018-06-19,['hiking'],I had the hills to myself. I can see some trail work has been done. A good uphill climb to a gorgeous open meadow. Then a good drop down into the steams feeding into the reservoir.
20,2018-06-16,['hiking'],"Hike in early. You'll beat the crowds and only have to share the trail with a few cyclists and dirt bikers. 

Beautiful meadow about 1.5 miles up from the counter clockwise route on the west side. I recommend starting there too. Take a book and some snacks if you have some time to spare in the meadow, especially if you go early... so peaceful and beautiful. Loved this hike, even with all the bikers."
21,2018-06-04,['hiking'],"HEADS UP....this map is the old trail! We kept getting lost and there were so many break offs on the trail with no signs directing which trail was Tibble Fork. 
We talked to a ranger and he helped direct us and let us know the map was wrong. They re did the trail last year and have not put signs up yet for it (so said the ranger).
It was still beautiful, but the trail was frustrating."
22,2018-05-27,[''],"Really pretty hike, but awfully easy to take a wrong turn. :S We started on the west side, and once we got about a half mile up we went left instead of right and ended up on a really pretty forested trail that got us to the same end point. Sorry to the people we passed going the opposite way, because we gave you the directions to the path we took that apparently wasn’t the right trail. It only ended up being a couple miles that way instead of 4. Guess we’ll have to go back to hike the right way sometime."
