,Date,Tags,Comments
0,2019-08-29,['hiking'],The flowers... Oh the flowers 
1,2019-08-11,['hiking'],"Great little hike, my 6yr old and 4yr old enjoyed it as well. Nice shady areas. Beautiful views all around. "
2,2019-07-16,['hiking'],Really a fun trail.  Lots of wildflowers.  The highway leading to Tony Grove Lake is beginning to have some tree and shrub growth on the side of the road encroaching on the shoulders for 7 miles so be careful on your way up.
3,2019-07-14,['hiking'],Non-strenous stroll around a small reservoir. The wildflowers were beautiful!
4,2019-06-28,['hiking'],Awesome place to take the kids! 
5,2019-06-26,"['hiking', 'muddy', 'snow']",Soo gorgeous up there!! It was a cool 50 degrees and there was a small snow flurry for a few minutes while we were there. My kids (2 and 8) fully enjoyed themselves. we will definitely be back again!
6,2019-06-22,['hiking'],"The road is finally open! There are substantial patches of snow at the south end of the lake, but the trail seems to be open. The forest is carpeted with little yellow glacier lilies."
7,2019-06-22,"['hiking', 'muddy', 'snow']",starting to get busy already. road is open all the way to the lake  some snow patches on the trail and a little muddy but the trail is open and it's beautiful
8,2019-05-19,['hiking'],"We were surprised to see that we couldn’t even get to the parking lot to hike this trail. We had to park our car about a mile and a half down and hike to the lake.  The road was completely covered with snow.  Hiking boots, shoe grippers and possible snowshoes are still good to have to get to the lake and the lake is completely covered with snow and ice.  There is still enough snow that people were snowmobiling in this area.  Despite the unexpected, it was still beautiful and turned out to be a more moderate hike due to the conditions.  We will definitely come back in a month or so."
9,2018-10-21,['hiking'],"Absolutely gorgeous, even with most of the leaves having fallen. Lake is crystal clear and the surface is like glass. Pretty busy given the weather, but more than enough space to “get away” from others. The far side trail along the lake was muddy, but doable. Just wear hiking boots, not sneaks and you’ll be fine. 

My dog loved splashing and running, others with well behaved pets as well.

Bathrooms as clean as can be expected and odor was minimal. 

Parking was accessible and had enough to go around. 

Road up is a little precious is some areas bc of the shrubs intruding onto the drive path on the sharp turns. 

Will be going back in full winter and spring to enjoy more!"
10,2018-09-06,['hiking'],This was an amazing hike to do with a 4 year old and 2 year old. We went during June and the weather was wonderful. So many wildflowers to look at. We will definitely be back!
11,2018-08-21,['hiking'],"This is a great hike to do with kids (mine are 15, 13 5 and 5).  Beautiful scenery, some rock scrambling, never anything super tricky.  On one end of the loop you can access the lake and play if you want.  So many birds and wildflowers.  Restrooms at the trail head.  We really loved it."
12,2018-08-02,[''],"Did a herb walk at peak flower season.
Most excellent."
13,2018-07-30,[''],"so great for family day, beautifully floral time.
dogs love it...kids love it."
