,Date,Tags,Comments
0,2019-08-23,['hiking'],Hard to get to because of closed road. Very hot and steep. First and only time I will do this hike haha.
1,2019-08-06,['hiking'],I would never recommend this to my worst enemy
2,2019-07-30,"['hiking', 'no shade', 'scramble']","First off when I selected this trail I assumed that the Y was some sort of geological feature. It is in fact a giant concrete Y made by BYU students over 100 years ago. It’s pretty cool, but it’s not the peak of the mountain.

Reading some of these reviews, I think it’s easy for you folks out west to take for granted how beautiful your mountains are. Some folks said the views weren’t that great. I think it’s definitely worth the climb.

This trail is all uphill and it’s pretty steep. For an East Coaster like me who is not used to the elevation it’s pretty challenging."
3,2019-07-24,['hiking'],felt like absolute crap. Quality times. 
4,2019-07-23,"['hiking', 'no shade']","I rather enjoy this hike because you see all of Utah County. You do, admittedly, do this more to say you did it than because it’s beautiful scenery. There’s a ton of history and heritage that goes along with the Y and it’s something everyone should do at least once. Also, take some time and continue on past the top of the Y, it instantly gets way more pretty and less crowded. Bring lots of water!"
5,2019-07-14,"['hiking', 'no shade']","You haven't been to Provo of you haven't hiked the Y, but once you've done it once you've no need to do it again. Unless you want to run it--then it's wonderful exercise. Not as exciting or beautiful as other nearby hikes, though."
6,2019-06-21,"['hiking', 'no shade']","Kind of boring, honestly. And hot because there was no shade. Just did it to say I did."
7,2019-06-19,"['hiking', 'no shade']","nice little trail. its pretty steep and theres no shade, but it's one of those hikes everyone should do at least once."
8,2019-06-03,[''],"Worth doing once. It's just really steep, and not terribly pretty"
9,2019-05-29,"['hiking', 'no shade']","This is the classic Provo hike but as is not that great as far as hikes go. You have the exact same view of Utah valley the entire way up,l so the only reward is seeing white plaster rocks up close that form the famous “Y” on the mountain. 

Don’t get me wrong, this is a great family hike. It’s simple (although steep), short, and the trail is well maintained and marked. 

I just feel like it is WAY overrated as there is nothing fun during the hike (no changes in scenery) and no reward at the end of the hike (like a waterfall or previously unavailable view). If you continue all the way up to the peak, though, you do get those things."
10,2019-05-24,[''],Steep switchbacks all the way up. it's a leg burner for sure.
11,2019-05-16,['hiking'],"Fairly steep, short in distance, and rewarding!"
12,2019-05-16,"['hiking', 'rocky']",Love this hike when I’m short on time and want some good exercise and great views. 
13,2019-05-06,['hiking'],Great short steep hike 10/10 would recommend.
14,2019-05-04,['hiking'],Steep and not so long. Great view in the top! My boys love do this hike!
