,Date,Tags,Comments
0,2019-07-09,['off road driving'],"7/9/19: Drove up from Farmington. Road was gated at 9.2 miles (8,500'), which was a bummer, but it was still a nice drive with fantastic views. Great escape from the heat, too. Road was in great condition, just a few washboarded sections that made things loosey-goosey. Also had to be careful on the narrow shelf road stretches with steep dropoffs. Had fun wheelin' around in the Farmington Flats area, which had some deep mud puddles. 7/10/19: Drove up from the Bountiful side and made it 11.2 miles. A huge snow bank blocks the road just past the large viewpoint area. It's deep and sloped off camber, so there's no possible way to drive over it. Incredible views nonetheless. The road from Bountiful is much rougher than the Farmington side."
1,2019-06-21,['off road driving'],One of my favorite local offroad areas but alot of the trail is still blocked off by a snow drift in the road.
2,2019-05-29,['off road driving'],"As of three days ago, only 3 miles where open. Easy trail on ATV but a waste of time given it’s locked up right now. Will try again in August when I return home. Maybe then more will be open. "
3,2019-04-18,[''],easy trail. this time of year you can do a quater of the trail because it locked up. gonna go back in a month and will give new rating. still had a blast in all the mud holes
4,2018-10-13,['off road driving'],Fairly easy dirt trail drive. The trail rides along steep drop-offs for 40%-50% of the trail. We did the trail on Oct 7th and there was about an inch of snow covering the trail up towards the peak and it was windy but all was great. We were also in the clouds so visibility wasnt great. The views with the colorful trees were amazing!
5,2018-09-24,['scenic driving'],"Awesome trail, I drove up to the top with my ram 1500. There are some parts I get pretty sketchy. I’ll do than that the views are amazing."
6,2018-09-07,['off road driving'],Took my 2018 RAV4 through the trail! Such an awesome drive amazing views! Totally worth it :)
7,2018-09-06,['off road driving'],"Amazing views. Lots of fun if you like driving fast and drifting turns. Although slow down for the blind turns which there are a lot of. 

A little sketch in some places with there not being a shoulder and a death plunge off the side of the trail. Barely wide enough to pass in some sections. If you start in Farmington just to get to the top is very easy. I saw several mini vans on my drive. But, if you go south at the top it gets a little bit bumpier. Anything with a little clearance is totally good to go!

Note there is no target shooting allowed in the area. I did see a sheriff on the trail at the top. 

I would have given it 5 stars except for all the traffic. Lots of other cars and a ton of ATVs as well."
8,2018-06-29,[''],"Easy trail, but holy cow the views are incredible.  This was the trail I used to break in my new (to me) FJ Cruiser and it performed perfectly.  I saw some cars going up the first half of the trail, but when you see the fork to Francis Peak, that's where they are probably turning around."
9,2018-06-20,['off road driving'],"This was my very first off-roading experience in my new-to-me Outback. The Farmington (north) side had been recently graded and was fairly smooth. The Bountiful side was much bumpier and rutted but still not a problem. The peak is at 9k feet elevation so be prepared to get out of breath. To top it all off, we caught a gorgeous sunset while at the top. Absolutely gorgeous!"
