,Date,Tags,Comments
0,2019-09-04,['hiking'],"This is a short, but productive hike if you want to burn a few calories but dont have time for a longer trip. the first mile is a gradual uphill walk, a few upper-grade places and good views.. the last .2 to the waterfall I found to be more difficult to walk, as its steeper, and the path isnt as friendly, but you do get rewarded at the end, not only to see water coming down, but an aura that you are somewhere more tropical..that said, the steepness of the hike to the actual waterfall is like the price of admission to see the 2-headed sheep at the carnival, you know its worth taking a look, but probably not worth going back to!"
1,2019-09-01,"['hiking', 'rocky']",really enjoyed this hike. we went early and were the only ones there for a while. 
2,2019-09-01,['hiking'],"This hike is definitely not hard, I could see moderate. HIGH traffic all days of the week. Don’t go on unless you don’t mind a busy trail. "
3,2019-08-30,['hiking'],"Great hike! Pretty steep climb so make sure you’ve got proper shoes and lots of water. Overall, just the right length for the climb. Rewarding treat at the top with the cool waterfall!"
4,2019-08-27,"['hiking', 'rocky']","Great hike, starts off kinda slow but then takes you straight up for the second half. Cool waterfall and the top with even more fun climbing and great views. 
"
5,2019-08-24,"['hiking', 'rocky']",Enjoyed this hike while in Utah on a business trip. The waterfall was beautiful!
6,2019-08-16,['hiking'],I’m a little put off by all the rules and regulations... “Cool drinks for paying customers only” kind of takes away from the beauty of the hike. It’s a difficult trail and I love the waterfall at the end.
7,2019-08-15,"['hiking', 'rocky']",We tried trail running up to the waterfall and it was too rocky for us but overall it was a great hike.
8,2019-08-11,['hiking'],"More moderate than hard based on the short distance, but pretty at the end."
9,2019-08-04,['hiking'],"Steep, some scrambling, high traffic, great waterfall at the end."
10,2019-08-02,"['hiking', 'rocky']","Literally as good as it gets- one of the Best hikes I have ever been on. The pictures of this trail and waterfalls do not do it justice... completely, absolutely, totally worth the effort you have to put in."
11,2019-08-02,['hiking'],Awesome trail! Minor tree coverage. Far worth the misty falls and the view from the top. Slick in the snow months. 
12,2019-07-29,['hiking'],"I went on this trail multiple times because I love it so much. It starts out pretty flat, but the end of the trail, near the waterfall, is very Rocky! Bring lots of water and sunscreen. There is a large chunk of the hike in the sun, so it is easy to get dehydrated. I saw a few lizards but no snakes."
13,2019-07-27,['hiking'],Good trail that works the leg muscles for sure. Beautiful scenery along the way. My only complaint is all the dog poop. 
14,2019-07-24,['hiking'],"Did this hike on July 15th, 2019.  Left the trailhead about 8 am.  Not too crowded.   Not too hot yet.  Good hike.  Definitely a little bit of a leg burner,  but  not too tough.   Very nice waterfall.   Absolutely worth the effort. "
15,2019-07-24,"['hiking', 'rocky']",
16,2019-07-23,"['hiking', 'bugs', 'no shade', 'rocky']","Did the trail last wk around 6pm, very hot and lots of snakes around the gate. Once we got to the falls and cooled off it was nice till we heard a mountain lion scream from above the falls we think "
17,2019-07-22,"['hiking', 'no shade', 'rocky']",I recommend coming to waterfall canyon off of 29th trailhead lots of shade and get water before seeing the waterfall!! 
18,2019-07-21,"['hiking', 'no shade', 'rocky']",
19,2019-07-20,['hiking'],Lots of water at the waterfall
20,2019-07-17,['hiking'],great view. really steep
21,2019-07-16,['hiking'],Fun hike. Short but steep. The waterfall is great though. Very crowded. 
22,2019-07-16,"['hiking', 'rocky']",This trail is tough at the beginning. There is no shade for the first mile or so and it’s bland as far as the surrounding area. After the first mile you meet a stream that is surrounded by trees. The trees provide shade as you follow the stream up to the water fall. 
23,2019-07-16,['hiking'],"Did this hike for a second time this summer to watch the sunset and It was the most beautiful view. Got really close to the waterfall to cool off and it drenched me, however, it felt so nice on the way down. "
24,2019-07-15,"['hiking', 'no shade', 'rocky']",
25,2019-07-13,['hiking'],"The beginning is boring because it goes along the Great Western Trail, but once you get into the trees, it is shaded and beautiful. There are several places that you cross over the stream. it is correctly marked as hard because of the steepness. although the water fault is spectacular, it was a little disappointing that there was no pool of water that you could wade in."
26,2019-07-11,['hiking'],Absolutely worth it to see the waterfall!
27,2019-07-10,['hiking'],"Did this trail with some friends on a sunny Thursday morning. Not very much shade the first mile or so. It’s a steady incline the whole way up but the waterfall at the end is beautiful and helps you cool off. Warning: we did see a rattlesnake at the very beginning of the trail, but that was the only one we saw. "
28,2019-07-05,['hiking'],"Only the slightest water on the trail, feet stayed dry the whole way up."
29,2019-07-03,['hiking'],"LOVE this trail. It is steep at parts, but is totally doable (my kids have been doing it for a couple years now (6&10). This waterfall is seriously amazing, I especially love it when it’s frozen!"
30,2019-07-03,"['hiking', 'muddy', 'rocky']",
31,2019-06-29,['hiking'],Gorgeous waterfall. Steep hike but very doable if you’re not in a rush. 
32,2019-06-29,"['hiking', 'rocky']",Good trail! You do get to walk through some water so waterproof shoes will save some discomfort. It does get pretty rocky towards the end and is a little steep. However numerous kids are on the trail so it can be done! The waterfall was worth it! Beautiful pictures. 
33,2019-06-28,"['hiking', 'rocky']","This wasn’t an easy trail but was very doable! Rocky and steep at points but very fun and scenic . Saw quite a few kiddos on the way up so don’t be *too* swayed by the “difficult” rating, but keep in mind it is slippery at times. The waterfall at the end is amazing and so, so worth the hike! 10/10 would hike again. "
34,2019-06-27,['hiking'],great hike. has some good climb to it and the waterfall at the top is amazing. 
35,2019-06-27,"['hiking', 'muddy', 'rocky']","Though this trail is fairly short, it is also a bit tough. The first half is pretty easy and flat, but the last half is quite rocky and steep. This year, with it being a wet winter, the trail was covered in water for many parts so bring shoes that can get wet! This being said, the waterfall is well worth the hike! It is one of my favorite hikes in the area! Especially when the waterfall is flowing like it is right now."
36,2019-06-26,"['hiking', 'bugs', 'rocky']",
37,2019-06-25,['hiking'],This is beautiful end of June 2019 and we still had a ton of runoff so the waterfall was beautiful totally worth the hike.  At times we were walking through a stream as well due to Roman off.  This is NOT an easy hike but worth it.  Our little Yorkie did it too but he is a super active dog.  We heard there were a possibility of snakes but we didn’t see any. Super fun hike a must do!!
38,2019-06-23,['hiking'],Beautiful hike! Hiking by the fast flowing water was outstanding. Lots of unmarked forks for first time to area. The views of valley are stunning! Lots of shade. Will head back soon. 
39,2019-06-22,['hiking'],Tough but fun!
40,2019-06-21,['hiking'],"If you just need a shirt but intense work out, this is your trail! The first 1/4-1/2 of the trail is unexposed, so no shade. Dogs love the year round creek it follows too! "
41,2019-06-17,['hiking'],Beautiful trail there's so much wildlife aroun plenty of shade til you get to the waterfall but it is beautiful!
42,2019-06-16,"['hiking', 'muddy', 'private property', 'rocky']",
43,2019-06-16,"['hiking', 'private property', 'rocky', 'scramble']","harder trail, difficulty is because of steepness and scrambling up rocks at the top. beautiful trail. the waterfall and scenic views make it all worth it."
44,2019-06-15,['hiking'],Harder as you get to the top but beautiful!
45,2019-06-12,"['hiking', 'private property', 'rocky', 'scramble']","AMAZING water flow right now! Probably one of the coolest waterfalls I’ve hiked in Utah! Definitely hard and my Apple Watch clocked this as a 4.29 mile hike round trip. My 5 year old did this, but I had to carry her through the streams and up to the top, I wouldn’t rate this as a kid friendly hike. "
46,2019-06-12,"['hiking', 'rocky']","Great trail with a rewarding finish. There are some parts that have water over the trail, so your shoes will get wet. "
47,2019-06-12,"['hiking', 'rocky']",
48,2019-06-09,[''],"Great hike, lots of water this year."
49,2019-06-08,"['backpacking', 'rocky']",A little difficult but well worth it. Highly recommend it! 
50,2019-06-08,['hiking'],Very beautiful trail! It’s definitely worth it!
51,2019-06-08,['hiking'],"very nice trail, though very wet right now"
52,2019-06-08,"['hiking', 'muddy']",Beautiful but steep hike. The waterfall is flowing heavily and just stunning. Great views of Ogden and is well worth the effort! 
