,Date,Tags,Comments
0,2019-09-02,['hiking'],"The first 4 or so miles of this trail are great. Lots of shade/cool/plenty of water. However, the last half is pretty brutal this time of year. It’s very dry and hot. We got into a pretty stressful situation with our dogs doing this trail after not being aware of the fact that it’s very very dry once you leave the Icebox area of the trail. If you do this trail this time of year make sure you know this and are prepared with dogs that are used to heat stressful conditions and that you have PLENTY of water. We were carrying about 5-6 liters of water and still got close to running out from trying to keep the dogs cool. Probably better used when it’s significantly cooler outside especially since things are pretty dead and the views are not particularly spectacular. The trail is also marked wrong in two places, as you leave the icebox the trail is blocked and leads you up some switchbacks instead of going straight. As you come to the second road, you should go right towards the bathrooms instead of left at the head of the marked trail.  "
1,2019-08-08,['hiking'],I really enjoyed taking the Icebox part down the loop. It was so cool and refreshing! This hike was a bit easier than I anticipated... it took about an hour and a half. The creek was beautiful and the jaunt through the tall grass felt like Elysium.
2,2019-07-31,['hiking'],Trail was good and you can see a lot of the improvements they are in the middle of on it.
3,2019-07-20,"['hiking', 'rocky']",Ice Box trail is the best part. It is along the creek and in the shade.  About 2 miles from the trailhead going along the ice box trail is the only part that is worth it. Very beautiful and not too difficult. 
4,2019-07-18,['hiking'],I would recommend this trail. It has plenty of shade and areas to rest for picnics or just enjoying the beautiful nature. 
5,2019-07-12,['hiking'],Great for dogs and beginner hikers! There can be wildlife on the trail so mind your step and leave nature alone. 
6,2019-06-02,"['hiking', 'bugs', 'muddy', 'rocky']",Did this today. Great trail! Area by the river is awesome. Other side of the loop is british countryside-esque. At least 3 mi is thick mud but hikeable. Dog got a leech on her at one point. We’re not crazy hikers and were able do this in under 4.5 hrs. Beginning-ending 1mi is really hot and exposed but the rest is shady and nice.
7,2019-06-01,['hiking'],"If you are interested in this hike due to the view associated with the front page picture you might want to reconsider. I am not sure where this picture was taken. Nice hike but you are not rewarded with many ""great"" views. "
8,2019-05-29,[''],Great trail! Pretty muddy in spots but still very enjoyable.
9,2019-05-25,['hiking'],Great trail 10 minutes from Ogden. Follows the creek all the way through the canyon. 
10,2019-05-19,"['hiking', 'blowdown', 'muddy', 'washed out']",Extremely muddy once you get down to wheeler creek from the parking lot
11,2019-05-10,['hiking'],cut it short on snowbasin road but there's some nice meditation spots. Friday afternoon was empty. cheers!
12,2019-05-10,"['hiking', 'muddy', 'washed out']",It was pretty muddy on the Ice Box Canyon loop and part was starting to wash away.  Still a great hike!
13,2019-01-20,"['snowshoeing', 'snow']","Very nice trail with gentle incline. Be careful where you park though! They were towing cars at the trailhead for parking in a ""fire lane"". There is no additional parking on the shoulder of the narrow canyon road allowed, so arrive early. It seems to be a busy trailhead, although there is enough trail that you could still get some quiet time to your self."
14,2018-10-21,['hiking'],Beautiful fall hike.
15,2018-09-03,['hiking'],Pleasant trail with nice views. Heavily traveled though withs lots of bikers who you constantly need to jump out of the way for.
16,2018-08-26,['hiking'],"This is part of network of trails and you can do all kinds of different loops, out and backs, or even point to points using different trailheads. You would be wise to have a map. There are at least 2 other AllTrails entries for parts of this network. It 's a nice setting. The trails are used by mountain bikers, so they are all very easy to hike with no super steep parts. In places it is really a road. I started at the trailhead off of Rt 39, right by Pineview Resevoir, as shown here. For some reason, the trailhead looked like a homeless encampment this morning."
17,2018-08-15,['trail running'],Beautiful trail!!
18,2018-08-06,['hiking'],"This hike starts off next the river but looses it about 1.5 miles and it gets hot! We started in the morning but by afternoon there wasn't a lot of shade. I was confused by the trail markers, I was looking for wheeler trail but in the middle of the hike all you see are signs for Maple or icebox. I just kept going south in hopes of going the right way. We didn't make it to the end because we ran out of time, maybe someday in the fall."
19,2018-08-05,['hiking'],Nice and cool along the creek.
