,Date,Tags,Comments
0,2019-09-03,['hiking'],"Great trail! Not difficult, but takes a few hours! "
1,2019-09-02,['backpacking'],Was Beutiful and not that bad. The last mile into white pine in a little rough if you don’t backpack a lot. And coming out is a little worse. But other than that it was awesome the Entire way. With breathtaking views once you get to white pine. 
2,2019-08-25,['hiking'],"Great hike! Beautiful views! We missed the peak of beautiful flowers by a week or 2 but there were enough left to make it worth it. There were some steep sections of the trail but enough flat sections to give us relief. Our reward at the end was a gorgeous lake surrounded by majestic, steep 1,000 foot, limestone cliffs (our best estimate)!"
3,2019-08-19,['hiking'],bears
4,2019-08-19,['hiking'],"Loved it! Beautiful views. Surprised to see a dozen cows grazing. Crossed the creek a few times. 6:30-9:30 am on Monday morning, late August- no other hikers. 
Took us 80 min to get to the lake. Spent 20 min there. Took us 80 min to return. But we move quick. 
The first half of the return is the steepest!
Great trails. Marked well. "
5,2019-08-11,['hiking'],"Great hike, I really enjoyed it.  The lake is definitely not a letdown once you get there, quite the opposite.  Very scenic.  There were a good number of people mildly complaining about having to hike back up from the lake before the trail drops back to Tony Grove.  I did, too.  It's nothing bad.  The high point is 8,800 ft, so maybe the altitude was getting some of us a bit.  Still, it's a great hike and well worth it, I absolutely will do it again.  Coming back to Tony Grove, you couldn't ask for better trail conditions.  After the high point, it's downhill to you can step it out and make good time on the return. 
 It's not steep enough to be hard on knees and ankles, it really is just about the ideal slope.  

One thing:  I don't understand the reviewer who stated that there's very little shade.  It's alpine forest, there's shade everywhere.  In most places, just step 4 feet off the trail and you're in shade.  If you're in an open area, shade is never more than a couple hundred yards away."
6,2019-08-10,['hiking'],Great hike and camping spot. Steeper coming back
7,2019-08-09,['hiking'],"Super scenic, not too long, and minimal elevation gain. I made a video of the scenery here:
https://www.youtube.com/watch?v=RcFkZHVr9pQ"
8,2019-08-05,['hiking'],"Fantastic hike. The views were great, and it was easy to find. The roads leading to it are very maintained, and everything is well marked. A decent amount of shade cover. Only one very steep section. Wouldn’t recommend for biking unless very very experienced. We completed it in around 3.5 hours. "
9,2019-08-04,['hiking'],"This is a pretty great trail!! There isn’t much shade though, so you might want to A) hike it in the fall when it’s cooler. B) leave really early in the morning C) go backpacking up there in the morning when it’s still cool, and then set up camp and go swimming in the lake. There are multiple fire pits and places to hang hammocks or put up tents up there so you could then stay the night and hike out the next morning. This is definitely a trail you’ll want to try though. It reminds me of the Tetons. The lake is absolutely gorgeous."
10,2019-07-27,"['hiking', 'rocky']",
11,2019-07-25,['hiking'],Awesome but very little shade. Much cooler temps though so it didn’t bother us!
12,2019-07-23,['hiking'],The flowers are looking so good right now!
13,2019-07-22,['hiking'],"Wonderful Trail, a little bit of descent and climbing but nothing outside a ""moderate"" level. Plus so many wildflowers this time of the year!! There's plenty of shade but also definitely a lot of sun. "
14,2019-07-22,['backpacking'],"got to the trailhead at about 16:00.  The parking was starting to clear from the Saturday Tony Grove day users.  Parking is $7 cash or check.  I tend to be a slow hiker, but I made it to the lake just before 19:00, set up camp and enjoyed dinner with a beautiful sunset. Overnight, it was a bit chillier than I had expected, which left me wishing I had restocked the hand warmers in my pack.  I packed up and hit the trail back on Sunday, again taking it slow and enjoying the amazing views. I made it back to the car in about 2.5 hrs.  splendid trip. "
15,2019-07-17,['hiking'],"Great trail. Based on my gps, it ended up being about 4 miles in and 4 miles out. If you go up on a weekend, I’d suggest going early, as the parking lot fills up quickly. We had to wait a few minutes for a spot to open up. But the trail was fantastic and views were gorgeous!"
16,2019-07-15,"['backpacking', 'muddy']","This was a beautiful trail and perfect for backpacking in. Unfortunately we got stuck in a rainstorm about 2.5 miles in there was only hill to set up camp, but we did and waiting out the storm. Once it was over we packed up and made it to the lake. It was beautiful and worth it!  There are great camping spots, but a lot so close to the trail. If you look more there are some further off the trail. "
17,2019-07-14,['trail running'],trail has a little bit of water on it. otherwise great
18,2019-07-13,['hiking'],"One of my favorite hikes in Utah. Gorgeous meadows, gradual elevation gain, tons of panoramic views, the lake is also outstanding. Lots of good spots to camp near the lake. Set up a hammock and took a nice lunch. The way back from the lake is a little bit steeper than the way in but definitely manageable. The weather snuck up on us quickly so I’d recommend always having a jacket. Even in July it got cold fast. "
19,2019-07-04,['hiking'],"Still a little bit of snow in a couple spots on the trail, but definitely manageable. We tried biking it and had a blast! It’s a pretty difficult ride. I would suggest hiking it for most people. "
20,2019-06-29,['hiking'],good as usual
21,2019-06-29,"['camping', 'bugs', 'muddy', 'snow']","Trail conditions were excellent (June 29 and 30, 2019). Nobody with appropriate footwear will have any problems with the small amounts of snow still on parts the trail or the mud that the melt has created. Campsites at White Pine Lake are clear and free of snow and mud, although there are still patches of snow between campsites. Plenty of running water for purifying/pumping. Hordes of Boy Scouts have ensured firewood is pretty sparse around the campsites, but there's tons of fallen deadwood along the trail on the way in. Bringing a hatchet or camp saw will make getting wood pretty easy. Mosquitos, flies, and insects of all sorts are out in full force, so bring bug spray!"
22,2019-06-26,"['hiking', 'muddy', 'snow']",
23,2019-06-22,"['hiking', 'muddy', 'snow']",Hiked this with my brother this afternoon. (6/21/19) We’ve both been before and loved it. It a bit earlier in the season so lots of snow but we were able to make it all the way back to the lake without our feet getting too wet. If you go this early the trail isn’t always visible so I’d recommend making sure you have the app open so you can make sure you’re headed in the right place.
24,2019-06-19,['hiking'],My all time favorite trail!
25,2019-06-15,"['hiking', 'muddy', 'snow']","The parking lot is accessible now. Still a lot of snow on the trail in places. We got almost to White Pine Lake, but turned around because we had traveled along ways through the snow already. We will be back to complete this trail as soon as it is melted and less muddy from all of the snow melt. Naomi Peak Trail is still covered in snow as well. Trails are possible right now with snowshoes."
26,2019-06-10,[''],"A great trail, but the road is still snow covered with no access to the parking lot today on (6/8/19). So maybe come back in a few weeks to experience this beauty! "
27,2019-05-10,['hiking'],"Very pretty and a nice spot for an overnight backpacking trip at the lake. 
If you want to stay 2 nights, I recommend heading back up the trail and all the way up to Mt Naomi. 
Both trails are fairly popular but we have always found a nice spot by the lake to set up tents!"
28,2019-05-09,['hiking'],"Did this hike yesterday (6.24.19). Absolutely gorgeous and stunning all around. There is still quite a bit of snow and mud to get through, so my boots were totally soaked. But it was absolutely worth it. 
Got lost at one spot where the trail takes a turn (right) and descends down the mountain. I think it is the steepest descent. The app helped find my way back to the trail. The White Pine Lake is gorgeous! Wish I could stay there longer. "
29,2019-04-10,['fishing'],"Pretty nice trail. Used quite frequently so you won’t get lost. The fishing down there at least on dry files or streamers is fantastic; the Brook Trout hit and fight hard and are really pretty. The only problem is that the hike back to Tony Grove is a little bit difficult. Anything but that, it’s worth it for the fishing."
30,2018-09-16,['hiking'],One of my favorite hiking spots.  The scenery is amazing!
31,2018-09-10,[''],Hiked it with my 2.5 year old and some friends it was amazing! A few sources of water along the way and peaceful.
32,2018-09-10,[''],"Hiked this yesterday with my daughter. The climb out was pretty strenuous. But, well worth it. Very beautiful."
33,2018-09-08,['hiking'],"Very nice trail.  Elevation gains aren’t too bad. The hardest Park is coming back up through the switch backs in the fir forest right before you get to the lake.  Beautiful views. The trail is actually 8.2 miles according to my gps, if that matters. Trail is clearly marked.  Bring plenty of water/ sunscreen and hat if doing a day hike because there are large portions of the trail with no shade.  Great/little hike!  The gps took us to wrong place. Just follow Tony Grove rd all the way to the end. It was $7.00 to park."
34,2018-09-06,[''],We had the whole hike and lake to ourselves. It was beautiful
35,2018-09-02,[''],pretty easy trail between 7.5-8 miles. mostly flat. the hardest part is going back up once you get to the lake! there were TONS of cows and sheep everywhere though so watch out 
36,2018-08-19,['hiking'],"Went for a quick morning hike, great trail, lake is beautiful! Paved road to nice parking lot."
37,2018-08-18,[''],"The spectacular wildflowers and lovely lake at the end of the trail make this one a ""must do"".  Went on a Saturday, and had lots of company.  Low on solitude, but high on friendly people enjoying Mother Nature's gifts"
38,2018-08-13,['backpacking'],A great 1 or 2 day backpacking adventure! My wife and I did a 2 day trip 20 years ago and I just took 2 of my kids (wife was nice enough to stay back with the younger kids). Great wildflowers and not too difficult with a pack. Don't count on fish for dinner as they seem to be picky. This area seems surprisingly popular for fishing 4 miles in.
39,2018-08-08,['backpacking'],Backpacked to this beautiful spot. Worth it.
40,2018-08-05,[''],"Backpacked this trail with a group of 12, ranging in age from 11 yrs old to 50, and was a nice variety of difficulty for all. Enjoyed the campground and cooler/cleaner air. Plenty of trees for setting up hammocks as half the group opted to do that. Plan on 2 hrs each way. Many wild flowers, but a couple weeks sooner would've been better. Overall, great hike."
41,2018-07-29,[''],"What a fantastic backpacking trail to take four young teenaged grandkids. We had a wonderful two days and a great hike. The weather is fantastic in July, I was even too warm for sleeping!"
42,2018-07-27,[''],Only one hill on the way back but otherwise an easy and beautiful hike. Surprised at all the wildflowers. Lake is really pretty.
43,2018-07-24,[''],"This was a good, moderate hike in length and difficulty. The flowers were beautiful! Would be a fun place to hike in and camp overnight."
44,2018-07-23,['hiking'],"Awesome hike! Did on a weeknight and had the trail primarily to ourselves. Not too tough, great views and great little campgrounds near White Pine Lake. Definitely need to do it again and stay overnight!"
45,2018-07-22,[''],Good hike for those looking for a mix between easy but worthwhile. Great hike to go on with friends. Gone about three separate times myself. Never a dull moment.
46,2018-07-14,[''],The wildflowers on this trail are beautiful! The lake itself is a great payoff from this fairly short and sweet hike. This trail is one of the gems of Logan Canyon!
47,2018-07-10,[''],"This is a Goldilocks Trail - just the right distance, hard but not too hard, and a great mix of sun and shade. But most of all it was the wildflowers. Oh the wildflowers.  Just breathtaking."
48,2018-07-07,[''],Awesome quick day hike/run on our way from SLC to bear lake and beyond. The wild flowers are beautiful! Reminded us of Alta meets the Tusher mountains. Saw some families back packing would be a great long day/over night trip for kids. We were pleased with this adventure it was Beautiful!
49,2018-07-07,[''],This was a great over night for us. My 5 and 2 year old girls loved it. Flowers of all colors everywhere. Peaks above lake are awesome. Not a lot of bugs. I’d give it a 4 if the lake was one you wanted to jump into after a hike and if the trail was less busy. When we hiked in at 6 pm it wasn’t bad but the campground was busy and hiking out the trail was very busy. Still probably my favorite hike in logan canyon.
50,2018-07-07,['hiking'],This is a great hike for families.  Our 8 & 6 year olds did it no problem.  Easy trail and amazing scenery.  Definitely one of our favorites.
51,2018-07-07,['hiking'],"Awesome trail. $7 to park at Tony Grove Lake, but well worth the 90 minute hike to White Pine Lake.  Our Fitbits had us at about 4.05 miles from parking lot to white pine lake.  

The trail wasn’t busy at all, white pine has a handful of dispersed camping sites near the lake. Seemed like a great place to hike out, set up camp and enjoy some peace and quite for a weekend, or however long!"
52,2018-07-06,['hiking'],Well maintained. Not too crowded. Beautiful views.
53,2018-07-04,['hiking'],Excellent hike taking about 90 minutes in and a little more out. The steepness of the back portion of the hike is a little challenge but overall it is a beautiful experience.
54,2018-06-30,[''],"Excellent for kids. Took my 8YO, wished that I had my 6YO as well.  You give up a fair amount of elevation over the last 1.5-ish miles, which means on the hike back out you start with a pretty good climb.

The fee at the trailhead is $7/day and on a weekend they are there collecting. 

If you go on a summer Friday or Saturday plan on sharing the trail with multiple scout troops and horse parties."
55,2018-06-20,[''],One of best hikes I have ever done in Utah
56,2018-06-18,['backpacking'],"If you are an experienced hiker you will find this a pretty easy hike. The only significant elevation is at the beginning and then as you descend to the lake then ascend back. My GPS tracked exactly 4 miles to the lake with a little campground exploration. The views are stunning, birds singing everywhere, but really, if you lived in a place like this, you'd sing too!
We back packed in and it took 2 hours with several stops for pictures, a blister first aid, and drinks. Busy trail but except for the horse poop, it's very pristine. Hikers are taking care to keep it clean. If you come later in the evening on a weekend you might have a hard time finding a camp spot. We arrived at 6:30 and there were several to choose from. We saw only two other groups. But by dusk the place was packed.
Really no firewood unless you go hunt for it and even then a hatchet will be your friend. We found plenty, but it took four of us to go search away from the area both night and morning.
Hardly any bugs, that may change as the summer progresses.
Honestly doesn't get much better than this.
Pack out whatever you pack in!"
57,2018-06-10,[''],"Great!! Very beautiful hike with more flat hike. Hardest part was the return going back up from the lake, but after that pretty moderate in difficulty."
