,Date,Tags,Comments,
0,2019-09-07,['hiking'],"What a great hike! The aspen trees kept the majority of the hike in shade, which was cool and refreshing. The loop around the lake was slightly overgrown, but still easy to follow. The view from the meadow was by far the best part of the hike! I would definitely recommend it.",
1,2019-09-07,['hiking'],Perfect if you love aspens. Saw 2 Moosen.,
2,2019-09-07,['hiking'],"WARNING!!!!   Today (7 Sep. 2019) I saw a mountain lion coming from the willows on the northeast corner of the lake at 4:45 pm,  not the time you would normally expect to see one. I was about 50 yards away. He may have been hunting deer in the willows, and/or have a kill in there, in which case he will be back.  There were also 3 moose. Two cows in the trees by the northeast corner backside, and a bull drinking from the stream right below the lake going down the west trail.",
3,2019-09-02,"['hiking', 'private property']",,
4,2019-09-02,['hiking'],"Beautiful hike, some parts a little more moderate difficulty and just as you think of going back with the two toddlers you carried you keep going and the view is so worth it! Cute little ducks! Loved it! ",
5,2019-08-31,['hiking'],"Great short hike. Took my husband and kids (13,11,5) The best part of the trail is around the northeast side of the lake when it opens up into an enclosed meadow. Really beautiful. Didn’t see any wildlife other than a snake. ",
6,2019-08-31,['hiking'],Great hike! We enjoyed the flowers and crossing the babbling streams. The lake may be smaller but it is beautiful to look at and fun to watch the ducks diving for food. The aspens on either side of you stand as majestic sentinels providing you protection from the sun rays throughout the hike. The left is less steep for those who want to take it a little easier.,
7,2019-08-31,['hiking'],"Ok hike. A small, moderate uphill, pretty wildflowers and Aspens on the way, occasional shade, but the lake was more of a pond. Our 5 year old made the whole trip no problem.",
8,2019-08-28,['hiking'],"Beautiful, quiet trail. Go left when the trail forks for an easier ascent. Had a baby and a toddler with me and definitely found the climb harder than expected - but worth it!! The lake is small but stunning. Such a peaceful hike. Definitely coming back.",
9,2019-08-26,['hiking'],"Great hike! I think rating it as ""Easy"" is not entirely accurate. It wasn't a really long hike, but it DID have a decent uphill slope in some places. Still, absolutely worth it.",
10,2019-08-26,"['hiking', 'rocky']",Parking is on the road either side. Pretty trail with plenty of shade for a hot afternoon. The first bit is pretty steep but you hit the lake before you know it. It’s a rocky way down so be careful on your ankles and take it slow. Took about 60 minutes going leisurely. ,
11,2019-08-25,['hiking'],"Beautiful place to go hiking, it is moderate not easy. My family and I enjoyed the peace while it lasted until we witnessed a woman and three children playing in Willow Lake. Huge bummer that they violated the biggest rule, no swimming. 
Please protect our watershed, do not swim in any body of water at Big or Small Cottonwood Canyon. Thank you!",
12,2019-08-25,['hiking'],"Great trail. But be warned, it’s more moderate than easy as the first leg of the trail is all uphill. It’s not bad. I took my kids and had a good trip. I would take the fork to the left going up because the one to the right is steeper and rockier",
