,Date,Tags,Comments
0,2019-09-07,['hiking'],This hike is pretty easy. I would recommend it to those who are just getting in to hiking. It’s a nice mix of steep and flat. Not too bad at all with awesome views of Logan canyon and those caves! They’re so cool!
1,2019-09-05,"['hiking', 'no shade']","Hiked this trail most recently 9/2/19. The trail is very exposed, without much shade, so it’s probably best hiked in the morning or evening. Bring plenty of water. Great hike in the fall, when the maple leaves turn. The view from the caves is spectacular. "
2,2019-09-01,"['hiking', 'no shade']",there are lots of areas without shade so this one is probably better for a morning or evening hike. the cave is really cool but it's not deep so no need for jackets.  I took this trail on with my 5 & 6 year olds and it was probably at the limit of their ability. overall a great hike with loads of fantastic views and a really cool cave/arch at the end.
3,2019-08-28,['hiking'],Great trail for a quick hike. Lots of sun exposure.  Caves are pretty cool.
4,2019-08-25,['hiking'],I found it harder than most folks told us but it was still do-able with breaks. we also haven't fully acclimated to the elevation. The wind caves really are beautiful and truly frame the canyon. very worth the effort!
5,2019-08-23,['hiking'],Worth it. So many different things to see. Absolutely breathtaking with moderate effort.
6,2019-08-17,['hiking'],This hike was definitely worth the view! My little dog was quite the trooper and seemed to enjoy it just as much as I did. I would recommend to go in the morning rather the afternoon. Less traffic and cooler weather! 
7,2019-08-15,['hiking'],"great hike.  beautiful views and caves.
"
8,2019-08-13,['hiking'],Awesome trail for most skill levels. Saw some kids who were able to do it in sandals. Did see a very large rattlesnake so be aware! 
9,2019-08-09,['hiking'],"the hike was awesome! beautiful views and the cave was amazing!
"
10,2019-08-03,['hiking'],"Loved this hike! We hit the trail about 7:30 a.m. as to beat the heat and the crowds. Took us about 50 minutes to reach the caves. There are some steep places, but not too bad. Loved the view of The China Wall once we reached the caves! B-E-A-UTIFUL!!"
11,2019-08-03,['hiking'],The cave formations are awesome! 
12,2019-07-22,['hiking'],Love the wind caves but it’s always busy! Go early!
13,2019-07-20,['hiking'],"Great trail, not too steep but still challenging in hot temperature.

Bring lots of water.  There is only ONE water source within the first mile of the trail.  Although, there are a few shady spots where you can rest on the way.

Very beautiful view on top of the cave!  Great picture spot !"
14,2019-07-18,['hiking'],the view from the caves is gorgeous! Do this early!  The snakes started coming out at 10 am. We saw 4 within five minutes coming back down. 
15,2019-07-13,"['hiking', 'no shade']",Excellent views worth the effort.. 
16,2019-07-12,['hiking'],The hike Took us about 2 hour there and back but we took lots of water breaks! Trail was easy to follow but quite a bit of people for a Friday morning! We started our hike at 7 am and thank god we did because it would have been hot any later. The wind caves were really cool and was worth the hike! 
17,2019-07-09,['hiking'],"If you are visiting with a friend in Logan, Utah you got to hike the Logan Trail Caves! It is a climb and has many switch-backs but when you get to the top the wind caves and views are amazing! I would recommend hiking in the morning or the evening because there isn’t a lot of shade and less people on the trail I would also recommend bringing at least 1.5liters of water and a couple snacks. Have fun and enjoy the view! 
Follow me on Instagram @adventureswithchase to see more of my traveling adventures! "
18,2019-07-08,['hiking'],Loved the view the entire way! and the clean air was a plus. Got it done in 2 hours total up and down. Great place to set personal goals. make sure to take plenty of water and some snacks
19,2019-07-04,['hiking'],"Loved the trail! it was beautiful all the way up and down. The only hard thing is I have a pup who LOVES to say ""hi"" to everyone and the trails are pretty thin. But we loved it overall."
20,2019-07-03,['hiking'],"Hiked this 4mil with kids (6,8,10) and thought it was a pretty moderate hike for them. Most of the trail was in the sun but there were quite a few spots in shade, which was a welcome treat. Arrived at 9 and there were about 8 cars parked, when we reached the caves there was only 2 other families there and they left shortly after.
The views were gorgeous and the caves were neat, especially for Northern Utah. All of the kids really enjoyed climbing and playing in them."
21,2019-07-02,"['hiking', 'bugs']","In town from Seattle and wanted to get in a great workout. We’re used to a big finish with mountains, lakes or rivers in the PNW and figured the caves would be right up there. The hike itself was really hard and I’m pretty fit. The caves were neat I suppose but nothing close to how much effort we put into getting there. "
22,2019-06-30,['hiking'],good trail. not the trail I would recommend if you are looking for your own private trail. lots of people hike here. Still has great scenery and is well maintained.
23,2019-06-29,"['hiking', 'bugs']",
24,2019-06-28,['hiking'],"Very popular hike and it’s an easy one for kids, the view once you reach the wind caves are amazing, highly recommend for families "
25,2019-06-28,"['hiking', 'no shade']","My dad and I hiked this trail at the end of June. The side that’s hiked up is a fairly steep grade and is open to the sun. The caves at the top are kind of cool. The first one is right under the submit and the second is around the corner of the first. Super heavily trafficked. We got there at 9 am, but wish we would’ve gone earlier to beat the crowds. I’d say it’s fairly unique at the top, but other places in Utah have more to offer."
26,2019-06-28,['hiking'],great trail
27,2019-06-17,['hiking'],"It's a great, basic trail for all ages! It's a favorite of ours."
28,2019-06-17,['hiking'],Nice views but the trail is too busy. It’s the most popular destination for local families with children so avoid it if you’re looking for a quiet hike in wilderness!
29,2019-06-17,['hiking'],My kids (3-13) loved it! I did have to carry the 3 year old for about half of it. Two hours of hiking total and 45 minute break for dinner at the top! 
30,2019-06-12,['hiking'],hiked with family. 11 yr olds - this was the extent of their limit. great views. caves are amazing. crowded trail. well marked trail for early June. 
31,2019-06-10,['hiking'],"GORGEOUS hike. You will have incredible, breathtaking views all throughout this hike, especially at the end. The caves and the view is so rewarding. The hike was fairly easy. My husband and I took our two kids ( 10 months and 7) and our dog. I carried my 10 month old. Pretty good amount of shade and sun. Weather was perfect! A bit cool with a nice breeze. Take sunscreen, I'm burnt. One of many of my favorite hikes!"
32,2019-06-07,['hiking'],"Very great trail. Description is accurate. Lots of people for sure, but a beautiful overlook/caves at the top"
33,2019-05-30,['hiking'],Was a great hike with some amazing views both at the top and along the way!
34,2019-05-27,['hiking'],Awesome hike! Great views and cool caves at the end! 
35,2019-05-27,[''],"Beautiful hike. Make sure to stick to the trail, we decided to try an off the path detour (BIG mistake) ended up practically rock climbing down then back up to find the trail again. We were lucky to see some deer which was pretty awesome. Definitely an uphill hike, but well worth it."
36,2019-05-27,['hiking'],Took my two young boys on this hike. They loved it! 
37,2019-05-26,['hiking'],"We loved this trail. Bring water and a hat. The caves at the end are worth it! Plenty of signage, including signs saying to stay on the trail...three groups we ran into must not have understood what that meant. I had two boys who wanted to explore off path so I get it, but had to reign them in and follow the rules. When under the cave, follow the cave wall around to the left, there is another big cliffside cave."
38,2019-05-25,['hiking'],Love it!
39,2019-05-12,['hiking'],"My family went on this trail today for the very first time. We arrived just after ten and the parking area was already full, we lucked out and got a spot. The trail itself just goes up and up and up with switchbacks. There were some shaded areas in the beginning of the hike, but less so as we got higher up the mountain. This trail had tons of activity, mainly college students, and everyone was friendly and courteous. When we reached the Wind cave it was nice and cool inside with a great breeze blowing through. Some spots of the trail had some larger drop offs, so be cautious if hiking with smaller kids, as well as inside the cave with the smaller loose rocks. The entire hike round trip was 4.42 miles according to our Endomondo apps. Highly recommend, just come early, bring sufficient water, and enjoy the amazing views!"
40,2019-05-11,['hiking'],Great place to take puppy and kids. We has a family had a blast. Great view and other hikers were very kind to our slow group. Haha
41,2019-05-06,['hiking'],"Beautiful views. Definitely an early morning hike, starts to get busy after noon."
42,2019-05-05,['hiking'],This trail has been a favorite for over 20 years. I hike it with a weighted pack to train for longer backpacking trips.
43,2019-05-01,[''],great view from the top !
