,Date,Tags,Comments
0,2019-08-25,['hiking'],Boring trail.
1,2019-08-05,['hiking'],"Pretty flowers, horrible swarms of flies that constantly swarm your head."
2,2019-08-05,"['hiking', 'bugs']","We went at dusk and it was beautiful! Ran into two moose very close to the trail, but they seem used to hikers gawking at them. Also saw some deer and a porcupine. It was great! The wildflowers are beautiful, but there’s lots of bugs. "
3,2019-08-04,['hiking'],"The flowers right now are beautiful and everything is lush green around. I loved it! 
(PS. There is construction going on at the actual trailhead starting point so you’d have to navigate to Wildcat base camp instead and start there)"
4,2019-08-04,"['hiking', 'bugs', 'rocky']","My son (age 10) and I did this hike Aug 4; we took the entrance by the self-park, up the side of the mountain, to the old road, which is all dirt, mud, and very rocky/pebbley. He got tired quickly, but stuck it out and an hour and a half later we were at the ridge looking out at Twin Lakes Reservoir. Beautiful! Saw lots of wildflowers on the way. And beautiful views the whole way. Met lots of very nice people. And afterwords, enjoyed a meal at Snow Bird, followed by tram ride up, chair lift down. Awesome day!"
5,2019-08-03,"['hiking', 'bugs', 'rocky']","My friend and I went today (August 3rd,2019). We got there at around 7:30 a.m and there was plenty of parking. I would recommend parking right before you have to pay and then you can walk about a quarter mile and be at the trail head. The trail itself was beautiful and the surroundings were gorgeous. The only downside were the mosquitoes!! There were so many of them and they're really aggressive! Bring bug spray! "
6,2019-08-03,['hiking'],"I went on August 1st and we went at dusk
the wildflowers were absolutely breathtaking and they were all over we also saw a moose while it was light and we combined Albion meadows and cecret lake as one hike. When we came back down the trail it was pitch black and when we got down to the  Albion meadows trail we had a very scary encounter with two aggressive moose that grunted at us and followed us. If we didn’t have a headlamp we probably would have ran into the moose."
7,2019-07-30,['hiking'],Beautiful flowers right now! It’s a super easy trail for toddlers.
8,2019-07-28,['hiking'],"nice hike with beautiful wildflowers (if they're in bloom) and a nice breeze and open sky. I only wish the route didn't have a dirt road beside it where people drive and it had no true destination point or lookout to hike to necessarily. Also some construction items around you/instruments and cables over your head from the resort..just expect yourself to be not totally ""away"" from civilization on this hike. "
9,2019-07-28,['hiking'],"Quite a lot of wildflowers in bloom but I’d expect that in a week or so there’d be more. The lower trailhead is blocked by construction and it’s not well marked up by the road; we ended up having to walk a quarter of a mile or more back down the road to find a way down to the trail. We had our six-year-old twin boys with us and they enjoyed going through the forest. There were some signs along the trail that had pictures and information about animals in the area, which I though was a nice touch for kids. "
10,2019-07-25,"['hiking', 'rocky']","Not many wildflowers in bloom when we went July 20th, but still so beautiful out there! Snow still on the mountains in the distance and a ton of green everywhere else. Some shade the first third or so of the hike, and then you’re just out in the meadow. A little more steep than I expected, but nothing impossible or even bad, just didn’t know coming into it. Many areas level out in the meadows. Had some kids with us: 8, 5, and 2. They did pretty well, but got a bit tired often. Hope to go back in a couple weeks to see the full display of colors! "
11,2019-07-21,"['hiking', 'rocky']",
12,2019-07-18,['hiking'],"Beautiful, fresh mountain air. Easy hike to do with kids. The wild flowers should be in full bloom in another couple of weeks. "
13,2019-07-08,"['hiking', 'muddy', 'snow']",
14,2019-07-08,['hiking'],"Most of the snow has melted off the trail. A few early wildflowers are blooming: forget-me-nots, bluebells, geraniums."
15,2019-06-18,"['hiking', 'muddy', 'snow']","The trail was alright, but there is still a thick snow pack. This made it impossible to follow the original route. "
16,2019-06-17,['hiking'],Beautiful! 
17,2018-08-06,['hiking'],"The wildflower did bloom early this year. However, if you explore some of the shady area by the river there are still some beautiful flowers in bloom. Albion basin is always beautiful no matter the season. However, on the weekends during the summer it does get a little crowded."
