,Date,Tags,Comments
0,2019-09-06,"['hiking', 'bugs', 'over grown', 'rocky']","i did this solo today, but as a loop. to the peak as shown on route map, then down the south ridge (very steep and loose rocky) to connect with the box elder trail. i did not bring a gps so i cant vouch for the distance, but car-to-car was 7.5 hours, and my legs feel quite toasty.  I suspect it is about 2 miles more than an out-and-back and a good amount more gain.  the box elder trail is overgrown in many spots; suggest wearing long pants (i didn't and my legs are scratched up). the views are super, especially of timp, utah lake, lone peak, pfeifferhorn, red baldy.  but the peak was swarmed with flying ants and other ants that bite. very unpleasant; i stayed for only about 5 mins before they ran me off."
1,2019-09-04,"['hiking', 'rocky']","Did this today by myself. Hiked up from the north side on trail 43, starting at the Granite Creek Campground Trailhead. The trail follows the ridge and gets pretty steep. Well worth the great views from the top, particularly of the backside of Timp.

I hiked down the south side of the summit, which has a lot of loose rock, and is even steeper than the ridge that I hiked up on the north side. I followed the Box Elder Trail back to the trailhead. The entire loop is more like 12 miles, not 11 miles."
2,2019-08-24,['hiking'],"Steep trail without a lot of reward. No great views, no water, nothing really outstanding. "
3,2019-08-18,"['hiking', 'rocky', 'scramble', 'snow']","What an epic hike!  Definitely not for the faint of heart, this butt burner has a climb that does not quit, a few cliff edge scrambles, and loose edges sliding into oblivion.  You’ll be rewarded by non stop scenery with a truly awesome view over Utah lake and next door neighbor Timp.

The trail winds through several creeks, some gushing and some dried to a trickle.  Trail 44 dried up after 1.2 miles, taking trail 43 down I found several on the way.  If I were to do it again I would hike clockwise, a longer uphill until a insanely steep push to summit.  I would also start earlier than 11:30 as this hike is HARD and I was in the fairly exposed midday sun 7 hours."
4,2019-08-17,['hiking'],Beautiful views from the top and lots of wildflowers.  Rated 4/5 due to more mileage than expected and soooo steep the last push to the summit-was wishing for switchbacks-but doable.
5,2019-08-11,['hiking'],"Did this with my dog today and it took a little less than 6 hours. Conditions were great only saw a few people on the trail. Great views of Timp, Utah lake,  silver lake flat and tibble reservoir!"
6,2019-08-02,['hiking'],Great trail with spectacular views. Does get steep towards the summit.
7,2019-07-28,"['hiking', 'bugs', 'no shade', 'over grown']","7/26/2019: The views of this hike were amazing! The mileage is definitely more towards 12 RT. The trail steadily gains elevation up the the saddle which took 2 1/2 hours with a backpack. Once you hit the 4 way intersection and head to the peak it took 1.5 hours. The climb to the summit from the base is of the peak is STEEP but man the views from the top are totally worth it. We backpacked and camped in the meadow, bugs were bad, but not as bad as I thought. The wildflowers were beautiful, so many different kinds! This trail does NOT offer any shade. There is a small stream about 2 miles up and that is the last water source you will see so bring plenty of water. No snow or mud. We lucked out with a cloud cover for the hike that cleared at the top for us to get some pictures. 

Side note: The campers that stayed in our little spot before us left over 4 bags full of garbage. Tin cans, fruit cup garbage, candy wrappers, plastic soda and Gatorade bottles. Very disappointing. We were able to take the 4 bags worth but didn’t have more room for the rest, probably another two bags. LEAVE NO TRACE. "
8,2019-07-20,['hiking'],Great hike! It’s relatively steep pretty consistently on the way up but the the last mile or so before the summit gets VERY steep! Beautiful views and wildflowers all along the way. Loved it!
9,2019-07-13,['backpacking'],"Backpacked 7/12/2019 -
First off this hike is amazing. Awesome views!  Over the weekend some friends and I tackled this peak from the apline side.  We took the Deer creek / Dry creek trail up and camped at the south saddle at ~10,000feet.  Sleeping was tough because of the mosquitoes so we moved our camp to the ridge where we had more of a breeze to keep them at bay.  We made the mistake to take the Phelps canyon trail down.  It was totally overgrown and impossibly to follow. (We had a gps overlay of the route so it helped somewhat ). Still required tons of bushwacking. GIving it a 4 because of the bugs.(probably just due to the time of year.)  Took us 6 - 7 hours up. 3.5 hours down."
10,2019-07-11,"['hiking', 'over grown']","The dog and I made the summit for sunset last night. (7-11)  The trail is definitely over-grown in many areas.  In very few spots did we have to cross over snow and it was never difficult (only had hiking boots and my trekking poles)  Only saw one other hiker and he made it with no poles..A reminder on the way down from the summit to stay right along the ridge line the best you can so you don't end up veering off into the snow fields in the trees.  Only gave it 4 stars for last night as there were a ton of mosquitoes from start to finish, both ways..hopefully this will change - I've never seen the bugs that bad on this trail..awesome panorama view from top - Timp, tibble, silver lake flat, pfeiferrhorn, lone peak, and much more.."
11,2019-07-05,"['hiking', 'muddy', 'over grown', 'rocky', 'scramble', 'snow']",Great views of timp and lone peak the snow the last mile or so was kind of sketchy but you can kind of go around it be careful going down easy to loose the trail on the way down and get lost in the snow 
12,2019-07-04,"['hiking', 'muddy', 'over grown', 'rocky', 'snow']","Hiked 7/4/19
First of all this trail is a gem. It is beautiful and I only passed 3 groups all day. You have great views of timp to the south and lone peak, pfeifferhorn, and baldy to the north. However, much of the trail is overgrown with vegetation, not terrible, but you're usually brushing up against something. Today, there were many points where the trail was washed out or had trees tipped over on the trail. The first two miles are pretty mellow, but then it picks up after that and gets steeper with the trail having loose rocks for footing for sections. I made it to the last mile stretch to the top only passing intermittent sections of snow. Within about a half mile or so of the peak the snow covered the trail completely and the last mile is very steep plus it was slushy and slippery. I had micro spikes and hiking poles, but I would have needed an ice axe to feel safe. I saw a group just ahead of me have to do an ice axe arrest after slipping and sliding. I only made it to about 10,000 feet today, which was disappointing, but I'll be back to summit. It probably still needs another 2-3 weeks before it's safe without the proper equipment."
