,Date,Tags,Comments
0,2019-07-21,['hiking'],shaded
1,2019-07-21,"['hiking', 'no shade', 'rocky', 'scramble']","If you want any type of shade or view of waterfall/ the stream don’t do this trail.. at the fork where the paved road meets the dirt take a right and follow till you get to the parking lot. THAT is where you will find the waterfall, shade, the stream etc. this was also pretty strenuous, it had steep drop off also so if you have kids i would be cautious doing this route! The other access to the waterfall is much more family friendly and enjoyable! "
2,2019-06-22,['hiking'],"The trail meets with another trail that starts on the other side of the canyon.  The other trail is easier- has shade - is more beautiful- and has parking.  This trail is steep, no shade, and you get a view of the waterfall that you should be next to if you had taken the correct trail.  After 2.5 miles you are nowhere near the final waterfall- in fact you have 1 more like to go beyond where this trail says the final destination is.  There is a super cute and fun rope swing about 1/2 way up.  Lost of fun.  And from where this trail meets up with the other trail- it is amazing and beautiful.  I went all the way down the other trail and enjoyed every second of it.  Take the centerville doule trail instead. "
3,2019-06-14,"['hiking', 'over grown', 'rocky', 'scramble']",
4,2019-05-19,"['hiking', 'bugs', 'muddy', 'over grown', 'rocky']","A really fun hike, but for sure more than 1.2 miles one way. We hiked in the evening and the sunset views were amazing! This hike covers multiple terrains in a single hike. "
5,2019-05-19,"['hiking', 'muddy', 'rocky']","We went around 7pm wasn’t crowded. Would recommend starting the hike early. The views were beautiful, one fourth of the hike was alongside the creek. It was an adventurous and a beautiful hike!"
6,2019-04-28,['hiking'],Fun hike with my pup but we were in the sun for the first good bit of the trail so be sure to have plenty of water! Close to the end we had to turn around because I couldn’t figure out how to safely cross the rushing water with my pup (she is still too small to make it in her own). If I would have actually worn my hiking shoes we would have made it.
7,2019-01-06,['hiking'],"Great hike! The trail is fully covered with snow once you get back into the canyon, crampons would be ideal, I was fine in my normal hiking boots, with some sliding in places. Waterfall is mostly frozen over, but still beautiful!"
8,2018-10-12,['hiking'],Nice hike
9,2018-09-30,['hiking'],"Centervile Trails Volunteer.  
Great hike, Near town, moderate to difficult at times, NOT horse friendly or Mountain Bike friendly. Dogs on leashes allowed please pick up after your dog,  Many families enjoy this hike,  some scrambling at times over rocks with some steep side hills.  I see kids of all ages just go slow. Single narrow trail, most of the time, Views are best at the mouth of the canyon to over look the city.. You are  north of the Gun Range, And If you are on the freeway and you see the big V on the mountain This canyon is the first one north of the V.  It is the Deuel creek south hike. (No pictographs on this hike it is another hike). At the little Kiosk it shows the trail ending long before the rope swing or the first waterfall past the rope swing. You will see some beautiful places most people think the waterfall is a rock or steep spot where the water shoots down a steep rocky spot. It is beautiful and worth a look. However it is not the waterfall. The water cascades down the side of the rock and it disappears in the thick brush. Not technically free falling,  but it is nice all the same. Summer is my favorite  late May to Sep,  It is steep in places and requires some scrambling over rocks and steep drop offs. Those steep places with narrow trail start about 20 feet past the trail head. Dont let the  kids get out of sight at the start of the trail.  If  you have little kids just go slow and you will find places near the creek to let them play. You will see poison ivy so know what to look for and how to identify it over  4 season. Google it.  Both trails will meet up at the creek so if you parked at the North Trail head make sure that when you head down to take the North trail. Same as the South stay on the trail that is near the creek. You dont want to add a mile up and down at the end of a long hike. You will only make this mistake once :) I HIGHLY recommend a high clearance vehicle on both trail heads once you leave the pavement,  mufflers are expensive. Some times the grader has gone over the trail and it is ok other times I have seen people that where not so lucky.  When the road Ts in the bottom of the canyon take the road to the right and then at the second T turn back towards the canyon heading back north about a 1/2 mile from the first T. This trail is forest serve land and all the same rules apply. The only true water fall is past the rope swing. Kids do not  make it this far. This is where the nice trail begins. The trail and will start to look like a high alpine hike with tall pines and less Gamble oak. If you continue about another 30-40 minutes past the rope swing you will be rewarded with a view of the waterfall that you will see in the distance it is the one in the pic that says Centerville Canyon. If you continue to hike up the trail it will go right by the waterfall where you can walk out and look down over the falls. It is just a little stream at this time of the  year not much water at all. You will not see may people that will venture past the falls. It is quiet and if you are aware of your surroundings you will see all kinds of tracks and sign. If you continue up the trail it will eventually cross over two other streams and the canyon will end when the trail disappears in a Forrest. This trail has several other wooden bridges that are not forest service approved and are not sponsored by the city. It appears to be maintained by locals who do so at their own expense. We are always looking for volunteers who want to help contribute to the health and safety of the trail. And we recommend you do that thru the city who will coordinate the work thru the forest service and the sponsored third party groups. This is  Forest Service land and when venturing out please be aware that hunting season is open at this time of the year I would recommend bright colored clothes. And to stay on the trail. You can also camp just off the trail and you will find a variety of camps spots. 
 
Enjoy and let us know what you think and what you liked about our hike. 

Take a hike.

HELP ####   We have a lost hiker near this trail if you can get out tomorrow please do! Davis County Sheriff will be conducting a searchS tomorrow for a missing HUNTER r who was last seen just one canyon north at noon yesterday. He is a 19 year old male and was last seen about Noon near Parish flat Just one canyon north of Deuel creek 
Thank you
~CTC volunteer
rturner"
10,2018-08-24,[''],"I started this trail a little weary of it raining. I started on the north side of the creek and went back on the south side. I was a bit surprised of some ledges I didn't expect, but not a problem for me. Once you hit the 2 mile mark it's really not far to the waterfall. I stopped at the 2 mile point and almost turned back because I heard lightning but went on anyways and it was awesome."
