,Date,Tags,Comments
0,2019-08-29,"['hiking', 'rocky', 'washed out']","It's a good trail but nothing to write home about. Towards the end, some trees lay across the trail and it's starting to wash out. The trail will need some love soon."
1,2019-08-29,"['hiking', 'rocky']",
2,2019-08-17,['hiking'],A bit steep for young ones but it was a fun hike!
3,2019-08-11,['hiking'],"We didn’t make it all the way to Dog Lake today, my four year old wasn’t feeling it, but we still enjoyed getting outside and appreciated the spectacular mountain scenery and the many gorgeous and color wildflowers."
4,2019-08-06,['hiking'],"So-so hike. Best hiked in cooler weather. The rating should be Mod-Hard due to higher altitude. The distances are suspect as the signage implies this is a 5.2 mile hike up and back. I found the scenery boring, with the exception of a few views of mountains. And dog lake is named properly. Check out the pictures. "
5,2019-08-06,['hiking'],the hike was beautiful but the lake not so much. its shady in alot of areas and there was a nice stream along the way. pretty flowers on the trail. we saw a deer on the way down.watch out for bikers! 
6,2019-07-31,['hiking'],"This was more like 5 miles round trip, over 1,000 feet elevation. But, it was very nice. Awesome flowers, great trail, nice place to find some solitude. Only passed a few people today (Wednesday). Would recommend! "
7,2019-07-31,['hiking'],"Took us a couple hours to hike the way up. Dog lake and Desolation lake share the same trail for the first 2 miles and then it splits. Dog lake is to the left. 

It was my first time doing the hike. Great beautiful hike. Dog lake itself was ok I wouldn’t wanna picture with it. Everyone said that Desolation was prettier. I’ll have to compare it next time"
8,2019-07-30,"['hiking', 'bugs', 'over grown']",
9,2019-07-27,['hiking'],Hihihivcv
10,2019-07-27,['hiking'],Beautiful wildflowers! Definitely my favorite hike in Utah so far!
11,2019-07-22,['hiking'],"Lots of bugs during the day and lake wasn’t very impressive. However, the trail itself was beautiful and the hike wasn’t too difficult."
12,2019-07-21,"['hiking', 'bugs']",
13,2019-07-21,['hiking'],Great day! Pretty busy on the trail but most everyone was nice. Dog Lake lived up to its name. Easily a dozen or more dogs up from the Millcreek side swimming for sticks. A good training day for this sea level transplant.
14,2019-07-14,['hiking'],Great moderately challenging trail.  Pretty well shaded along the entire way to Dog Lake.  Gets a little steep towards the end but there are a ton of shady spots to take a break if you need to catch your breath.  The trail is also wide enough the entire way to make passing opposing traffic easy. There were some biting flies and mosquitos along the way so bring bug spray if you are susceptible to bites.  Mill D North fork was flowing briskly on July 10th.  Cool and refreshing!
15,2019-07-06,['hiking'],"6 & 9 year old daughters went with, they had no trouble with a few breaks and liked stopping by the creek on the way up.  Lake wasn’t too exciting bit still a nice hike."
