,Date,Tags,Comments
0,2019-07-02,"['trail running', 'snow']",Ran/hiked this trail Saturday. Still snow covered shortly after Box Elder trail split about 3.3 miles up from parking lot. Didn’t bring my running spikes but was still able to make to the saddle looking down on Tibble Fork. Trail up north ridge to Box Elder summit skill snow covered but ran into two others who ran that 2 mile stretch up and over to south side and returned on Box Elder trail (2 miles) where it ties back into Dry Creek trail. They made it without spikes! Another couple weeks and snow will be gone. Unreal views all around!
1,2019-06-29,"['backpacking', 'bugs', 'rocky']","We got about 3 miles up the trail today. I just need to point out that this is not starting at granite flats camp ground like one post states. It is in alpine. It's so steep and rocky. There are many people on the trail until you get to the horse tail falls turn off. Part of the trail is river but there are log crossings available for the most part. After the turn off it's pretty low traffic, but the trail is a creek bed. It's rocky, steep and slippery. We carried our packs to camp out one night but we left too late to get more of the hike in that we wanted to. I'm sure it would have paid off with the views. It's great walking next to the river and seeing the falls from the trail. There are great views of the mountains and the city. Camping is hard to find but there are sites. "
2,2019-06-16,"['hiking', 'bridge out', 'muddy', 'rocky', 'snow']",Made it about 2/3 to 3/4 of the way but stopped due to the snow preventing us from following the remainder of the trail since we haven't done it before we turned around. The waterfall was tricky to find and luckily fellow hikers guided us to a dropoff trail to the left about two miles in. It took us about an hour to get to the waterfall. Trail is wet and muddy from snow melt now. Definitely wear waterproof hiking boots if possible.
3,2019-05-11,['hiking'],Didn’t quite make it to the falls this time. Very busy trail.
4,2019-02-23,"['snowshoeing', 'snow']","First on on the trail after horsetail falls after the recent snowstorms. Great snowshoeing and beautiful views. The snow was lite and fluffy. Long, hard and rewarding day. Was able to stay near the trail using the default recording"
5,2018-11-21,['hiking'],"Rated appropriately for the level, took around 3.5 hours however we stopped to take a lot of photos and take in the view.  Dead horse is still on the left of the trail near the wood post for the 046 trail.  It did not smell and is half buried so you may miss it (my dog easily found it with his nose so watch out if you're with pups!).  Trail was clear with the exception of  an ice slick about 1/4 mi past the first meadow.  I was able to easily navigate around this in the brush and avoid slipping.  This trail shares the majority of the way to Horsetail Falls so check that out as a nice pit stop (also found on All Trails)."
6,2018-11-12,['hiking'],"The first half of the trail or so is the same as Box Elder Peak. 

Start out at Granite Flat Campground and make your way up Deer Creek Trail. 

Once you reach the saddle, head west and follow the ridge line up to the saddle. 

There is one precarious spot where you will need to watch your footing."
7,2018-08-26,['hiking'],"4 stars because of the killer views at the top but 3 stars for the hike itself. Follows a dry creek all the way up, so very few switchbacks as you climb. Watch the trail after the Dry Creek / Box Elder intersection. Not too far up from that intersection  the trail is blocked by a fallen tree and you have to go around. You can pick the trail up but make sure you hang to the right when you come upon a slight Y in the trail. The trail to the right is over grown with tall grass but once you get through that then you’ll be golden. If you’re making your way through lots of overgrown bushes then you may want to check your map (speaking from experience here). Several streams for dogs to cool their paws because of yesterday’s rain."
8,2018-08-19,['hiking'],"This trail was very challenging because of how steep it was. There are lots of rocks and boulders, and you go over a couple of streams, walking on logs. Lots of shade, which was nice. Very good exercise, but I felt that the moderate rating should be more like moderate+, though I saw a lot of children on the trail. 

Horses and dogs are allowed on the trail, so there is quite a bit of horse manure and the occasion dog pile you must avoid. We ended up not doing the entire trail, but instead turned off about half way up to go see the falls. That made the difficult hike worth it. Very beautiful and refreshing. 

WARNING: When we reached the waterfall, we saw a young man lying at the base of it, badly hurt. He had fallen from the top of the waterfall (about 60+ feet). He had to be life-flighted out. I tried to get where he was, to help the others who were helping him, as I am trained in first aid/cpr, but the rocks were very, very slippery, even when dry. Please be careful if you venture to the actual falls. 

All in all, a nice hike, especially if you want a good work out. The round trip from the falls is about 2.5-3 hours."
9,2018-08-15,[''],"decent quick hike.  hiked in,  had lunch and enjoyed the falls. easy trail with a little elevation. saw toddlers having no issue."
